Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-08,1,1,23.358,WAS,@,PHI,L 27-32,*,7,5,125,25.00,1,71.4%,17.86,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,92%,0,0%,0,0%,
2,2019,2019-09-15,2,2,24.000,WAS,,DAL,L 21-31,*,9,5,62,12.40,1,55.6%,6.89,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,90%,0,0%,0,0%,
3,2019,2019-09-23,3,3,24.008,WAS,,CHI,L 15-31,*,8,6,70,11.67,1,75.0%,8.75,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,90%,0,0%,0,0%,
4,2019,2019-09-29,,4,,WAS,@,NYG,L 3-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2019,2019-10-06,5,5,24.021,WAS,,NWE,L 7-33,*,7,3,51,17.00,0,42.9%,7.29,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,
6,2019,2019-10-13,6,6,24.028,WAS,@,MIA,W 17-16,*,7,4,100,25.00,2,57.1%,14.29,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,57,97%,0,0%,1,3%,
7,2019,2019-10-20,7,7,24.035,WAS,,SFO,L 0-9,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,98%,0,0%,0,0%,
8,2019,2019-10-24,8,8,24.039,WAS,@,MIN,L 9-19,*,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,93%,0,0%,0,0%,
9,2019,2019-11-03,9,9,24.049,WAS,@,BUF,L 9-24,*,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,100%,0,0%,0,0%,
10,2019,2019-11-17,10,11,24.063,WAS,,NYJ,L 17-34,*,4,3,69,23.00,0,75.0%,17.25,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,91%,0,0%,0,0%,
11,2019,2019-11-24,11,12,24.070,WAS,,DET,W 19-16,*,12,5,72,14.40,0,41.7%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,98%,0,0%,0,0%,
12,2019,2019-12-01,12,13,24.077,WAS,@,CAR,W 29-21,*,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,86%,0,0%,1,3%,
13,2019,2019-12-08,13,14,24.084,WAS,@,GNB,L 15-20,*,7,4,57,14.25,1,57.1%,8.14,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,60,95%,0,0%,1,4%,
14,2019,2019-12-15,14,15,24.091,WAS,,PHI,L 27-37,*,5,5,130,26.00,1,100.0%,26.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,89%,0,0%,0,0%,
15,2019,2019-12-22,15,16,24.098,WAS,,NYG,L 35-41,*,9,7,86,12.29,0,77.8%,9.56,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,87%,0,0%,0,0%,
16,2019,2019-12-29,,17,,WAS,@,DAL,L 16-47,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2020,2020-09-13,1,1,24.364,WAS,,PHI,W 27-17,*,7,5,61,12.20,0,71.4%,8.71,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,
18,2020,2020-09-20,2,2,25.005,WAS,@,ARI,L 15-30,*,10,7,125,17.86,1,70.0%,12.50,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%,
19,2020,2020-09-27,3,3,25.012,WAS,@,CLE,L 20-34,*,8,4,83,20.75,0,50.0%,10.38,1,3,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,98%,0,0%,0,0%,
20,2020,2020-10-04,4,4,25.019,WAS,,BAL,L 17-31,*,14,10,118,11.80,0,71.4%,8.43,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,
21,2020,2020-10-11,5,5,25.026,WAS,,LAR,L 10-30,*,7,3,26,8.67,0,42.9%,3.71,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
22,2020,2020-10-18,6,6,25.033,WAS,@,NYG,L 19-20,*,12,7,74,10.57,0,58.3%,6.17,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,96%,0,0%,0,0%,
