Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct,Status
42,2021,2021-11-11,10,10,,MIA,,BAL,W 22-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2021,2021-11-21,11,11,,MIA,@,NYJ,W 24-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2021,2021-11-28,12,12,,MIA,,CAR,W 33-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2021,2021-12-05,13,13,25.093,MIA,,NYG,W 20-9,*,,,,,,0.0%,,69,100%,0,0%,0,0%,
46,2021,2021-12-19,14,15,25.107,MIA,,NYJ,W 31-24,*,,,,,,0.0%,,71,100%,0,0%,0,0%,
47,2021,2021-12-27,15,16,25.115,MIA,@,NOR,W 20-3,*,,,,,,0.0%,,65,100%,0,0%,5,19%,
48,2021,2022-01-02,16,17,25.121,MIA,@,TEN,L 3-34,*,,,,,,0.0%,,62,100%,0,0%,2,8%,
49,2021,2022-01-09,17,18,25.128,MIA,,NWE,W 33-24,*,,,,,,0.0%,,68,100%,0,0%,5,17%,
50,2022,2022-09-11,1,1,26.008,MIA,,NWE,W 20-7,,,,,,,0.0%,,0,0%,0,0%,4,21%,
51,2022,2022-09-18,2,2,26.015,MIA,@,BAL,W 42-38,,,,,,,0.0%,,0,0%,0,0%,6,20%,
52,2022,2022-09-25,3,3,26.022,MIA,,BUF,W 21-19,,,,,,,0.0%,,0,0%,0,0%,3,14%,
53,2022,2022-09-29,4,4,26.026,MIA,@,CIN,L 15-27,,,,,,,0.0%,,0,0%,0,0%,5,18%,
54,2022,2022-10-09,5,5,26.036,MIA,@,NYJ,L 17-40,,,,,,,0.0%,,0,0%,0,0%,4,14%,
55,2022,2022-10-16,6,6,26.043,MIA,,MIN,L 16-24,,,,,,,0.0%,,0,0%,0,0%,3,10%,
56,2022,2022-10-23,7,7,26.050,MIA,,PIT,W 16-10,,,,,,,0.0%,,0,0%,0,0%,4,15%,
57,2022,2022-10-30,8,8,26.057,MIA,@,DET,W 31-27,,,,,,,0.0%,,0,0%,0,0%,5,20%,
58,2022,2022-11-06,9,9,26.064,MIA,@,CHI,W 35-32,,,,,,,0.0%,,0,0%,0,0%,6,23%,
59,2022,2022-11-13,10,10,26.071,MIA,,CLE,W 39-17,,,,,,,0.0%,,0,0%,0,0%,7,30%,
60,2022,2022-11-27,11,12,26.085,MIA,,HOU,W 30-15,,,,,,,0.0%,,0,0%,0,0%,6,20%,
61,2022,2022-12-04,12,13,26.092,MIA,@,SFO,L 17-33,,,,,,,0.0%,,0,0%,0,0%,3,10%,
62,2022,2022-12-11,13,14,26.099,MIA,@,LAC,L 17-23,,,,,,,0.0%,,0,0%,0,0%,3,10%,
