Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,2014-09-07,1,1,24.142,WAS,@,HOU,L 6-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,246,49.20,28,218,36.3,0,0.0%,2,40.0%,1,0,0%,0,0%,7,32%,
2,2014,2014-09-14,2,2,24.149,WAS,,JAX,W 41-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,199,49.75,9,170,42.5,1,25.0%,1,25.0%,0,0,0%,0,0%,20,61%,
3,2014,2014-09-21,3,3,24.156,WAS,@,PHI,L 34-37,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,170,56.67,27,123,41.0,1,33.3%,0,0.0%,0,0,0%,0,0%,18,47%,
4,2014,2014-09-25,4,4,24.160,WAS,,NYG,L 14-45,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,4,233,58.25,11,222,55.5,0,0.0%,1,25.0%,0,0,0%,0,0%,9,32%,
5,2014,2014-10-06,5,5,24.171,WAS,,SEA,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,8,399,49.88,54,325,40.6,1,12.5%,1,12.5%,0,0,0%,0,0%,11,33%,
6,2014,2014-10-12,6,6,24.177,WAS,@,ARI,L 20-30,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,5,237,47.40,37,200,40.0,0,0.0%,2,40.0%,0,0,0%,0,0%,9,26%,
7,2014,2014-10-19,7,7,24.184,WAS,,TEN,W 19-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,124,41.33,0,124,41.3,0,0.0%,1,33.3%,0,0,0%,0,0%,8,30%,
8,2014,2014-10-27,8,8,24.192,WAS,@,DAL,W 20-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,231,46.20,18,193,38.6,1,20.0%,3,60.0%,0,0,0%,0,0%,9,35%,
9,2014,2014-11-02,9,9,24.198,WAS,@,MIN,L 26-29,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,136,45.33,8,128,42.7,0,0.0%,0,0.0%,0,0,0%,0,0%,8,29%,
10,2014,2014-11-16,10,11,24.212,WAS,,TAM,L 7-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,177,44.25,0,137,34.3,2,50.0%,1,25.0%,0,0,0%,0,0%,7,29%,
11,2014,2014-11-23,11,12,24.219,WAS,@,SFO,L 13-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,8,373,46.63,8,365,45.6,0,0.0%,3,37.5%,0,0,0%,0,0%,11,41%,
12,2014,2014-11-30,12,13,24.226,WAS,@,IND,L 27-49,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,279,46.50,13,246,41.0,1,16.7%,3,50.0%,0,0,0%,0,0%,11,31%,
13,2014,2014-12-07,13,14,24.233,WAS,,STL,L 0-24,,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,275,45.83,143,132,22.0,0,0.0%,0,0.0%,0,0,0%,0,0%,7,30%,
14,2014,2014-12-14,14,15,24.240,WAS,@,NYG,L 13-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,1,0,0,1,0,0,6,271,45.17,19,252,42.0,0,0.0%,0,0.0%,0,0,0%,0,0%,9,32%,
15,2014,2014-12-20,15,16,24.246,WAS,,PHI,W 27-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,133,44.33,10,123,41.0,0,0.0%,3,100.0%,0,0,0%,0,0%,8,30%,
16,2014,2014-12-28,16,17,24.254,WAS,,DAL,L 17-44,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,176,44.00,12,164,41.0,0,0.0%,1,25.0%,0,0,0%,0,0%,7,22%,
17,2015,2015-09-13,1,1,25.148,WAS,,MIA,L 10-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,124,41.33,74,30,10.0,1,33.3%,1,33.3%,0,0,0%,0,0%,6,30%,
18,2015,2015-09-20,2,2,25.155,WAS,,STL,W 24-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,244,40.67,0,224,37.3,1,16.7%,1,16.7%,0,0,0%,0,0%,10,33%,
19,2015,2015-09-24,3,3,25.159,WAS,@,NYG,L 21-32,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,1,36,36.00,0,36,18.0,0,0.0%,0,0.0%,1,0,0%,0,0%,7,24%,
20,2015,2015-10-04,4,4,25.169,WAS,,PHI,W 23-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,221,44.20,45,156,31.2,1,20.0%,0,0.0%,0,0,0%,0,0%,10,33%,
21,2015,2015-10-11,5,5,25.176,WAS,@,ATL,L 19-25,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,201,50.25,14,187,46.8,0,0.0%,2,50.0%,0,0,0%,0,0%,8,33%,
22,2015,2015-10-18,6,6,25.183,WAS,@,NYJ,L 20-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,288,48.00,34,254,42.3,0,0.0%,1,16.7%,0,0,0%,0,0%,10,31%,
23,2015,2015-10-25,7,7,25.190,WAS,,TAM,W 31-30,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,189,47.25,18,171,42.8,0,0.0%,1,25.0%,0,0,0%,0,0%,9,30%,
24,2015,2015-11-08,8,9,25.204,WAS,@,NWE,L 10-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,188,47.00,-2,190,47.5,0,0.0%,1,25.0%,0,0,0%,0,0%,6,27%,
25,2015,2015-11-15,9,10,25.211,WAS,,NOR,W 47-14,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,87,43.50,10,77,38.5,0,0.0%,1,50.0%,0,0,0%,0,0%,11,38%,
26,2015,2015-11-22,10,11,25.218,WAS,@,CAR,L 16-44,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,266,53.20,1,265,53.0,0,0.0%,3,60.0%,0,0,0%,0,0%,7,22%,
27,2015,2015-11-29,11,12,25.225,WAS,,NYG,W 20-14,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,268,44.67,14,254,42.3,0,0.0%,3,50.0%,0,0,0%,0,0%,11,39%,
28,2015,2015-12-07,12,13,25.233,WAS,,DAL,L 16-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,6,253,42.17,31,202,33.7,1,16.7%,1,16.7%,0,0,0%,0,0%,12,39%,
29,2015,2015-12-13,13,14,25.239,WAS,@,CHI,W 24-21,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,172,43.00,16,136,34.0,1,25.0%,1,25.0%,0,0,0%,0,0%,8,31%,
30,2015,2015-12-20,14,15,25.246,WAS,,BUF,W 35-25,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,140,46.67,0,120,40.0,1,33.3%,1,33.3%,0,0,0%,0,0%,8,31%,
31,2015,2015-12-26,15,16,25.252,WAS,@,PHI,W 38-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,7,347,49.57,-3,330,47.1,1,14.3%,1,14.3%,0,0,0%,0,0%,12,34%,
32,2015,2016-01-03,16,17,25.260,WAS,@,DAL,W 34-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,200,50.00,6,194,48.5,0,0.0%,3,75.0%,0,0,0%,0,0%,11,35%,
33,2016,2016-09-12,1,1,26.147,WAS,,PIT,L 16-38,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,1,27,27.00,0,27,27.0,0,0.0%,1,100.0%,0,0,0%,0,0%,5,20%,
