Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,WAS,,JAX,W 28-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-18,2,2,,WAS,@,DET,L 27-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2022,2022-09-25,3,3,,WAS,,PHI,L 8-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2022,2022-10-02,4,4,,WAS,@,DAL,L 10-25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2022,2022-10-09,5,5,23.201,WAS,,TEN,L 17-21,,9,22,2.44,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,29%,0,0%,0,0%,
6,2022,2022-10-13,6,6,23.205,WAS,@,CHI,W 12-7,*,17,60,3.53,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,47%,0,0%,0,0%,
7,2022,2022-10-23,7,7,23.215,WAS,,GNB,W 23-21,*,20,73,3.65,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,47%,0,0%,0,0%,
8,2022,2022-10-30,8,8,23.222,WAS,@,IND,W 17-16,,8,20,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,25%,0,0%,0,0%,
9,2022,2022-11-06,9,9,23.229,WAS,,MIN,L 17-20,*,13,44,3.38,0,2,2,-6,-3.00,0,100.0%,-3.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,44%,0,0%,0,0%,
10,2022,2022-11-14,10,10,23.237,WAS,@,PHI,W 32-21,*,26,86,3.31,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,52%,0,0%,0,0%,
11,2022,2022-11-20,11,11,23.243,WAS,@,HOU,W 23-10,*,15,57,3.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,
12,2022,2022-11-27,12,12,23.250,WAS,,ATL,W 19-13,*,18,105,5.83,0,3,2,20,10.00,1,66.7%,6.67,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,48%,0,0%,0,0%,
13,2022,2022-12-04,13,13,23.257,WAS,@,NYG,T 20-20,*,21,96,4.57,0,2,2,15,7.50,0,100.0%,7.50,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,40,47%,0,0%,0,0%,
14,2022,2022-12-18,14,15,23.271,WAS,,NYG,L 12-20,*,12,89,7.42,0,1,1,18,18.00,0,100.0%,18.00,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,24,38%,0,0%,0,0%,
15,2022,2022-12-24,15,16,23.277,WAS,@,SFO,L 20-37,*,22,58,2.64,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,32,44%,0,0%,0,0%,
16,2022,2023-01-01,16,17,23.285,WAS,,CLE,L 10-24,,24,87,3.63,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,52%,0,0%,0,0%,
17,2022,2023-01-08,17,18,,WAS,,DAL,W 26-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,2023,2023-09-10,1,1,24.172,WAS,,ARI,W 20-16,*,19,59,3.11,0,2,1,7,7.00,1,50.0%,3.50,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,61%,0,0%,0,0%,
19,2023,2023-09-17,2,2,24.179,WAS,@,DEN,W 35-33,*,18,87,4.83,2,3,2,42,21.00,0,66.7%,14.00,1,2,14,0.0,0,0,0,0,0,0,0,0,0,0,0,38,52%,0,0%,0,0%,
20,2023,2023-09-24,3,3,24.186,WAS,,BUF,L 3-37,*,10,70,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,37%,0,0%,0,0%,
21,2023,2023-10-01,4,4,24.193,WAS,@,PHI,L 31-34,*,14,45,3.21,1,2,2,6,3.00,0,100.0%,3.00,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,43,55%,0,0%,0,0%,
22,2023,2023-10-05,5,5,24.197,WAS,,CHI,L 20-40,*,6,10,1.67,0,4,4,33,8.25,0,100.0%,8.25,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,0,0%,
23,2023,2023-10-15,6,6,24.207,WAS,@,ATL,W 24-16,*,10,31,3.10,0,2,2,25,12.50,1,100.0%,12.50,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,27,53%,0,0%,0,0%,
24,2023,2023-10-22,7,7,24.214,WAS,@,NYG,L 7-14,*,8,23,2.88,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,49%,0,0%,0,0%,
25,2023,2023-10-29,8,8,24.221,WAS,,PHI,L 31-38,*,10,59,5.90,0,2,2,20,10.00,0,100.0%,10.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,49%,0,0%,0,0%,
26,2023,2023-11-05,9,9,24.228,WAS,@,NWE,W 20-17,*,18,63,3.50,1,2,1,4,4.00,0,50.0%,2.00,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,44,56%,0,0%,0,0%,
27,2023,2023-11-12,10,10,24.235,WAS,@,SEA,L 26-29,*,8,38,4.75,0,6,6,119,19.83,1,100.0%,19.83,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,51%,0,0%,0,0%,
28,2023,2023-11-19,11,11,24.242,WAS,,NYG,L 19-31,*,17,73,4.29,0,9,7,59,8.43,0,77.8%,6.56,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,63,78%,0,0%,0,0%,
29,2023,2023-11-23,12,12,24.246,WAS,@,DAL,L 10-45,*,15,53,3.53,0,3,2,11,5.50,0,66.7%,3.67,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,45%,0,0%,0,0%,
30,2023,2023-12-03,13,13,24.256,WAS,,MIA,L 15-45,*,7,53,7.57,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,22%,0,0%,0,0%,
31,2023,2023-12-17,14,15,,WAS,@,LAR,L 20-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2023,2023-12-24,15,16,,WAS,@,NYJ,L 28-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,2023,2023-12-31,16,17,24.284,WAS,,SFO,L 10-27,*,9,44,4.89,0,4,4,32,8.00,0,100.0%,8.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,54%,0,0%,0,0%,
34,2023,2024-01-07,17,18,24.291,WAS,,DAL,L 10-38,*,9,25,2.78,0,3,3,10,3.33,1,100.0%,3.33,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,21,43%,0,0%,0,0%,
35,2024,2024-09-08,1,1,25.170,WAS,@,TAM,L 20-37,*,12,40,3.33,1,4,3,49,16.33,0,75.0%,12.25,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,56%,0,0%,0,0%,
36,2024,2024-09-15,2,2,25.177,WAS,,NYG,W 21-18,*,17,133,7.82,0,3,1,3,3.00,0,33.3%,1.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,60%,0,0%,0,0%,
37,2024,2024-09-23,3,3,25.185,WAS,@,CIN,W 38-33,*,16,33,2.06,1,1,1,4,4.00,0,100.0%,4.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,76%,0,0%,0,0%,
38,2024,2024-09-29,4,4,25.191,WAS,@,ARI,W 42-14,*,21,101,4.81,1,3,3,12,4.00,0,100.0%,4.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,0,0%,
39,2024,2024-10-06,5,5,25.198,WAS,,CLE,W 34-13,*,7,18,2.57,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,
40,2024,2024-10-13,6,6,,WAS,@,BAL,L 23-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2024,2024-10-20,7,7,25.212,WAS,,CAR,W 40-7,,12,71,5.92,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,26,38%,0,0%,0,0%,
42,2024,2024-10-27,8,8,25.219,WAS,,CHI,W 18-15,*,16,65,4.06,0,1,1,11,11.00,0,100.0%,11.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,47%,0,0%,0,0%,
