Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2019,2019-12-29,16,17,24.003,JAX,,IND,W 38-20,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,3,4%,0,0%,0,0%,
12,2020,2020-09-14,1,1,24.263,TEN,@,DEN,W 16-14,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,16%,0,0%,0,0%,
13,2020,2020-09-20,2,2,24.269,TEN,,JAX,W 33-30,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,18%,0,0%,0,0%,
14,2020,2020-09-27,3,3,24.276,TEN,@,MIN,W 31-30,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,12%,0,0%,13,36%,
15,2020,2020-10-13,4,5,24.292,TEN,,BUF,W 42-16,,9,28,3.11,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,39%,0,0%,6,24%,
16,2020,2020-10-18,5,6,24.297,TEN,,HOU,W 42-36,,5,51,10.20,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,39%,0,0%,0,0%,
17,2020,2020-10-25,6,7,24.304,TEN,,PIT,L 24-27,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,26%,0,0%,0,0%,
18,2020,2020-11-01,7,8,24.311,TEN,@,CIN,L 20-31,,4,49,12.25,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,35%,0,0%,0,0%,
19,2020,2020-11-08,8,9,24.318,TEN,,CHI,W 24-17,,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,29%,0,0%,6,18%,
20,2020,2020-11-12,9,10,24.322,TEN,,IND,L 17-34,,3,26,8.67,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,26%,0,0%,6,24%,
21,2020,2020-11-22,10,11,24.332,TEN,@,BAL,W 30-24,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,6,22%,
22,2020,2020-11-29,11,12,24.339,TEN,@,IND,W 45-26,,8,20,2.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,25%,0,0%,1,3%,
23,2020,2020-12-06,12,13,24.346,TEN,,CLE,L 35-41,,2,2,1.00,1,4,3,15,5.00,0,75.0%,3.75,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,45%,0,0%,8,27%,
24,2020,2020-12-13,13,14,24.353,TEN,@,JAX,W 31-10,,11,9,0.82,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,33%,0,0%,3,12%,
25,2020,2020-12-20,14,15,24.360,TEN,,DET,W 46-25,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,12%,0,0%,0,0%,
26,2020,2020-12-27,15,16,25.001,TEN,@,GNB,L 14-40,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,16%,0,0%,7,32%,
27,2020,2021-01-03,16,17,25.008,TEN,@,HOU,W 41-38,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,11,15%,0,0%,9,26%,
28,2021,2021-09-12,1,1,25.260,TEN,,ARI,L 13-38,,2,9,4.50,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,36%,0,0%,0,0%,
29,2021,2021-09-19,2,2,25.267,TEN,@,SEA,W 33-30,,1,3,3.00,0,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,24%,0,0%,2,6%,
30,2021,2021-09-26,3,3,25.274,TEN,,IND,W 25-16,,2,6,3.00,0,2,1,10,10.00,1,50.0%,5.00,2,31,15.50,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,18,26%,0,0%,6,26%,
31,2021,2021-10-03,4,4,25.281,TEN,@,NYJ,L 24-27,,1,11,11.00,0,12,8,74,9.25,0,66.7%,6.17,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,40%,0,0%,0,0%,
32,2021,2021-10-10,5,5,25.288,TEN,@,JAX,W 37-19,,1,9,9.00,0,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,15,23%,0,0%,0,0%,
33,2021,2021-10-18,6,6,25.296,TEN,,BUF,W 34-31,,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,1,2%,0,0%,0,0%,
34,2021,2021-10-24,7,7,25.302,TEN,,KAN,W 27-3,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,15%,0,0%,0,0%,
35,2021,2021-10-31,8,8,25.309,TEN,@,IND,W 34-31,,0,0,,0,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,23%,0,0%,0,0%,
36,2021,2021-11-07,9,9,25.316,TEN,@,LAR,W 28-16,,7,24,3.43,0,3,3,11,3.67,0,100.0%,3.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,45%,0,0%,0,0%,
37,2021,2021-11-14,10,10,25.323,TEN,,NOR,W 23-21,,4,7,1.75,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,27%,0,0%,0,0%,
38,2021,2021-11-21,11,11,,TEN,,HOU,L 13-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
