Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,22.237,WAS,,PHI,L 17-30,*,,0,0,0.0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,42,61%,5,19%,
2,2017,2017-09-17,2,2,22.244,WAS,@,LAR,W 27-20,*,,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,29,58%,4,13%,
3,2017,2017-09-24,3,3,22.251,WAS,,OAK,W 27-10,*,,0,0,1.0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,22,43%,4,14%,
4,2017,2017-10-02,4,4,22.259,WAS,@,KAN,L 20-29,*,,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,37,49%,8,29%,
5,2017,2017-10-15,5,6,22.272,WAS,,SFO,W 26-24,*,,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,29,40%,5,17%,
6,2017,2017-10-23,,7,,WAS,@,PHI,L 24-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
7,2017,2017-10-29,,8,,WAS,,DAL,L 19-33,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
8,2017,2017-11-05,,9,,WAS,@,SEA,W 17-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,2017,2017-11-12,,10,,WAS,,MIN,L 30-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,2017,2017-11-19,,11,,WAS,@,NOR,L 31-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,2017,2017-11-23,,12,,WAS,,NYG,W 20-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,2017,2017-11-30,,13,,WAS,@,DAL,L 14-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,2017,2017-12-10,,14,,WAS,@,LAC,L 13-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,2017,2017-12-17,,15,,WAS,,ARI,W 20-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2017,2017-12-24,,16,,WAS,,DEN,W 27-11,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2017,2017-12-31,,17,,WAS,@,NYG,L 10-18,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2018,2018-09-09,1,1,23.236,WAS,@,ARI,W 24-6,*,,0,0,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,28,53%,0,0%,
18,2018,2018-09-16,2,2,23.243,WAS,,IND,L 9-21,*,,0,0,0.0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,43,70%,3,12%,
19,2018,2018-09-23,3,3,23.250,WAS,,GNB,W 31-17,*,,0,0,2.0,3,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,65,94%,4,14%,
20,2018,2018-10-08,4,5,23.265,WAS,@,NOR,L 19-43,*,,0,0,0.0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,55,83%,6,24%,
21,2018,2018-10-14,5,6,23.271,WAS,,CAR,W 23-17,*,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,49,82%,2,8%,
22,2018,2018-10-21,6,7,23.278,WAS,,DAL,W 20-17,*,,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,82%,4,14%,
23,2018,2018-10-28,7,8,23.285,WAS,@,NYG,W 20-13,*,,0,0,1.0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,69%,3,10%,
24,2018,2018-11-04,8,9,23.292,WAS,,ATL,L 14-38,*,,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,79%,7,28%,
25,2018,2018-11-11,9,10,23.299,WAS,@,TAM,W 16-3,*,,0,0,0.0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,43,62%,3,15%,
26,2018,2018-11-18,10,11,23.306,WAS,,HOU,L 21-23,*,,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,51,81%,7,26%,
27,2018,2018-11-22,11,12,23.310,WAS,@,DAL,L 23-31,*,,0,0,1.0,5,5,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,47,67%,5,16%,
28,2018,2018-12-03,12,13,23.321,WAS,@,PHI,L 13-28,*,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,77%,7,28%,
29,2018,2018-12-09,13,14,23.327,WAS,,NYG,L 16-40,*,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,91%,7,23%,
30,2018,2018-12-16,14,15,23.334,WAS,@,JAX,W 16-13,*,,0,0,2.0,4,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0%,30,58%,7,27%,
31,2018,2018-12-22,15,16,23.340,WAS,@,TEN,L 16-25,*,,0,0,1.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,71%,8,35%,
32,2018,2018-12-30,16,17,23.348,WAS,,PHI,L 0-24,*,,0,0,0.0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,79%,4,21%,
33,2019,2019-09-08,1,1,24.235,WAS,@,PHI,L 27-32,*,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,7,9%,0,0%,
34,2019,2019-09-15,,2,,WAS,,DAL,L 21-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2019,2019-09-23,3,3,24.250,WAS,,CHI,L 15-31,*,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,70%,0,0%,
36,2019,2019-09-29,4,4,24.256,WAS,@,NYG,L 3-24,*,,0,0,0.0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,56%,0,0%,
37,2019,2019-10-06,5,5,24.263,WAS,,NWE,L 7-33,*,,0,0,1.0,4,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,58,75%,0,0%,
38,2019,2019-10-13,6,6,24.270,WAS,@,MIA,W 17-16,*,,0,0,2.0,3,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0%,36,48%,0,0%,
