Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2015,2015-09-13,1,1,22.088,WAS,,MIA,L 10-17,,1,1,0,0.00,0,100.0%,0.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,18%,0,0%,4,20%,
2,2015,2015-09-20,2,2,22.095,WAS,,STL,W 24-10,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,12,2.40,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,12%,0,0%,10,33%,
3,2015,2015-09-24,3,3,22.099,WAS,@,NYG,L 21-32,,6,6,45,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,51,67%,0,0%,4,14%,
4,2015,2015-10-04,4,4,22.109,WAS,,PHI,W 23-20,,12,7,65,9.29,0,58.3%,5.42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,72%,0,0%,6,20%,
5,2015,2015-10-11,5,5,22.116,WAS,@,ATL,L 19-25,*,8,8,87,10.88,0,100.0%,10.88,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,49,80%,0,0%,1,4%,
6,2015,2015-10-18,6,6,22.123,WAS,@,NYJ,L 20-34,,9,4,40,10.00,0,44.4%,4.44,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,81%,0,0%,3,9%,
7,2015,2015-10-25,7,7,22.130,WAS,,TAM,W 31-30,*,5,5,48,9.60,0,100.0%,9.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,81%,0,0%,2,7%,
8,2015,2015-11-08,8,9,22.144,WAS,@,NWE,L 10-27,*,8,6,50,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,55,95%,0,0%,2,9%,
9,2015,2015-11-15,9,10,22.151,WAS,,NOR,W 47-14,,5,4,60,15.00,1,80.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,26,6.50,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,46,74%,0,0%,4,14%,
10,2015,2015-11-22,10,11,22.158,WAS,@,CAR,L 16-44,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,2,3,1.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,90%,0,0%,6,19%,
11,2015,2015-11-29,11,12,22.165,WAS,,NYG,W 20-14,,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,82%,0,0%,5,18%,
12,2015,2015-12-07,12,13,22.173,WAS,,DAL,L 16-19,*,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,6,,0,1,7,7.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,83%,0,0%,3,10%,
13,2015,2015-12-13,13,14,22.179,WAS,@,CHI,W 24-21,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,70%,0,0%,9,35%,
14,2015,2015-12-20,14,15,22.186,WAS,,BUF,W 35-25,,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,5,2.50,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,40,70%,0,0%,4,15%,
15,2015,2015-12-26,15,16,22.192,WAS,@,PHI,W 38-24,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,63,83%,0,0%,7,20%,
16,2015,2016-01-03,16,17,22.200,WAS,@,DAL,W 34-23,,7,5,109,21.80,1,71.4%,15.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,62%,0,0%,7,23%,
17,2016,2016-09-12,1,1,23.087,WAS,,PIT,L 16-38,*,10,6,58,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,17,17.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,47,81%,0,0%,2,8%,
18,2016,2016-09-18,2,2,23.093,WAS,,DAL,L 23-27,,8,6,39,6.50,1,75.0%,4.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,30,15.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,72%,0,0%,3,11%,
19,2016,2016-09-25,3,3,23.100,WAS,@,NYG,W 29-27,*,7,4,78,19.50,1,57.1%,11.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,58,29.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,62%,0,0%,3,9%,
20,2016,2016-10-02,4,4,23.107,WAS,,CLE,W 31-20,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,55%,0,0%,1,4%,
21,2016,2016-10-09,5,5,23.114,WAS,@,BAL,W 16-10,,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,89,44.50,1,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,56%,0,0%,8,29%,
22,2016,2016-10-16,6,6,23.121,WAS,,PHI,W 27-20,,4,3,52,17.33,1,75.0%,13.00,1,-9,-9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,13,4.33,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,76%,0,0%,6,20%,
23,2016,2016-10-23,7,7,23.128,WAS,@,DET,L 17-20,*,9,7,108,15.43,0,77.8%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,75%,0,0%,1,5%,
24,2016,2016-10-30,8,8,23.135,WAS,@,CIN,T 27-27,,13,9,107,11.89,1,69.2%,8.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,64,70%,0,0%,8,25%,
25,2016,2016-11-13,9,10,23.149,WAS,,MIN,W 26-20,,6,4,37,9.25,1,66.7%,6.17,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,75%,0,0%,5,19%,
26,2016,2016-11-20,10,11,23.156,WAS,,GNB,W 42-24,,3,3,102,34.00,1,100.0%,34.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,58%,0,0%,4,14%,
27,2016,2016-11-24,11,12,23.160,WAS,@,DAL,L 26-31,,10,8,88,11.00,0,80.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,80%,0,0%,2,8%,
28,2016,2016-12-04,12,13,23.170,WAS,@,ARI,L 23-31,*,8,3,42,14.00,1,37.5%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,83%,0,0%,3,11%,
29,2016,2016-12-11,13,14,23.177,WAS,@,PHI,W 27-22,*,5,2,37,18.50,0,40.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,13,6.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,85%,0,0%,2,8%,
30,2016,2016-12-19,14,15,23.185,WAS,,CAR,L 15-26,*,5,4,24,6.00,0,80.0%,4.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,14,4.67,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,56,88%,0,0%,6,17%,
31,2016,2016-12-24,15,16,23.190,WAS,@,CHI,W 41-21,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,84%,0,0%,4,15%,
32,2016,2017-01-01,16,17,23.198,WAS,,NYG,L 10-19,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,40,8.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,87%,0,0%,8,29%,
33,2017,2017-09-10,1,1,24.085,WAS,,PHI,L 17-30,*,7,3,14,4.67,0,42.9%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,1.50,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,49,78%,0,0%,4,15%,
34,2017,2017-09-17,2,2,24.092,WAS,@,LAR,W 27-20,,5,4,47,11.75,0,80.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,13,6.50,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,38,54%,0,0%,5,16%,
35,2017,2017-09-24,3,3,24.099,WAS,,OAK,W 27-10,,6,6,52,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,23,5.75,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,48,71%,0,0%,7,24%,
36,2017,2017-10-02,4,4,24.107,WAS,@,KAN,L 20-29,,1,1,-7,-7.00,0,100.0%,-7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,36,72%,0,0%,3,11%,
37,2017,2017-10-15,5,6,24.120,WAS,,SFO,W 26-24,*,5,3,15,5.00,0,60.0%,3.00,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,72%,0,0%,7,23%,
38,2017,2017-10-23,6,7,24.128,WAS,@,PHI,L 24-34,*,6,2,28,14.00,0,33.3%,4.67,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,24,8.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,58,91%,0,0%,3,9%,
39,2017,2017-10-29,7,8,24.134,WAS,,DAL,L 19-33,*,13,9,123,13.67,0,69.2%,9.46,2,12,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,56,95%,0,0%,3,9%,
40,2017,2017-11-05,,9,,WAS,@,SEA,W 17-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2017,2017-11-12,9,10,24.148,WAS,,MIN,L 30-38,,11,4,76,19.00,0,36.4%,6.91,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,80%,0,0%,2,7%,
