Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
30,2022,2022-12-04,13,13,23.033,WAS,@,NYG,T 20-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,17,20%,0,0%,0,0%,
31,2022,2022-12-18,14,15,23.047,WAS,,NYG,L 12-20,,2,0,0,,0,0.0%,0.00,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,16%,0,0%,2,8%,
32,2022,2022-12-24,15,16,23.053,WAS,@,SFO,L 20-37,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,7,10%,0,0%,7,26%,
33,2022,2023-01-01,16,17,23.061,WAS,,CLE,L 10-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,11,16%,0,0%,7,33%,
34,2022,2023-01-08,17,18,23.068,WAS,,DAL,W 26-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,12%,0,0%,9,26%,
35,2023,2023-09-10,1,1,23.313,WAS,,ARI,W 20-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,19,27%,0,0%,5,18%,
36,2023,2023-09-17,2,2,23.320,WAS,@,DEN,W 35-33,,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,32%,0,0%,10,33%,
37,2023,2023-09-24,3,3,23.327,WAS,,BUF,L 3-37,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,22%,0,0%,2,9%,
38,2023,2023-10-01,4,4,23.334,WAS,@,PHI,L 31-34,,3,2,51,25.50,0,66.7%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,32%,0,0%,6,19%,
39,2023,2023-10-05,5,5,23.338,WAS,,CHI,L 20-40,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,24%,0,0%,18,60%,
40,2023,2023-10-15,6,6,23.348,WAS,@,ATL,W 24-16,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,22%,0,0%,3,13%,
41,2023,2023-10-22,7,7,23.355,WAS,@,NYG,L 7-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,11,16%,0,0%,15,52%,
42,2023,2023-10-29,8,8,23.362,WAS,,PHI,L 31-38,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,31%,0,0%,8,29%,
43,2023,2023-11-05,9,9,24.004,WAS,@,NWE,W 20-17,,4,2,33,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,29%,0,0%,5,18%,
44,2023,2023-11-12,10,10,24.011,WAS,@,SEA,L 26-29,,2,2,41,20.50,1,100.0%,20.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,11,18%,0,0%,4,11%,
45,2023,2023-11-19,11,11,24.018,WAS,,NYG,L 19-31,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,26%,0,0%,10,34%,
46,2023,2023-11-23,12,12,24.022,WAS,@,DAL,L 10-45,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,24%,0,0%,13,52%,
47,2023,2023-12-03,13,13,24.032,WAS,,MIA,L 15-45,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,11,20%,0,0%,16,57%,
48,2023,2023-12-17,14,15,24.046,WAS,@,LAR,L 20-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,6,10%,0,0%,15,56%,
49,2023,2023-12-24,15,16,24.053,WAS,@,NYJ,L 28-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,21%,0,0%,21,58%,
50,2023,2023-12-31,16,17,24.060,WAS,,SFO,L 10-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2,4%,0,0%,13,62%,
51,2023,2024-01-07,17,18,24.067,WAS,,DAL,L 10-38,,0,0,0,,0,0.0%,,0,0,,0,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,14%,0,0%,12,55%,
52,2024,2024-09-08,1,1,24.312,WAS,@,TAM,L 20-37,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,33,56%,0,0%,8,30%,
53,2024,2024-09-15,2,2,24.319,WAS,,NYG,W 21-18,*,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,69%,0,0%,4,19%,
54,2024,2024-09-23,3,3,24.327,WAS,@,CIN,W 38-33,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,22%,0,0%,6,23%,
55,2024,2024-09-29,4,4,24.333,WAS,@,ARI,W 42-14,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,25%,0,0%,3,13%,
56,2024,2024-10-06,5,5,24.340,WAS,,CLE,W 34-13,,2,2,57,28.50,1,100.0%,28.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,55%,0,0%,0,0%,
57,2024,2024-10-13,6,6,24.347,WAS,@,BAL,L 23-30,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,32%,0,0%,7,24%,
58,2024,2024-10-20,7,7,24.354,WAS,,CAR,W 40-7,,3,1,23,23.00,0,33.3%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,30%,0,0%,2,8%,
59,2024,2024-10-27,8,8,24.361,WAS,,CHI,W 18-15,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,32%,0,0%,3,12%,
60,2024,2024-11-03,9,9,25.002,WAS,@,NYG,W 27-22,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,42%,0,0%,5,23%,
61,2024,2024-11-10,10,10,25.009,WAS,,PIT,L 27-28,,3,2,-13,-6.50,0,66.7%,-4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,16%,0,0%,5,16%,
62,2024,2024-11-14,11,11,25.013,WAS,@,PHI,L 18-26,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,38%,0,0%,6,22%,
