Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
42,2023,2023-10-29,8,8,24.255,WAS,,PHI,L 31-38,*,,,,,,,72,100%,0,0%,5,18%,
43,2023,2023-11-05,9,9,24.262,WAS,@,NWE,W 20-17,*,,,,,,,78,100%,0,0%,4,14%,
44,2023,2023-11-12,10,10,24.269,WAS,@,SEA,L 26-29,*,,,,,,,61,100%,0,0%,5,14%,
45,2023,2023-11-19,11,11,24.276,WAS,,NYG,L 19-31,*,,,,,,,81,100%,0,0%,4,14%,
46,2023,2023-11-23,12,12,24.280,WAS,@,DAL,L 10-45,*,,,,,,,78,100%,0,0%,2,8%,
47,2023,2023-12-03,13,13,24.290,WAS,,MIA,L 15-45,*,,,,,,,55,100%,0,0%,2,7%,
48,2023,2023-12-17,14,15,24.304,WAS,@,LAR,L 20-28,*,,,,,,,60,100%,0,0%,3,11%,
49,2023,2023-12-24,15,16,24.311,WAS,@,NYJ,L 28-30,*,,,,,,,61,100%,0,0%,4,11%,
50,2023,2023-12-31,16,17,24.318,WAS,,SFO,L 10-27,*,,,,,,,46,100%,0,0%,2,10%,
51,2023,2024-01-07,17,18,24.325,WAS,,DAL,L 10-38,*,,,,,,,49,100%,0,0%,2,9%,
52,2024,2024-09-08,1,1,25.205,WAS,@,TAM,L 20-37,*,,,,,,,59,100%,0,0%,4,15%,
53,2024,2024-09-15,2,2,25.212,WAS,,NYG,W 21-18,*,,,,,,,71,99%,0,0%,7,33%,
54,2024,2024-09-23,3,3,25.220,WAS,@,CIN,W 38-33,*,,,,,,,59,100%,0,0%,6,23%,
55,2024,2024-09-29,4,4,25.226,WAS,@,ARI,W 42-14,*,,,,,,,72,100%,0,0%,6,26%,
56,2024,2024-10-06,5,5,25.233,WAS,,CLE,W 34-13,*,,,,,,,67,100%,0,0%,6,19%,
57,2024,2024-10-13,6,6,25.240,WAS,@,BAL,L 23-30,*,,,,,,,59,100%,0,0%,6,21%,
58,2024,2024-10-20,7,7,25.247,WAS,,CAR,W 40-7,*,,,,,,,69,100%,0,0%,8,31%,
59,2024,2024-10-27,8,8,25.254,WAS,,CHI,W 18-15,*,,,,,,,74,100%,0,0%,5,19%,
60,2024,2024-11-03,9,9,25.261,WAS,@,NYG,W 27-22,*,,,,,,,62,100%,0,0%,5,23%,
61,2024,2024-11-10,10,10,25.268,WAS,,PIT,L 27-28,*,,,,,,,64,100%,0,0%,5,16%,
62,2024,2024-11-14,11,11,25.272,WAS,@,PHI,L 18-26,*,,,,,,,66,100%,0,0%,2,7%,
