Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
24,2018,2018-10-28,,8,,CIN,,TAM,W 37-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2018,2018-11-11,9,10,25.202,CIN,,NOR,L 14-51,,2,3,66.67,45,0,0,109.7,0,0,15.00,15.00,2,35,17.50,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,7,16%,0,0%,0,0%,
26,2018,2018-11-18,10,11,25.209,CIN,@,BAL,L 21-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,1,2%,0,0%,0,0%,
27,2018,2018-11-25,11,12,25.216,CIN,,CLE,L 20-35,,17,29,58.62,155,1,0,84.7,1,12,5.34,6.03,3,9,3.00,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,44,59%,0,0%,0,0%,
28,2018,2018-12-02,12,13,25.223,CIN,,DEN,L 10-24,*,25,37,67.57,236,1,1,82.7,4,34,6.38,5.70,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,
29,2018,2018-12-09,13,14,25.230,CIN,@,LAC,L 21-26,*,18,27,66.67,170,1,0,96.2,3,19,6.30,7.04,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
30,2018,2018-12-16,14,15,25.237,CIN,,OAK,W 30-16,*,14,33,42.42,130,1,1,51.3,1,7,3.94,3.18,7,32,4.57,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,
31,2018,2018-12-23,15,16,25.244,CIN,@,CLE,L 18-26,*,13,19,68.42,133,2,0,123.4,3,26,7.00,9.11,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,47,100%,0,0%,0,0%,
32,2018,2018-12-30,16,17,25.251,CIN,@,PIT,L 13-16,*,12,24,50.00,95,0,0,60.2,4,24,3.96,3.96,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,2,0,0,2,0,0,49,100%,0,0%,0,0%,
33,2019,2019-09-08,,1,,CIN,@,SEA,L 20-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
34,2019,2019-09-22,,3,,DET,@,PHI,W 27-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
