Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2018,2018-09-16,,2,,LAC,@,BUF,W 31-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2018,2018-09-23,3,3,24.241,LAC,@,LAR,L 23-35,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,6%,0,0%,0,0%,
3,2018,2018-09-30,4,4,24.248,LAC,,SFO,W 29-27,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,51%,0,0%,6,19%,
4,2018,2018-10-07,5,5,24.255,LAC,,OAK,W 26-10,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,6,24%,
5,2018,2018-10-14,6,6,24.262,LAC,@,CLE,W 38-14,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,12%,0,0%,6,21%,
6,2018,2018-10-21,,7,,LAC,,TEN,W 20-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2018,2018-11-04,,9,,LAC,@,SEA,W 25-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2018,2018-11-11,,10,,LAC,@,OAK,W 20-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2018,2018-11-18,,11,,LAC,,DEN,L 22-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2018,2018-11-25,,12,,LAC,,ARI,W 45-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2018,2018-12-02,12,13,24.311,LAC,@,PIT,W 33-30,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,6,20%,
12,2018,2018-12-09,13,14,24.318,LAC,,CIN,W 26-21,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,21%,
13,2018,2018-12-13,14,15,24.322,LAC,@,KAN,W 29-28,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,3,13%,
14,2018,2018-12-22,15,16,24.331,LAC,,BAL,L 10-22,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,2,7%,
15,2018,2018-12-30,16,17,24.339,LAC,@,DEN,W 23-9,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,20%,0,0%,3,13%,
16,2019,2019-09-08,1,1,25.226,LAC,,IND,W 30-24,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,63,100%,0,0%,5,19%,
17,2019,2019-09-15,2,2,25.233,LAC,@,DET,L 10-13,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,65,100%,0,0%,4,18%,
18,2019,2019-09-22,3,3,25.240,LAC,,HOU,L 20-27,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,74,100%,0,0%,4,15%,
19,2019,2019-09-29,4,4,25.247,LAC,@,MIA,W 30-10,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,64,96%,0,0%,7,30%,
20,2019,2019-10-06,5,5,25.254,LAC,,DEN,L 13-20,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,70,100%,0,0%,4,15%,
21,2019,2019-10-13,6,6,25.261,LAC,,PIT,L 17-24,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,62,100%,0,0%,4,15%,
22,2019,2019-10-20,7,7,25.268,LAC,@,TEN,L 20-23,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,63,100%,0,0%,5,21%,
23,2019,2019-10-27,8,8,25.275,LAC,@,CHI,W 17-16,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,16,36%,0,0%,4,15%,
24,2019,2019-11-03,9,9,25.282,LAC,,GNB,W 26-11,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,57,80%,0,0%,8,31%,
25,2019,2019-11-07,10,10,25.286,LAC,@,OAK,L 24-26,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,75,100%,0,0%,4,14%,
26,2019,2019-11-18,11,11,25.297,LAC,,KAN,L 17-24,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,4,15%,
