Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
64,2020,2020-11-30,11,12,28.276,SEA,@,PHI,W 23-17,,,,,,,,0,,,0,0,0,0,0%,0,0%,8,32%,
65,2020,2020-12-06,12,13,28.282,SEA,,NYG,L 12-17,,,,,,,,0,,,0,0,0,0,0%,0,0%,8,30%,
66,2020,2020-12-13,13,14,28.289,SEA,,NYJ,W 40-3,,,,,,,,0,,,0,0,0,0,0%,0,0%,9,32%,
67,2020,2020-12-20,14,15,28.296,SEA,@,WAS,W 20-15,,,,,,,,0,,,0,0,0,0,0%,0,0%,8,33%,
68,2020,2020-12-27,15,16,28.303,SEA,,LAR,W 20-9,,,,,,,,0,,,0,0,0,0,0%,0,0%,10,37%,
69,2020,2021-01-03,16,17,28.310,SEA,@,SFO,W 26-23,,,,,,,,0,,,0,0,0,0,0%,0,0%,10,31%,
70,2021,2021-09-12,1,1,29.196,SEA,@,IND,W 28-16,,,,,,,,,,,,,,0,0%,0,0%,9,38%,
71,2021,2021-09-19,2,2,29.203,SEA,,TEN,L 30-33,,,,,,,,,,,,,,0,0%,0,0%,12,33%,
72,2021,2021-09-26,3,3,29.210,SEA,@,MIN,L 17-30,,,,,,,,,,,,,,0,0%,0,0%,6,24%,
73,2021,2021-10-03,4,4,29.217,SEA,@,SFO,W 28-21,,,,,,,,,,,,,,0,0%,0,0%,13,42%,
74,2021,2021-10-07,5,5,29.221,SEA,,LAR,L 17-26,,,,,,,,,,,,,,0,0%,0,0%,8,29%,
75,2021,2021-10-17,6,6,29.231,SEA,@,PIT,L 20-23,,,,,,,,,,,,,,0,0%,0,0%,12,35%,
76,2021,2021-10-25,7,7,29.239,SEA,,NOR,L 10-13,,,,,,,,,,,,,,0,0%,0,0%,9,36%,
77,2021,2021-10-31,8,8,29.245,SEA,,JAX,W 31-7,,,,,,,,,,,,,,0,0%,0,0%,10,44%,
78,2021,2021-11-14,9,10,29.259,SEA,@,GNB,L 0-17,,,,,,,,,,,,,,0,0%,0,0%,6,33%,
79,2021,2021-11-21,10,11,29.266,SEA,,ARI,L 13-23,,,,,,,,,,,,,,0,0%,0,0%,8,30%,
80,2021,2021-11-29,11,12,29.274,SEA,@,WAS,L 15-17,,,,,,,,,,,,,,0,0%,0,0%,9,38%,
81,2021,2021-12-05,12,13,29.280,SEA,,SFO,W 30-23,,,,,,,,,,,,,,0,0%,0,0%,11,38%,
82,2021,2021-12-12,13,14,29.287,SEA,@,HOU,W 33-13,,,,,,,,,,,,,,0,0%,0,0%,9,32%,
83,2021,2021-12-21,14,15,29.296,SEA,@,LAR,L 10-20,,,,,,,,,,,,,,0,0%,0,0%,8,33%,
84,2021,2021-12-26,15,16,29.301,SEA,,CHI,L 24-25,,,,,,,,,,,,,,0,0%,0,0%,9,36%,
85,2021,2022-01-02,16,17,29.308,SEA,,DET,W 51-29,,,,,,,,,,,,,,0,0%,0,0%,10,31%,
86,2021,2022-01-09,17,18,29.315,SEA,@,ARI,W 38-30,,,,,,,,,,,,,,0,0%,0,0%,8,25%,
87,2022,2022-09-12,1,1,,SEA,,DEN,W 17-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
88,2022,2022-09-18,2,2,,SEA,@,SFO,L 7-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
89,2022,2022-09-25,3,3,,SEA,,ATL,L 23-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
90,2022,2022-10-02,4,4,,SEA,@,DET,W 48-45,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
91,2022,2022-10-09,5,5,,SEA,@,NOR,L 32-39,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
92,2022,2022-10-16,6,6,,SEA,,ARI,W 19-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
93,2022,2022-10-23,7,7,,SEA,@,LAC,W 37-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
