Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
31,2021,2021-12-26,15,16,23.303,CAR,,TAM,L 6-32,*,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,100%,9,33%,
32,2021,2022-01-02,16,17,23.310,CAR,@,NOR,L 10-18,*,0,0,,0,0,0,1.0,4,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,12,44%,
33,2021,2022-01-09,17,18,,CAR,@,TAM,L 17-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,2022,2022-09-11,1,1,24.197,CAR,,CLE,L 24-26,*,0,0,,0,0,0,0.0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,80,100%,6,19%,
35,2022,2022-09-18,2,2,24.204,CAR,@,NYG,L 16-19,*,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,73,100%,5,17%,
36,2022,2022-09-25,3,3,24.211,CAR,,NOR,W 22-14,*,0,0,,0,0,0,1.0,6,2,8,1,1,0,0,0,2,0,0,0,0,0,0,0,0%,69,100%,6,21%,
37,2022,2022-10-02,4,4,24.218,CAR,,ARI,L 16-26,*,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,6,8%,0,0%,
38,2022,2022-10-09,5,5,,CAR,,SFO,L 15-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,2022,2022-10-16,6,6,,CAR,@,LAR,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,2022,2022-10-23,7,7,,CAR,,TAM,W 21-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
