Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,,1,,DAL,,NYG,W 19-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2018,2018-09-09,,1,,DAL,@,CAR,L 8-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
18,2018,2018-09-16,,2,,DAL,,NYG,W 20-13,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
19,2018,2018-09-23,,3,,DAL,@,SEA,L 13-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
20,2018,2018-09-30,,4,,DAL,,DET,W 26-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
21,2018,2018-10-07,,5,,DAL,@,HOU,L 16-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
22,2018,2018-10-14,,6,,DAL,,JAX,W 40-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
23,2018,2018-10-21,,7,,DAL,@,WAS,L 17-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
24,2018,2018-11-05,,9,,DAL,,TEN,L 14-28,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
25,2018,2018-11-11,9,10,22.309,DAL,@,PHI,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,13%,0,0%,18,64%,
26,2018,2018-11-18,10,11,22.316,DAL,@,ATL,W 22-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,10,16%,0,0%,14,54%,
27,2018,2018-11-22,11,12,22.320,DAL,,WAS,W 31-23,,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,29%,0,0%,21,68%,
28,2018,2018-11-29,12,13,22.327,DAL,,NOR,W 13-10,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,21,30%,0,0%,13,65%,
29,2018,2018-12-09,13,14,22.337,DAL,,PHI,W 29-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,8%,0,0%,16,55%,
30,2018,2018-12-16,14,15,22.344,DAL,@,IND,L 0-23,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,19%,0,0%,9,60%,
31,2018,2018-12-23,15,16,22.351,DAL,,TAM,W 27-20,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,21%,0,0%,17,63%,
32,2018,2018-12-30,16,17,22.358,DAL,@,NYG,W 36-35,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,10,13%,0,0%,18,64%,
33,2020,2020-09-13,1,1,24.251,DAL,@,LAR,L 17-20,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,3,4%,0,0%,12,46%,
34,2020,2020-09-20,2,2,24.258,DAL,,ATL,W 40-39,,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,10%,0,0%,19,51%,
35,2020,2020-09-27,3,3,24.265,DAL,@,SEA,L 31-38,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,29,35%,0,0%,15,44%,
36,2020,2020-10-04,4,4,24.272,DAL,,CLE,L 38-49,,4,4,43,10.75,0,100.0%,10.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,27%,0,0%,16,52%,
37,2020,2020-10-11,5,5,24.279,DAL,,NYG,W 37-34,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,21,32%,0,0%,16,47%,
38,2020,2020-10-19,6,6,24.287,DAL,,ARI,L 10-38,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,26%,0,0%,13,48%,
39,2020,2020-10-25,7,7,24.293,DAL,@,WAS,L 3-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,15,26%,0,0%,10,50%,
