Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
27,2020,2020-11-29,11,12,,CIN,,NYG,L 17-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2020,2020-12-06,12,13,,CIN,@,MIA,L 7-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2020,2020-12-13,13,14,24.028,CIN,,DAL,L 7-30,,1,1,100.0,,,,0,1,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,14%,
30,2020,2020-12-21,14,15,24.036,CIN,,PIT,W 27-17,,3,3,100.0,2,3,66.7,0,9,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,38%,
31,2020,2020-12-27,15,16,24.042,CIN,@,HOU,W 37-31,,4,4,100.0,3,4,75.0,0,13,0,0,,0,0,,0,,0,,0,0,0%,0,0%,16,50%,
32,2020,2021-01-03,16,17,24.049,CIN,,BAL,L 3-38,,,,,1,1,100.0,0,3,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,12%,
33,2021,2021-09-12,1,1,24.301,DET,,SFO,L 33-41,,2,2,100.0,1,2,50.0,0,5,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,32%,
34,2021,2021-09-20,2,2,24.309,DET,@,GNB,L 17-35,,2,2,100.0,1,1,100.0,0,5,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,30%,
35,2021,2021-09-26,3,3,,DET,,BAL,L 17-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,2021,2021-10-03,4,4,,DET,@,CHI,L 14-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
