Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-17,2,2,22.254,LAC,,MIA,L 17-19,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,11,41%,
2,2017,2017-09-24,3,3,22.261,LAC,,KAN,L 10-24,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,62%,
3,2017,2017-10-01,4,4,22.268,LAC,,PHI,L 24-26,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,70%,
4,2017,2017-10-08,5,5,22.275,LAC,@,NYG,W 27-22,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,27,84%,
5,2017,2017-10-15,6,6,22.282,LAC,@,OAK,W 17-16,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,82%,
6,2017,2017-10-22,7,7,22.289,LAC,,DEN,W 21-0,,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,20,83%,
7,2017,2017-10-29,8,8,22.296,LAC,@,NWE,L 13-21,,2,36,18.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,79%,
8,2017,2017-11-12,9,10,22.310,LAC,@,JAX,L 17-20,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,7%,29,81%,
9,2017,2017-11-19,10,11,22.317,LAC,,BUF,W 54-24,,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,26,40%,19,54%,
10,2017,2017-11-23,11,12,22.321,LAC,@,DAL,W 28-6,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,11,58%,
11,2017,2017-12-03,12,13,22.331,LAC,,CLE,W 19-10,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,57%,
12,2017,2017-12-10,13,14,22.338,LAC,,WAS,W 30-13,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,2%,22,71%,
13,2017,2017-12-16,14,15,22.344,LAC,@,KAN,L 13-30,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,64%,
14,2017,2017-12-24,15,16,22.352,LAC,@,NYJ,W 14-7,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,23,82%,
15,2017,2017-12-31,16,17,22.359,LAC,,OAK,W 30-10,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,16,73%,
16,2018,2018-09-09,1,1,23.246,LAC,,KAN,L 28-38,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,60%,
17,2018,2018-09-16,2,2,23.253,LAC,@,BUF,W 31-20,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,70%,
18,2018,2018-09-23,3,3,23.260,LAC,@,LAR,L 23-35,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,15,60%,
19,2018,2018-09-30,4,4,23.267,LAC,,SFO,W 29-27,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,20,62%,
20,2018,2018-10-07,5,5,23.274,LAC,,OAK,W 26-10,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,26%,16,64%,
21,2018,2018-10-14,6,6,23.281,LAC,@,CLE,W 38-14,,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,30%,20,69%,
22,2018,2018-10-21,7,7,23.288,LAC,,TEN,W 20-19,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,11%,14,61%,
23,2018,2018-11-04,8,9,23.302,LAC,@,SEA,W 25-17,*,0,0,,0,0,0,0.0,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,81,100%,5,18%,
24,2018,2018-11-11,9,10,23.309,LAC,@,OAK,W 20-6,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,100%,4,18%,
25,2018,2018-11-18,10,11,23.316,LAC,,DEN,L 22-23,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,56,100%,8,31%,
26,2018,2018-11-25,11,12,23.323,LAC,,ARI,W 45-10,*,0,0,,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,100%,16,57%,
