Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,22.349,WAS,,ARI,W 20-16,,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,20,71%,
2,2023,2023-09-17,2,2,22.356,WAS,@,DEN,W 35-33,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,17,57%,
3,2023,2023-09-24,3,3,22.363,WAS,,BUF,L 3-37,,,,,,,,,,,0.0%,,0,0,,,,,,,,,,,,,1,2%,0,0%,14,64%,
4,2023,2023-10-01,4,4,,WAS,@,PHI,L 31-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2023,2023-10-05,5,5,,WAS,,CHI,L 20-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2023,2023-10-15,6,6,23.019,WAS,@,ATL,W 24-16,,4,23,5.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,12%,0,0%,13,54%,
7,2023,2023-10-22,7,7,23.026,WAS,@,NYG,L 7-14,,7,31,4.43,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,19,66%,
8,2023,2023-10-29,8,8,23.033,WAS,,PHI,L 31-38,,,,,,,,,,,0.0%,,0,0,,,,,,,,,,,,,0,0%,0,0%,11,39%,
9,2023,2023-11-05,9,9,23.040,WAS,@,NWE,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,61%,
10,2023,2023-11-12,10,10,23.047,WAS,@,SEA,L 26-29,,,,,,,,,,,0.0%,,0,0,,,,,,,,,,,,,0,0%,0,0%,16,46%,
11,2023,2023-11-19,11,11,23.054,WAS,,NYG,L 19-31,,6,43,7.17,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,16,20%,0,0%,14,48%,
12,2023,2023-11-23,12,12,23.058,WAS,@,DAL,L 10-45,,4,21,5.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,5%,0,0%,14,56%,
13,2023,2023-12-03,13,13,23.068,WAS,,MIA,L 15-45,,7,29,4.14,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,22%,0,0%,17,61%,
14,2023,2023-12-17,14,15,23.082,WAS,@,LAR,L 20-28,,10,35,3.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,33%,0,0%,14,52%,
15,2023,2023-12-24,15,16,23.089,WAS,@,NYJ,L 28-30,,10,58,5.80,2,1,1,7,7.00,0,100.0%,7.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,24,39%,0,0%,13,36%,
16,2023,2023-12-31,16,17,,WAS,,SFO,L 10-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
