Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sfty,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2012,2012-09-09,1,1,22.074,SEA,@,ARI,L 16-20,*,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,52%,6,20%,
2,2012,2012-09-16,2,2,22.081,SEA,,DAL,W 27-7,*,,0,0,0.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,35,61%,5,21%,
3,2012,2012-09-24,3,3,22.089,SEA,,GNB,W 14-12,,,0,0,0.0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,55%,7,30%,
4,2012,2012-09-30,4,4,22.095,SEA,@,STL,L 13-19,*,,0,0,0.0,7,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,59%,9,35%,
5,2012,2012-10-07,5,5,22.102,SEA,@,CAR,W 16-12,*,,0,0,1.0,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,100%,4,15%,
6,2012,2012-10-14,6,6,22.109,SEA,,NWE,W 24-23,*,,0,0,0.0,7,7,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,86,100%,5,18%,
7,2012,2012-10-18,7,7,22.113,SEA,@,SFO,L 6-13,*,,0,0,0.0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,58,100%,8,35%,
8,2012,2012-10-28,8,8,22.123,SEA,@,DET,L 24-28,*,,0,0,0.0,6,6,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,92%,4,15%,
9,2012,2012-11-04,9,9,22.130,SEA,,MIN,W 30-20,*,,0,0,1.0,5,5,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,54,100%,4,15%,
10,2012,2012-11-11,10,10,22.137,SEA,,NYJ,W 28-7,*,,0,0,0.0,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,100%,6,24%,
11,2012,2012-11-25,11,12,22.151,SEA,@,MIA,L 21-24,*,,0,0,0.0,7,2,9,0,0,1,10,0,2,0,0,0,0,0,0,0,0%,60,100%,8,29%,
12,2012,2012-12-02,12,13,22.158,SEA,@,CHI,W 23-17,*,,0,0,0.0,9,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,5,21%,
13,2012,2012-12-09,13,14,22.165,SEA,,ARI,W 58-0,*,,0,0,0.0,4,4,8,0,0,2,45,0,2,0,0,0,0,0,0,0,0%,45,76%,3,10%,
14,2012,2012-12-16,14,15,22.172,SEA,@,BUF,W 50-17,*,,0,0,0.0,10,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,48,72%,3,9%,
15,2012,2012-12-23,15,16,22.179,SEA,,SFO,W 42-13,*,,0,0,0.0,4,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,55,96%,2,8%,
16,2012,2012-12-30,16,17,22.186,SEA,,STL,W 20-13,*,,0,0,0.0,6,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,64,100%,6,21%,
17,2013,2013-09-08,1,1,23.073,SEA,@,CAR,W 12-7,*,,0,0,0.0,4,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,100%,4,21%,
18,2013,2013-09-15,2,2,23.080,SEA,,SFO,W 29-3,*,,0,0,0.0,2,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,52,98%,5,21%,
19,2013,2013-09-22,3,3,23.087,SEA,,JAX,W 45-17,*,,0,0,0.0,3,6,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0%,49,74%,7,21%,
20,2013,2013-09-29,4,4,23.094,SEA,@,HOU,W 23-20,*,,0,0,0.0,6,2,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0%,90,99%,10,29%,
21,2013,2013-10-06,5,5,23.101,SEA,@,IND,L 28-34,*,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,95%,5,16%,
22,2013,2013-10-13,,6,,SEA,,TEN,W 20-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2013,2013-10-17,,7,,SEA,@,ARI,W 34-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2013,2013-10-28,8,8,23.123,SEA,@,STL,W 14-9,*,,0,0,0.0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,76,100%,1,4%,
25,2013,2013-11-03,9,9,23.129,SEA,,TAM,W 27-24,*,,0,0,1.5,6,5,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,69,100%,2,7%,
26,2013,2013-11-10,10,10,23.136,SEA,@,ATL,W 33-10,*,,0,0,0.0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,50,86%,2,7%,
27,2013,2013-11-17,11,11,23.143,SEA,,MIN,W 41-20,*,,0,0,1.0,6,3,9,0,0,1,9,0,2,0,0,0,0,0,0,0,0%,56,76%,5,16%,
28,2013,2013-12-02,12,13,23.158,SEA,,NOR,W 34-7,*,,0,0,0.0,4,7,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,60,100%,3,12%,
29,2013,2013-12-08,13,14,23.164,SEA,@,SFO,L 17-19,*,,0,0,0.0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,67,99%,6,21%,
30,2013,2013-12-15,14,15,23.171,SEA,@,NYG,W 23-0,*,,0,0,1.5,8,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,50,91%,7,26%,
31,2013,2013-12-22,15,16,23.178,SEA,,ARI,L 10-17,*,,0,0,1.0,4,5,9,1,1,0,0,0,2,0,0,0,0,0,0,0,0%,75,100%,9,31%,
32,2013,2013-12-29,16,17,23.185,SEA,,STL,W 27-9,*,,0,0,0.0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,52,98%,4,14%,
33,2014,2014-09-04,1,1,24.069,SEA,,GNB,W 36-16,*,,0,0,0.0,6,8,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,62,100%,2,7%,
34,2014,2014-09-14,2,2,24.079,SEA,@,SDG,L 21-30,*,,0,0,0.0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,82,100%,6,21%,
35,2014,2014-09-21,3,3,24.086,SEA,,DEN,W 26-20,*,,0,0,0.0,4,7,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,70,97%,2,6%,
36,2014,2014-10-06,4,5,24.101,SEA,@,WAS,W 27-17,*,,0,0,1.0,5,3,8,3,1,0,0,0,2,0,0,0,0,0,0,0,0%,55,100%,4,12%,
37,2014,2014-10-12,5,6,24.107,SEA,,DAL,L 23-30,*,,0,0,0.0,3,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,69%,4,13%,
38,2014,2014-10-19,,7,,SEA,@,STL,L 26-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2014,2014-10-26,,8,,SEA,@,CAR,W 13-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
