Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-12,1,1,,SEA,,DEN,W 17-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2022,2022-09-18,2,2,21.333,SEA,@,SFO,L 7-27,,4,10,2.50,0,3,2,5,2.50,0,66.7%,1.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,25%,0,0%,0,0%,
3,2022,2022-09-25,3,3,21.340,SEA,,ATL,L 23-27,,3,19,6.33,0,3,3,14,4.67,0,100.0%,4.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,0,0%,
4,2022,2022-10-02,4,4,21.347,SEA,@,DET,W 48-45,,8,29,3.63,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,0,0%,
5,2022,2022-10-09,5,5,21.354,SEA,@,NOR,L 32-39,,8,88,11.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,58%,0,0%,0,0%,
6,2022,2022-10-16,6,6,21.361,SEA,,ARI,W 19-9,*,21,97,4.62,1,3,2,13,6.50,0,66.7%,4.33,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,69%,0,0%,0,0%,
7,2022,2022-10-23,7,7,22.003,SEA,@,LAC,W 37-23,*,23,167,7.26,2,0,0,0,,0,0.0%,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,52,73%,0,0%,0,0%,
8,2022,2022-10-30,8,8,22.010,SEA,,NYG,W 27-13,*,18,51,2.83,1,2,1,1,1.00,0,50.0%,0.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,77%,0,0%,0,0%,
9,2022,2022-11-06,9,9,22.017,SEA,@,ARI,W 31-21,*,26,109,4.19,2,4,3,20,6.67,0,75.0%,5.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,56,77%,0,0%,0,0%,
10,2022,2022-11-13,10,10,22.024,SEA,@,TAM,L 16-21,*,10,17,1.70,0,8,6,55,9.17,0,75.0%,6.88,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,87%,0,0%,0,0%,
11,2022,2022-11-27,11,12,22.038,SEA,,LVR,L 34-40,*,14,26,1.86,2,1,1,13,13.00,0,100.0%,13.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,46,71%,0,0%,0,0%,
12,2022,2022-12-04,12,13,22.045,SEA,@,LAR,W 27-23,*,3,36,12.00,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,21%,0,0%,0,0%,
13,2022,2022-12-11,13,14,,SEA,,CAR,L 24-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2022,2022-12-15,14,15,22.056,SEA,,SFO,L 13-21,*,12,47,3.92,0,5,4,32,8.00,0,80.0%,6.40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,75%,0,0%,0,0%,
15,2022,2022-12-24,15,16,22.065,SEA,@,KAN,L 10-24,*,26,107,4.12,0,2,2,-2,-1.00,0,100.0%,-1.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,53%,0,0%,0,0%,
16,2022,2023-01-01,16,17,22.073,SEA,,NYJ,W 23-6,*,23,133,5.78,0,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,57%,0,0%,0,0%,
17,2022,2023-01-08,17,18,22.080,SEA,,LAR,W 19-16,*,29,114,3.93,0,1,1,10,10.00,0,100.0%,10.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,61,87%,0,0%,0,0%,
18,2023,2023-09-10,1,1,22.325,SEA,,LAR,L 13-30,*,12,64,5.33,0,5,4,3,0.75,0,80.0%,0.60,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,63%,0,0%,0,0%,
19,2023,2023-09-17,2,2,22.332,SEA,@,DET,W 37-31,*,17,43,2.53,2,2,1,11,11.00,0,50.0%,5.50,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,44,61%,0,0%,0,0%,
20,2023,2023-09-24,3,3,22.339,SEA,,CAR,W 37-27,*,18,97,5.39,2,3,3,59,19.67,0,100.0%,19.67,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,38,51%,0,0%,0,0%,
21,2023,2023-10-02,4,4,22.347,SEA,@,NYG,W 24-3,*,17,79,4.65,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,71%,0,0%,0,0%,
22,2023,2023-10-15,5,6,22.360,SEA,@,CIN,L 13-17,*,19,62,3.26,1,3,3,27,9.00,0,100.0%,9.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,76%,0,0%,0,0%,
23,2023,2023-10-22,6,7,23.002,SEA,,ARI,W 20-10,*,26,105,4.04,0,3,2,6,3.00,0,66.7%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,80%,0,0%,0,0%,
24,2023,2023-10-29,7,8,23.009,SEA,,CLE,W 24-20,*,8,66,8.25,0,2,1,4,4.00,0,50.0%,2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,41%,0,0%,0,0%,
25,2023,2023-11-05,8,9,23.016,SEA,@,BAL,L 3-37,*,9,16,1.78,0,2,1,1,1.00,0,50.0%,0.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,49%,0,0%,0,0%,
26,2023,2023-11-12,9,10,23.023,SEA,,WAS,W 29-26,*,19,63,3.32,0,2,1,64,64.00,1,50.0%,32.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,39,48%,0,0%,0,0%,
27,2023,2023-11-19,10,11,23.030,SEA,@,LAR,L 16-17,*,4,18,4.50,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,0,0%,
