Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,22.128,SEA,,DEN,W 26-20,,,,,,,0.0%,,0,0,32.0,48%,0.0,0%,9.0,26%
2.0,2024.0,2024-09-15,2.0,2.0,22.135,SEA,@,NWE,W 23-20,,,,,,,0.0%,,0,0,25.0,36%,0.0,0%,10.0,32%
3.0,2024.0,2024-09-22,3.0,3.0,22.142,SEA,,MIA,W 24-3,*,3.0,3.0,13.0,4.33,0.0,100.0%,4.33,0,0,18.0,28%,0.0,0%,10.0,37%
4.0,2024.0,2024-09-30,4.0,4.0,22.15,SEA,@,DET,L 29-42,,2.0,2.0,27.0,13.5,1.0,100.0%,13.5,1,6,35.0,39%,0.0,0%,4.0,14%
5.0,2024.0,2024-10-06,5.0,5.0,22.156,SEA,,NYG,L 20-29,,1.0,1.0,13.0,13.0,0.0,100.0%,13.0,0,0,15.0,26%,0.0,0%,12.0,40%
6.0,2024.0,2024-10-10,6.0,6.0,22.16,SEA,,SFO,L 24-36,*,1.0,1.0,13.0,13.0,0.0,100.0%,13.0,0,0,24.0,31%,0.0,0%,12.0,40%
7.0,2024.0,2024-10-20,7.0,7.0,22.17,SEA,@,ATL,W 34-14,,1.0,1.0,5.0,5.0,0.0,100.0%,5.0,0,0,24.0,40%,0.0,0%,9.0,35%
8.0,2024.0,2024-10-27,8.0,8.0,22.177,SEA,,BUF,L 10-31,,2.0,2.0,34.0,17.0,0.0,100.0%,17.0,0,0,19.0,37%,0.0,0%,8.0,35%
9.0,2024.0,2024-11-03,9.0,9.0,22.184,SEA,,LAR,L 20-26,*,7.0,4.0,27.0,6.75,0.0,57.1%,3.86,0,0,73.0,91%,0.0,0%,3.0,9%
10.0,2024.0,2024-11-17,10.0,11.0,22.198,SEA,@,SFO,W 20-17,*,4.0,2.0,15.0,7.5,0.0,50.0%,3.75,0,0,51.0,85%,0.0,0%,4.0,19%
11.0,2024.0,2024-11-24,11.0,12.0,22.205,SEA,,ARI,W 16-6,*,4.0,3.0,19.0,6.33,0.0,75.0%,4.75,0,0,54.0,84%,0.0,0%,3.0,12%
