Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
26,2023,2023-11-12,9,10,,SEA,,WAS,W 29-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2023,2023-11-19,10,11,,SEA,@,LAR,L 16-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2023,2023-11-23,11,12,24.239,SEA,,SFO,L 13-31,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,0,0%,8,28%,
29,2023,2023-11-30,12,13,24.246,SEA,@,DAL,L 35-41,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,6,21%,
30,2023,2023-12-10,13,14,24.256,SEA,@,SFO,L 16-28,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,6%,12,44%,
31,2023,2023-12-18,14,15,24.264,SEA,,PHI,W 20-17,,0,0,,,,,,,,,,,,,,,,,0,0%,6,9%,14,52%,
32,2023,2023-12-24,15,16,24.270,SEA,@,TEN,W 20-17,,0,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,33%,6,27%,
33,2023,2023-12-31,16,17,24.277,SEA,,PIT,L 23-30,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,7,25%,
34,2023,2024-01-07,17,18,24.284,SEA,@,ARI,W 21-20,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,2,3%,4,15%,
35,2024,2024-09-08,1,1,25.163,SEA,,DEN,W 26-20,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,21,62%,
36,2024,2024-09-15,2,2,25.170,SEA,@,NWE,W 23-20,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,21,68%,
37,2024,2024-09-22,3,3,25.177,SEA,,MIA,W 24-3,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,33%,20,74%,
38,2024,2024-09-30,4,4,25.185,SEA,@,DET,L 29-42,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,36%,19,66%,
39,2024,2024-10-06,5,5,25.191,SEA,,NYG,L 20-29,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,19,64%,
40,2024,2024-10-10,6,6,25.195,SEA,,SFO,L 24-36,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,12%,18,60%,
41,2024,2024-10-20,7,7,25.205,SEA,@,ATL,W 34-14,*,0,0,0.0,7,4,11,0,0,1,9,0,1,0,0,0,0,0,0,0,0%,67,92%,3,12%,
42,2024,2024-10-27,8,8,25.212,SEA,,BUF,L 10-31,*,0,0,0.0,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,76,100%,5,22%,
43,2024,2024-11-03,9,9,25.219,SEA,,LAR,L 20-26,*,0,0,0.0,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,77,100%,4,13%,
44,2024,2024-11-17,10,11,25.233,SEA,@,SFO,W 20-17,*,0,0,0.0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,63,100%,3,14%,
45,2024,2024-11-24,11,12,25.240,SEA,,ARI,W 16-6,*,1,6,0.0,6,0,6,0,0,1,69,1,1,0,0,0,0,0,0,0,0%,58,100%,3,12%,
