Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct
19,2019,2019-09-22,3,3,23.261,SEA,,NOR,L 27-33,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,165,41.25,53,112,28.0,0,0.0%,1,25.0%,0,0,0%,0,0%,7,25%
20,2019,2019-09-29,4,4,23.268,SEA,@,ARI,W 27-10,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,171,42.75,1,170,42.5,0,0.0%,3,75.0%,0,0,0%,0,0%,10,38%
21,2019,2019-10-03,5,5,23.272,SEA,,LAR,W 30-29,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,190,47.50,16,174,43.5,0,0.0%,2,50.0%,0,0,0%,0,0%,9,29%
22,2019,2019-10-13,6,6,23.282,SEA,@,CLE,W 32-28,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,156,39.00,5,131,32.8,1,25.0%,1,25.0%,0,0,0%,0,0%,9,35%
23,2019,2019-10-20,7,7,23.289,SEA,,BAL,L 16-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,154,51.33,8,126,42.0,1,33.3%,1,33.3%,0,0,0%,0,0%,8,28%
24,2019,2019-10-27,8,8,23.296,SEA,@,ATL,W 27-20,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,199,49.75,8,191,47.8,0,0.0%,3,75.0%,0,0,0%,0,0%,10,38%
25,2019,2019-11-03,9,9,23.303,SEA,,TAM,W 40-34,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,166,55.33,32,134,44.7,0,0.0%,0,0.0%,0,0,0%,0,0%,10,28%
26,2019,2019-11-11,10,10,23.311,SEA,@,SFO,W 27-24,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,302,43.14,2,280,40.0,1,14.3%,3,42.9%,0,0,0%,0,0%,13,37%
27,2019,2019-11-24,11,12,23.324,SEA,@,PHI,W 17-9,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,273,39.00,-3,256,36.6,1,14.3%,5,71.4%,0,0,0%,0,0%,10,45%
28,2019,2019-12-02,12,13,23.332,SEA,,MIN,W 37-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,126,42.00,0,126,42.0,0,0.0%,3,100.0%,0,0,0%,0,0%,11,33%
29,2019,2019-12-08,13,14,23.338,SEA,@,LAR,L 12-28,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,230,46.00,-1,231,46.2,0,0.0%,3,60.0%,0,0,0%,0,0%,8,32%
30,2019,2019-12-15,14,15,23.345,SEA,@,CAR,W 30-24,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,165,41.25,0,165,41.3,0,0.0%,3,75.0%,0,0,0%,0,0%,9,32%
31,2019,2019-12-22,15,16,23.352,SEA,,ARI,L 13-27,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,313,44.71,40,273,39.0,0,0.0%,1,14.3%,0,0,0%,0,0%,13,37%
32,2019,2019-12-29,16,17,23.359,SEA,,SFO,L 21-26,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,150,50.00,6,144,48.0,0,0.0%,1,33.3%,0,0,0%,0,0%,6,26%
33,2020,2020-09-13,1,1,24.253,SEA,@,ATL,W 38-25,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,191,47.75,8,183,45.8,0,0.0%,2,50.0%,0,0,0%,0,0%,10,34%
34,2020,2020-09-20,2,2,24.260,SEA,,NWE,W 35-30,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,200,50.00,0,200,50.0,0,0.0%,4,100.0%,0,0,0%,0,0%,9,32%
35,2020,2020-09-27,3,3,24.267,SEA,,DAL,W 38-31,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,383,54.71,33,310,44.3,2,28.6%,3,42.9%,0,0,0%,0,0%,11,32%
36,2020,2020-10-04,4,4,24.274,SEA,@,MIA,W 31-23,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,92,46.00,11,81,40.5,0,0.0%,1,50.0%,0,0,0%,0,0%,7,27%
37,2020,2020-10-11,5,5,24.281,SEA,,MIN,W 27-26,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,226,45.20,7,219,43.8,0,0.0%,4,80.0%,0,0,0%,0,0%,8,32%
38,2020,2020-10-25,6,7,24.295,SEA,@,ARI,L 34-37,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,153,51.00,10,123,41.0,1,33.3%,1,33.3%,0,0,0%,0,0%,9,27%
39,2020,2020-11-01,7,8,24.302,SEA,,SFO,W 37-27,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,216,54.00,20,176,44.0,1,25.0%,1,25.0%,0,0,0%,0,0%,10,34%
40,2020,2020-11-08,8,9,24.309,SEA,@,BUF,L 34-44,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,53,53.00,11,42,42.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,24%
