Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,21.344,JAX,,IND,W 27-20,*,4,3,37,12.33,1,75.0%,9.25,2,10,5.00,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,62%,0,0%,1,4%,
2,2020,2020-09-20,2,2,21.351,JAX,@,TEN,L 30-33,,4,3,35,11.67,0,75.0%,8.75,5,37,7.40,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,57%,0,0%,0,0%,
3,2020,2020-09-24,3,3,21.355,JAX,,MIA,L 13-31,*,6,5,33,6.60,0,83.3%,5.50,1,1,1.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,68%,0,0%,6,26%,
4,2020,2020-10-04,4,4,21.365,JAX,@,CIN,L 25-33,*,6,5,86,17.20,0,83.3%,14.33,1,5,5.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,54%,0,0%,0,0%,
5,2020,2020-10-11,5,5,22.006,JAX,@,HOU,L 14-30,*,8,7,79,11.29,0,87.5%,9.88,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,69%,0,0%,0,0%,
6,2020,2020-10-18,6,6,22.013,JAX,,DET,L 16-34,*,7,3,10,3.33,0,42.9%,1.43,1,1,1.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,73%,0,0%,0,0%,
7,2020,2020-10-25,7,7,22.020,JAX,@,LAC,L 29-39,*,3,3,44,14.67,0,100.0%,14.67,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,75%,0,0%,0,0%,
8,2020,2020-11-08,8,9,22.034,JAX,,HOU,L 25-27,*,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,3,10%,
9,2020,2020-11-15,9,10,,JAX,@,GNB,L 20-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2020,2020-11-22,10,11,,JAX,,PIT,L 3-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
