Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2019,2019-09-09,1,1,21.293,DEN,@,OAK,L 16-24,*,4,2,29,14.50,0,50.0%,7.25,1,-5,-5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,81%,0,0%,0,0%,
2,2019,2019-09-15,2,2,21.299,DEN,,CHI,L 14-16,*,4,4,33,8.25,0,100.0%,8.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,66%,0,0%,0,0%,
3,2019,2019-09-22,3,3,21.306,DEN,@,GNB,L 16-27,,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,46,63%,0,0%,0,0%,
4,2019,2019-09-29,4,4,21.313,DEN,,JAX,L 24-26,,4,2,31,15.50,1,50.0%,7.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,40,73%,0,0%,0,0%,
5,2019,2019-10-06,5,5,21.320,DEN,@,LAC,W 20-13,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,67%,0,0%,0,0%,
6,2019,2019-10-13,6,6,21.327,DEN,,TEN,W 16-0,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,65%,0,0%,0,0%,
7,2019,2019-10-17,7,7,21.331,DEN,,KAN,L 6-30,,5,1,7,7.00,0,20.0%,1.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,71%,0,0%,0,0%,
8,2019,2019-10-27,8,8,21.341,DEN,@,IND,L 13-15,,9,5,26,5.20,0,55.6%,2.89,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,0,0%,
9,2019,2019-11-03,9,9,21.348,DEN,,CLE,W 24-19,*,4,3,115,38.33,1,75.0%,28.75,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,85%,0,0%,0,0%,
10,2019,2019-11-17,10,11,21.362,DEN,@,MIN,L 23-27,*,10,4,60,15.00,0,40.0%,6.00,2,-7,-3.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,86%,0,0%,0,0%,
11,2019,2019-11-24,11,12,22.004,DEN,@,BUF,L 3-20,*,5,3,14,4.67,0,60.0%,2.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,73%,0,0%,0,0%,
12,2019,2019-12-01,12,13,22.011,DEN,,LAC,W 23-20,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,71%,0,0%,0,0%,
13,2019,2019-12-08,13,14,22.018,DEN,@,HOU,W 38-24,*,4,4,113,28.25,1,100.0%,28.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,49%,0,0%,0,0%,
