Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,,PIT,@,BUF,W 23-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2021,2021-09-19,2,2,,PIT,,LVR,L 17-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2021,2021-09-26,3,3,22.302,PIT,,CIN,L 10-24,,2,2,17,8.50,0,100.0%,8.50,0.0,0,0,0,0,0,9,11%,0,0%,0,0%,
4,2021,2021-10-03,4,4,22.309,PIT,@,GNB,L 17-27,,,,,,,0.0%,,,,,,,,2,3%,0,0%,1,4%,
5,2021,2021-10-10,5,5,22.316,PIT,,DEN,W 27-19,,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,16,25%,0,0%,4,15%,
6,2021,2021-10-17,6,6,22.323,PIT,,SEA,W 23-20,,,,,,,0.0%,,,,,,,,0,0%,0,0%,8,24%,
7,2021,2021-10-31,7,8,22.337,PIT,@,CLE,W 15-10,,,,,,,0.0%,,,,,,,,0,0%,0,0%,3,16%,
8,2021,2021-11-08,8,9,22.345,PIT,,CHI,W 29-27,,0,0,0,,0,0.0%,,0.0,1,1,2,0,0,2,3%,0,0%,7,20%,
9,2021,2021-11-14,9,10,22.351,PIT,,DET,T 16-16,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,12,14%,0,0%,10,29%,
10,2021,2021-11-21,10,11,22.358,PIT,@,LAC,L 37-41,,,,,,,0.0%,,,,,,,,0,0%,0,0%,10,29%,
11,2021,2021-11-28,11,12,23.000,PIT,@,CIN,L 10-41,,,,,,,0.0%,,,,,,,,0,0%,0,0%,11,39%,
12,2021,2021-12-05,12,13,23.007,PIT,,BAL,W 20-19,,0,0,0,,0,0.0%,,0.0,1,0,1,0,0,1,2%,0,0%,8,32%,
13,2021,2021-12-09,13,14,23.011,PIT,@,MIN,L 28-36,,,,,,,0.0%,,,,,,,,0,0%,0,0%,5,15%,
14,2021,2021-12-19,14,15,23.021,PIT,,TEN,W 19-13,,,,,,,0.0%,,,,,,,,0,0%,0,0%,8,30%,
15,2021,2021-12-26,15,16,23.028,PIT,@,KAN,L 10-36,,3,3,16,5.33,0,100.0%,5.33,0.0,0,0,0,0,0,28,39%,0,0%,10,38%,
16,2021,2022-01-03,16,17,23.036,PIT,,CLE,W 26-14,,,,,,,0.0%,,,,,,,,0,0%,0,0%,10,32%,
17,2021,2022-01-09,17,18,23.042,PIT,@,BAL,W 16-13,,,,,,,0.0%,,,,,,,,7,9%,0,0%,10,31%,
18,2022,2022-09-11,1,1,,PIT,@,CIN,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2022,2022-09-18,2,2,,PIT,,NWE,L 14-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2022,2022-09-22,3,3,,PIT,@,CLE,L 17-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,2022,2022-10-02,4,4,,PIT,,NYJ,L 20-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2022,2022-10-09,5,5,,PIT,@,BUF,L 3-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,2022,2022-10-16,6,6,,PIT,,TAM,W 20-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2022,2022-10-23,7,7,,PIT,@,MIA,L 10-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2022,2022-10-30,8,8,,PIT,@,PHI,L 13-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
