Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-12-25,15,16,23.235,OAK,@,PHI,L 10-19,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,33%,0,0%,3,11%,
2,2017,2017-12-31,16,17,23.241,OAK,@,LAC,L 10-30,*,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,31%,0,0%,10,45%,
3,2018,2018-10-28,,8,,CLE,@,PIT,L 18-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2018,2018-11-04,,9,,CLE,,KAN,L 21-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2018,2018-11-11,,10,,CLE,,ATL,W 28-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2018,2018-11-25,,12,,CLE,@,CIN,W 35-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,2018,2018-12-02,,13,,CLE,@,HOU,L 13-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,2018,2018-12-09,,14,,CLE,,CAR,W 26-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,2018,2018-12-15,,15,,CLE,@,DEN,W 17-16,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,2018,2018-12-23,,16,,CLE,,CIN,W 26-18,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,2018,2018-12-30,,17,,CLE,@,BAL,L 24-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,2019,2019-09-08,1,1,25.127,CLE,,TEN,L 13-43,,0,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,26,79%,
13,2019,2019-09-16,2,2,25.135,CLE,@,NYJ,W 23-3,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,25%,0,0%,24,92%,
14,2019,2019-09-22,3,3,25.141,CLE,,LAR,L 13-20,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,16,24%,0,0%,15,63%,
15,2019,2019-09-29,4,4,25.148,CLE,@,BAL,W 40-25,*,1,1,18,18.00,0,100.0%,18.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,16,57%,
16,2019,2019-10-07,5,5,25.156,CLE,@,SFO,L 3-31,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,18,39%,0,0%,17,61%,
17,2019,2019-10-13,6,6,25.162,CLE,,SEA,L 28-32,*,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,32%,0,0%,14,54%,
18,2019,2019-10-27,7,8,25.176,CLE,@,NWE,L 13-27,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,26,42%,1,1%,20,65%,
19,2019,2019-11-03,,9,,CLE,@,DEN,L 19-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2019,2019-11-10,9,10,25.190,CLE,,BUF,W 19-16,,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,16,23%,0,0%,0,0%,
21,2019,2019-11-14,10,11,25.194,CLE,,PIT,W 21-7,*,,,,,,0.0%,,0,0,,,,,,,0,,,0,0,0,27,39%,0,0%,2,8%,
