Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
64,2018,2018-12-30,16,17,26.093,SEA,,ARI,W 27-24,,2,2,66,33.00,1,100.0%,33.00,1,3,3.00,0,3,63,21.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,52,83%,0,0%,11,33%,
65,2019,2019-09-08,1,1,26.345,SEA,,CIN,W 21-20,*,2,1,44,44.00,1,50.0%,22.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,90%,0,0%,5,16%,
66,2019,2019-09-15,2,2,26.352,SEA,@,PIT,W 28-26,*,12,10,79,7.90,0,83.3%,6.58,0,0,,0,0,0,,0,2,10,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,88%,0,0%,8,27%,
67,2019,2019-09-22,3,3,26.359,SEA,,NOR,L 27-33,*,14,11,154,14.00,1,78.6%,11.00,0,0,,0,2,47,23.50,0,3,12,4.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,81,98%,0,0%,12,43%,
68,2019,2019-09-29,4,4,27.001,SEA,@,ARI,W 27-10,*,4,4,51,12.75,0,100.0%,12.75,0,0,,0,1,21,21.00,0,2,-3,-1.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,97%,0,0%,6,23%,
69,2019,2019-10-03,5,5,27.005,SEA,,LAR,W 30-29,*,4,4,51,12.75,1,100.0%,12.75,1,-8,-8.00,0,1,33,33.00,0,1,0,0.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,92%,0,0%,10,32%,
70,2019,2019-10-13,6,6,27.015,SEA,@,CLE,W 32-28,*,5,5,75,15.00,0,100.0%,15.00,1,3,3.00,0,1,21,21.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,96%,0,0%,7,27%,
71,2019,2019-10-20,7,7,27.022,SEA,,BAL,L 16-30,*,7,5,61,12.20,1,71.4%,8.71,1,-3,-3.00,0,3,58,19.33,0,2,12,6.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,10,34%,
72,2019,2019-10-27,8,8,27.029,SEA,@,ATL,W 27-20,*,6,6,100,16.67,0,100.0%,16.67,0,0,,0,1,21,21.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,6,23%,
73,2019,2019-11-03,9,9,27.036,SEA,,TAM,W 40-34,*,18,13,152,11.69,2,72.2%,8.44,0,0,,0,0,0,,0,2,15,7.50,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,68,92%,0,0%,12,33%,
