Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
32,2018,2018-12-30,16,17,26.164,SEA,,ARI,W 27-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,5,15%,
33,2019,2019-09-08,1,1,27.051,SEA,,CIN,W 21-20,,,,,,,0.0%,,,,,,,,0,,,0,0,0,9,18%,0,0%,3,10%,
34,2019,2019-09-15,2,2,27.058,SEA,@,PIT,W 28-26,,,,,,,0.0%,,,,,,,,0,,,0,0,0,16,21%,0,0%,6,20%,
35,2019,2019-09-22,3,3,27.065,SEA,,NOR,L 27-33,,,,,,,0.0%,,,,,,,,0,,,0,0,0,35,42%,0,0%,3,11%,
36,2019,2019-09-29,4,4,27.072,SEA,@,ARI,W 27-10,,,,,,,0.0%,,,,,,,,0,,,0,0,0,16,26%,0,0%,5,19%,
37,2019,2019-10-03,5,5,27.076,SEA,,LAR,W 30-29,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,7,10%,0,0%,5,16%,
38,2019,2019-10-13,6,6,27.086,SEA,@,CLE,W 32-28,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,81,100%,0,0%,5,19%,
39,2019,2019-10-20,7,7,27.093,SEA,,BAL,L 16-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,71,100%,0,0%,5,17%,
40,2019,2019-10-27,8,8,27.100,SEA,@,ATL,W 27-20,,,,,,,0.0%,,,,,,,,0,,,0,0,0,18,30%,0,0%,5,19%,
41,2019,2019-11-03,9,9,27.107,SEA,,TAM,W 40-34,,,,,,,0.0%,,,,,,,,0,,,0,0,0,17,23%,0,0%,7,19%,
42,2019,2019-11-11,10,10,27.115,SEA,@,SFO,W 27-24,,,,,,,0.0%,,,,,,,,0,,,0,0,0,15,21%,0,0%,5,14%,
43,2019,2019-11-24,11,12,27.128,SEA,@,PHI,W 17-9,,,,,,,0.0%,,,,,,,,0,,,0,0,0,21,34%,0,0%,3,14%,
44,2019,2019-12-02,12,13,27.136,SEA,,MIN,W 37-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,42,56%,0,0%,7,21%,
45,2019,2019-12-08,13,14,27.142,SEA,@,LAR,L 12-28,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,13,20%,0,0%,3,12%,
46,2019,2019-12-15,14,15,27.149,SEA,@,CAR,W 30-24,*,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,24,36%,0,0%,5,18%,
47,2019,2019-12-22,15,16,27.156,SEA,,ARI,L 13-27,,,,,,,0.0%,,,,,,,,0,,,0,0,0,12,21%,0,0%,4,11%,
48,2019,2019-12-29,16,17,27.163,SEA,,SFO,L 21-26,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,75,100%,0,0%,3,13%,
49,2020,2020-09-13,1,1,28.056,NYJ,@,BUF,L 17-27,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,56,100%,0,0%,3,12%,
50,2020,2020-09-20,2,2,28.063,NYJ,,SFO,L 13-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,65,100%,0,0%,3,11%,
51,2020,2020-09-27,3,3,,NYJ,@,IND,L 7-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,2020,2020-10-01,4,4,28.074,NYJ,,DEN,L 28-37,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,75,97%,0,0%,6,17%,
53,2020,2020-10-11,5,5,28.084,NYJ,,ARI,L 10-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,67,97%,0,0%,1,4%,
54,2020,2020-10-18,6,6,28.091,NYJ,@,MIA,L 0-24,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,71,100%,0,0%,1,3%,
55,2020,2020-10-25,7,7,28.098,NYJ,,BUF,L 10-18,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,57,100%,0,0%,0,0%,
56,2020,2020-11-01,8,8,28.105,NYJ,@,KAN,L 9-35,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,57,100%,0,0%,0,0%,
57,2020,2020-11-09,9,9,28.113,NYJ,,NWE,L 27-30,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,46,100%,0,0%,5,18%,
58,2020,2020-11-22,10,11,28.126,NYJ,@,LAC,L 28-34,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,23,38%,0,0%,1,3%,
59,2020,2020-11-29,11,12,,NYJ,,MIA,L 3-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,2020,2020-12-06,12,13,28.140,NYJ,,LVR,L 28-31,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,62,100%,0,0%,0,0%,
61,2020,2020-12-13,13,14,28.147,NYJ,@,SEA,L 3-40,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,53,100%,0,0%,0,0%,
62,2020,2020-12-20,14,15,28.154,NYJ,@,LAR,W 23-20,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,65,100%,0,0%,5,17%,
63,2020,2020-12-27,15,16,28.161,NYJ,,CLE,W 23-16,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,69,100%,0,0%,2,6%,
64,2020,2021-01-03,16,17,28.168,NYJ,@,NWE,L 14-28,*,,,,,,0.0%,,,,,,,,0,,,0,0,0,63,100%,0,0%,1,4%,
65,2021,2021-09-12,1,1,29.055,NYJ,@,CAR,L 14-19,*,,,,,,0.0%,,,,,,,,,,,,,,65,100%,0,0%,0,0%,
66,2021,2021-09-19,2,2,29.062,NYJ,,NWE,L 6-25,*,,,,,,0.0%,,,,,,,,,,,,,,73,100%,0,0%,3,12%,
67,2021,2021-09-26,3,3,29.069,NYJ,@,DEN,L 0-26,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
68,2021,2021-10-03,4,4,29.076,NYJ,,TEN,W 27-24,*,,,,,,0.0%,,,,,,,,,,,,,,61,100%,0,0%,5,15%,
69,2021,2021-10-10,5,5,29.083,NYJ,@,ATL,L 20-27,*,,,,,,0.0%,,,,,,,,,,,,,,56,100%,0,0%,3,13%,
70,2021,2021-10-24,6,7,29.097,NYJ,@,NWE,L 13-54,*,,,,,,0.0%,,,,,,,,,,,,,,63,97%,0,0%,2,7%,
71,2021,2021-10-31,7,8,29.104,NYJ,,CIN,W 34-31,*,,,,,,0.0%,,,,,,,,,,,,,,31,37%,0,0%,2,7%,
72,2021,2021-11-04,8,9,29.108,NYJ,@,IND,L 30-45,*,,,,,,0.0%,,,,,,,,,,,,,,77,100%,0,0%,0,0%,
73,2021,2021-11-14,9,10,29.118,NYJ,,BUF,L 17-45,*,,,,,,0.0%,,,,,,,,,,,,,,77,100%,0,0%,0,0%,
74,2021,2021-11-21,10,11,29.125,NYJ,,MIA,L 17-24,*,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,1,0,0,0,60,100%,0,0%,0,0%,
75,2021,2021-11-28,11,12,29.132,NYJ,@,HOU,W 21-14,*,,,,,,0.0%,,,,,,,,,,,,,,67,100%,0,0%,0,0%,
76,2021,2021-12-05,12,13,29.139,NYJ,,PHI,L 18-33,*,,,,,,0.0%,,,,,,,,,,,,,,59,100%,0,0%,0,0%,
