Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
36,2015,2015-10-04,4,4,25.149,PHI,@,WAS,L 20-23,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,56,100%,0,0%,4,13%,
37,2015,2015-10-11,5,5,25.156,PHI,,NOR,W 39-17,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,84,100%,0,0%,0,0%,
38,2015,2015-10-19,6,6,25.164,PHI,,NYG,W 27-7,*,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,79,100%,0,0%,0,0%,
39,2015,2015-10-25,7,7,25.170,PHI,@,CAR,L 16-27,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,
40,2015,2015-11-08,8,9,25.184,PHI,@,DAL,W 33-27,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,
41,2015,2015-11-15,9,10,25.191,PHI,,MIA,L 19-20,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,96,100%,0,0%,0,0%,
42,2015,2015-11-22,10,11,25.198,PHI,,TAM,L 17-45,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,
43,2015,2015-11-26,11,12,25.202,PHI,@,DET,L 14-45,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
44,2015,2015-12-06,12,13,25.212,PHI,@,NWE,W 35-28,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
45,2015,2015-12-13,13,14,25.219,PHI,,BUF,W 23-20,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
46,2015,2015-12-20,14,15,25.226,PHI,,ARI,L 17-40,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
47,2015,2015-12-26,15,16,25.232,PHI,,WAS,L 24-38,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,
48,2015,2016-01-03,16,17,25.240,PHI,@,NYG,W 35-30,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
49,2016,2016-09-11,1,1,26.126,PHI,,CLE,W 29-10,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,77,100%,0,0%,6,21%,
50,2016,2016-09-19,2,2,26.134,PHI,@,CHI,W 29-14,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,72,100%,0,0%,6,21%,
51,2016,2016-09-25,3,3,26.140,PHI,,PIT,W 34-3,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,65,100%,0,0%,6,23%,
52,2016,2016-10-09,4,5,26.154,PHI,@,DET,L 23-24,*,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,61,100%,0,0%,5,21%,
53,2016,2016-10-16,,6,,PHI,@,WAS,L 20-27,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
54,2016,2016-10-23,,7,,PHI,,MIN,W 21-10,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
55,2016,2016-10-30,,8,,PHI,@,DAL,L 23-29,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
56,2016,2016-11-06,,9,,PHI,@,NYG,L 23-28,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
57,2016,2016-11-13,,10,,PHI,,ATL,W 24-15,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
58,2016,2016-11-20,,11,,PHI,@,SEA,L 15-26,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
59,2016,2016-11-28,,12,,PHI,,GNB,L 13-27,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
60,2016,2016-12-04,,13,,PHI,@,CIN,L 14-32,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
61,2016,2016-12-11,,14,,PHI,,WAS,L 22-27,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
