Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
50,2022,2023-01-08,17,18,25.045,NYJ,@,MIA,L 6-11,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,241,48.20,0,241,48.2,0,0.0%,4,80.0%,0,0,0%,0,0%,8,36%,
51,2023,2023-09-25,3,3,,PHI,@,TAM,W 25-11,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,2023,2023-09-25,3,3,25.305,PHI,@,TAM,W 25-11,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,38,38.00,0,38,38.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,30%,
53,2023,2023-10-01,4,4,25.311,PHI,,WAS,W 34-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,129,43.00,14,115,38.3,0,0.0%,1,33.3%,0,0,0%,0,0%,9,29%,
54,2023,2023-10-08,5,5,25.318,PHI,@,LAR,W 23-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,41,41.00,0,41,41.0,0,0.0%,1,100.0%,0,0,0%,0,0%,6,30%,
55,2023,2023-10-15,6,6,25.325,PHI,@,NYJ,L 14-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,81,40.50,0,81,40.5,0,0.0%,1,50.0%,0,0,0%,0,0%,6,27%,
56,2023,2023-10-22,7,7,25.332,PHI,,MIA,W 31-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,57,57.00,16,41,41.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,27%,
57,2023,2023-10-29,8,8,25.339,PHI,@,WAS,W 38-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,117,58.50,11,86,43.0,1,50.0%,0,0.0%,0,0,0%,0,0%,8,29%,
58,2023,2023-11-05,9,9,25.346,PHI,,DAL,W 28-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,259,51.80,23,236,47.2,0,0.0%,2,40.0%,0,0,0%,0,0%,9,38%,
59,2023,2023-11-20,10,11,25.361,PHI,@,KAN,W 21-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,334,47.71,58,276,39.4,0,0.0%,1,14.3%,0,0,0%,0,0%,10,38%,
