Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
16,2017,2017-12-31,,17,,CIN,@,BAL,W 31-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2018,2018-09-09,1,1,22.286,CIN,@,IND,W 34-23,*,2,1,3,3.00,1,50.0%,1.50,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,37,66%,0,0%,0,0%,
18,2018,2018-09-13,2,2,22.290,CIN,,BAL,W 34-23,,4,1,8,8.00,0,25.0%,2.00,1,-3,-3.00,0,0,0,,0,0,0,0,0,0,0,0,0,45,59%,0,0%,0,0%,
19,2018,2018-09-23,3,3,22.300,CIN,@,CAR,L 21-31,*,7,3,16,5.33,0,42.9%,2.29,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,31,48%,0,0%,0,0%,
20,2018,2018-09-30,4,4,22.307,CIN,@,ATL,W 37-36,,2,2,52,26.00,1,100.0%,26.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,18,25%,0,0%,0,0%,
21,2018,2018-10-07,,5,,CIN,,MIA,W 27-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2018,2018-10-14,,6,,CIN,,PIT,L 21-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,2018,2018-10-21,7,7,22.328,CIN,@,KAN,L 10-45,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,28,49%,0,0%,0,0%,
24,2018,2018-10-28,,8,,CIN,,TAM,W 37-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2018,2018-11-11,9,10,22.349,CIN,,NOR,L 14-51,*,6,2,39,19.50,1,33.3%,6.50,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,36,84%,0,0%,0,0%,
26,2018,2018-11-18,10,11,22.356,CIN,@,BAL,L 21-24,*,7,2,27,13.50,1,28.6%,3.86,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,51,93%,0,0%,0,0%,
27,2018,2018-11-25,11,12,22.363,CIN,,CLE,L 20-35,*,7,3,31,10.33,1,42.9%,4.43,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,69,93%,0,0%,0,0%,
