Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2015,2015-12-27,15,16,23.109,GNB,@,ARI,L 8-38,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,27%
2,2015,2016-01-03,16,17,23.116,GNB,,MIN,L 13-20,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,27%
3,2016,2016-11-20,10,11,24.072,WAS,,GNB,W 42-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,28%
4,2016,2016-11-24,11,12,24.076,WAS,@,DAL,L 26-31,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,27%
5,2016,2016-12-18,14,15,24.100,PHI,@,BAL,L 26-27,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,21%
6,2016,2016-12-22,15,16,24.104,PHI,,NYG,W 24-19,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,32%
7,2016,2017-01-01,16,17,24.114,PHI,,DAL,W 27-13,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,36%
8,2017,2017-09-10,1,1,25.001,PHI,@,WAS,W 30-17,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,35%
9,2017,2017-09-17,2,2,25.008,PHI,@,KAN,L 20-27,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,30%
10,2017,2017-09-24,3,3,25.015,PHI,,NYG,W 27-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,36%
11,2017,2017-10-01,4,4,25.022,PHI,@,LAC,W 26-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,30%
12,2017,2017-10-08,5,5,25.029,PHI,,ARI,W 34-7,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,32%
13,2017,2017-10-12,6,6,25.033,PHI,@,CAR,W 28-23,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,38%
14,2017,2017-10-23,7,7,25.044,PHI,,WAS,W 34-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,31%
15,2017,2017-10-29,8,8,25.050,PHI,,SFO,W 33-10,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,34%
16,2017,2017-11-05,9,9,25.057,PHI,,DEN,W 51-23,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,28%
17,2017,2017-11-19,10,11,25.071,PHI,@,DAL,W 37-9,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,31%
18,2017,2017-11-26,11,12,25.078,PHI,,CHI,W 31-3,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,30%
19,2017,2017-12-03,12,13,25.085,PHI,@,SEA,L 10-24,,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,23%
