Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-06,1.0,1.0,,PHI,,GNB,W 34-29,Inactive
2.0,2024.0,2024-09-16,2.0,2.0,,PHI,,ATL,L 21-22,Inactive
3.0,2024.0,2024-09-22,3.0,3.0,,PHI,@,NOR,W 15-12,Inactive
4.0,2024.0,2024-09-29,4.0,4.0,,PHI,@,TAM,L 16-33,Inactive
5.0,2024.0,2024-10-13,5.0,6.0,,PHI,,CLE,W 20-16,Inactive
6.0,2024.0,2024-10-20,6.0,7.0,,PHI,@,NYG,W 28-3,Inactive
7.0,2024.0,2024-10-27,7.0,8.0,,PHI,@,CIN,W 37-17,Inactive
8.0,2024.0,2024-11-03,8.0,9.0,,PHI,,JAX,W 28-23,Inactive
9.0,2024.0,2024-11-10,9.0,10.0,,PHI,@,DAL,W 34-6,Inactive
10.0,2024.0,2024-11-14,10.0,11.0,,PHI,,WAS,W 26-18,Inactive
