Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
16,2019,2019-12-29,16,17,22.182,TEN,@,HOU,W 35-14,*,8,4,124,31.00,1,50.0%,15.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,79%,0,0%,0,0%,
17,2020,2020-09-14,1,1,23.076,TEN,@,DEN,W 16-14,*,8,5,39,7.80,0,62.5%,4.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,81%,0,0%,0,0%,
18,2020,2020-09-20,2,2,,TEN,,JAX,W 33-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2020,2020-09-27,3,3,,TEN,@,MIN,W 31-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2020,2020-10-13,4,5,23.105,TEN,,BUF,W 42-16,,9,7,82,11.71,1,77.8%,9.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,71%,0,0%,0,0%,
21,2020,2020-10-18,5,6,23.110,TEN,,HOU,W 42-36,*,7,5,58,11.60,2,71.4%,8.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,63,84%,0,0%,0,0%,
22,2020,2020-10-25,6,7,23.117,TEN,,PIT,L 24-27,*,8,6,153,25.50,1,75.0%,19.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,93%,0,0%,0,0%,
23,2020,2020-11-01,7,8,23.124,TEN,@,CIN,L 20-31,*,7,4,24,6.00,1,57.1%,3.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,94%,0,0%,0,0%,
24,2020,2020-11-08,8,9,23.131,TEN,,CHI,W 24-17,*,9,4,101,25.25,1,44.4%,11.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,82%,0,0%,2,6%,
25,2020,2020-11-12,9,10,23.135,TEN,,IND,L 17-34,,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,0,0%,
26,2020,2020-11-22,10,11,23.145,TEN,@,BAL,W 30-24,*,7,4,62,15.50,1,57.1%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,
27,2020,2020-11-29,11,12,23.152,TEN,@,IND,W 45-26,*,6,4,98,24.50,1,66.7%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,1,42,42.00,1,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,58,81%,0,0%,1,3%,
28,2020,2020-12-06,12,13,23.159,TEN,,CLE,L 35-41,*,7,4,87,21.75,0,57.1%,12.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,63,86%,0,0%,0,0%,
29,2020,2020-12-13,13,14,23.166,TEN,@,JAX,W 31-10,*,9,7,112,16.00,1,77.8%,12.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,56%,0,0%,0,0%,
30,2020,2020-12-20,14,15,23.173,TEN,,DET,W 46-25,*,6,5,44,8.80,1,83.3%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,84%,0,0%,3,12%,
31,2020,2020-12-27,15,16,23.180,TEN,@,GNB,L 14-40,*,8,4,43,10.75,0,50.0%,5.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,76%,0,0%,0,0%,
32,2020,2021-01-03,16,17,23.187,TEN,@,HOU,W 41-38,*,11,10,151,15.10,1,90.9%,13.73,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,
33,2021,2021-09-12,1,1,24.074,TEN,,ARI,L 13-38,*,8,4,49,12.25,1,50.0%,6.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,52,81%,1,1%,0,0%,
34,2021,2021-09-19,2,2,24.081,TEN,@,SEA,W 33-30,*,9,3,43,14.33,0,33.3%,4.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,84%,1,2%,0,0%,
35,2021,2021-09-26,3,3,24.088,TEN,,IND,W 25-16,*,2,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,12%,0,0%,0,0%,
36,2021,2021-10-03,4,4,,TEN,@,NYJ,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2021,2021-10-10,5,5,24.102,TEN,@,JAX,W 37-19,*,6,3,38,12.67,0,50.0%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,64%,1,1%,0,0%,
38,2021,2021-10-18,6,6,24.110,TEN,,BUF,W 34-31,*,9,7,91,13.00,0,77.8%,10.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,79%,0,0%,0,0%,
39,2021,2021-10-24,7,7,24.116,TEN,,KAN,W 27-3,*,9,8,133,16.63,1,88.9%,14.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,62%,0,0%,0,0%,
40,2021,2021-10-31,8,8,24.123,TEN,@,IND,W 34-31,*,11,10,155,15.50,1,90.9%,14.09,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,92%,0,0%,0,0%,
41,2021,2021-11-07,9,9,24.130,TEN,@,LAR,W 28-16,*,11,5,42,8.40,0,45.5%,3.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,45,78%,0,0%,1,4%,
42,2021,2021-11-14,10,10,24.137,TEN,,NOR,W 23-21,*,4,1,16,16.00,0,25.0%,4.00,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,49,82%,1,1%,1,3%,
43,2021,2021-11-21,11,11,24.144,TEN,,HOU,L 13-22,*,9,5,48,9.60,0,55.6%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,52%,0,0%,0,0%,
44,2021,2021-11-28,12,12,,TEN,@,NWE,L 13-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2021,2021-12-12,13,14,,TEN,,JAX,W 20-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2021,2021-12-19,14,15,,TEN,@,PIT,L 13-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2021,2021-12-23,15,16,24.176,TEN,,SFO,W 20-17,*,16,11,145,13.18,1,68.8%,9.06,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,74%,0,0%,0,0%,
48,2021,2022-01-02,16,17,24.186,TEN,,MIA,W 34-3,*,5,2,41,20.50,0,40.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,
49,2021,2022-01-09,17,18,24.193,TEN,@,HOU,W 28-25,*,6,4,68,17.00,1,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,82%,0,0%,0,0%,
50,2022,2022-09-11,1,1,25.073,PHI,@,DET,W 38-35,*,13,10,155,15.50,0,76.9%,11.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,87%,0,0%,2,6%,
51,2022,2022-09-19,2,2,25.081,PHI,,MIN,W 24-7,*,8,5,69,13.80,0,62.5%,8.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,88%,0,0%,0,0%,
52,2022,2022-09-25,3,3,25.087,PHI,@,WAS,W 24-8,*,10,5,85,17.00,1,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,80%,0,0%,1,4%,
53,2022,2022-10-02,4,4,25.094,PHI,,JAX,W 29-21,*,7,5,95,19.00,0,71.4%,13.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,85%,0,0%,0,0%,
54,2022,2022-10-09,5,5,25.101,PHI,@,ARI,W 20-17,,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,74%,0,0%,0,0%,
55,2022,2022-10-16,6,6,25.108,PHI,,DAL,W 26-17,*,8,5,67,13.40,1,62.5%,8.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,86%,0,0%,0,0%,
56,2022,2022-10-30,7,8,25.122,PHI,,PIT,W 35-13,*,10,6,156,26.00,3,60.0%,15.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,39,68%,0,0%,0,0%,
57,2022,2022-11-03,8,9,25.126,PHI,@,HOU,W 29-17,*,6,4,59,14.75,1,66.7%,9.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,0,0%,
58,2022,2022-11-14,9,10,25.137,PHI,,WAS,L 21-32,*,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,39,78%,0,0%,0,0%,
59,2022,2022-11-20,10,11,25.143,PHI,@,IND,W 17-16,*,7,5,60,12.00,0,71.4%,8.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,60,88%,0,0%,0,0%,
60,2022,2022-11-27,11,12,25.150,PHI,,GNB,W 40-33,*,6,4,46,11.50,1,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,77,96%,0,0%,1,3%,
61,2022,2022-12-04,12,13,25.157,PHI,,TEN,W 35-10,*,10,8,119,14.88,2,80.0%,11.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,0,0%,
62,2022,2022-12-11,13,14,25.164,PHI,@,NYG,W 48-22,*,6,4,70,17.50,1,66.7%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,1,3%,
63,2022,2022-12-18,14,15,25.171,PHI,@,CHI,W 25-20,*,16,9,181,20.11,0,56.3%,11.31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,65,89%,0,0%,1,4%,
64,2022,2022-12-24,15,16,25.177,PHI,@,DAL,L 34-40,*,8,6,103,17.17,0,75.0%,12.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,92%,0,0%,0,0%,
65,2022,2023-01-01,16,17,25.185,PHI,,NOR,L 10-20,*,9,4,97,24.25,1,44.4%,10.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,
66,2022,2023-01-08,17,18,25.192,PHI,,NYG,W 22-16,*,10,4,95,23.75,0,40.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,79%,0,0%,0,0%,
67,2023,2023-09-10,1,1,26.072,PHI,@,NWE,W 25-20,*,10,7,79,11.29,0,70.0%,7.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,
68,2023,2023-09-14,2,2,26.076,PHI,,MIN,W 34-28,*,6,4,29,7.25,0,66.7%,4.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,96%,0,0%,0,0%,
69,2023,2023-09-25,3,3,26.087,PHI,@,TAM,W 25-11,*,14,9,131,14.56,0,64.3%,9.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,83%,0,0%,0,0%,
70,2023,2023-10-01,4,4,26.093,PHI,,WAS,W 34-31,*,13,9,175,19.44,2,69.2%,13.46,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,68,96%,0,0%,0,0%,
71,2023,2023-10-08,5,5,26.100,PHI,@,LAR,W 23-14,*,8,6,127,21.17,0,75.0%,15.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,78,99%,0,0%,0,0%,
72,2023,2023-10-15,6,6,26.107,PHI,@,NYJ,L 14-20,*,9,7,131,18.71,0,77.8%,14.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,96%,0,0%,0,0%,
73,2023,2023-10-22,7,7,26.114,PHI,,MIA,W 31-17,*,15,10,137,13.70,1,66.7%,9.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,82%,0,0%,0,0%,
74,2023,2023-10-29,8,8,26.121,PHI,@,WAS,W 38-31,*,8,8,130,16.25,2,100.0%,16.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%,
75,2023,2023-11-05,9,9,26.128,PHI,,DAL,W 28-23,*,9,7,66,9.43,1,77.8%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,97%,0,0%,0,0%,
76,2023,2023-11-20,10,11,26.143,PHI,@,KAN,W 21-17,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,
77,2023,2023-11-26,11,12,26.149,PHI,,BUF,W 37-34,*,9,5,37,7.40,1,55.6%,4.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%,
78,2023,2023-12-03,12,13,26.156,PHI,,SFO,L 19-42,*,13,8,114,14.25,0,61.5%,8.77,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,86%,0,0%,0,0%,
79,2023,2023-12-10,13,14,26.163,PHI,@,DAL,L 13-33,*,13,9,94,10.44,0,69.2%,7.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,51,93%,0,0%,0,0%,
80,2023,2023-12-18,14,15,26.171,PHI,@,SEA,L 17-20,*,10,5,56,11.20,0,50.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,96%,0,0%,0,0%,
81,2023,2023-12-25,15,16,26.178,PHI,,NYG,W 33-25,*,11,6,80,13.33,0,54.5%,7.27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,97%,0,0%,0,0%,
82,2023,2023-12-31,16,17,26.184,PHI,,ARI,L 31-35,*,5,4,53,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,94%,0,0%,0,0%,
83,2023,2024-01-07,17,18,26.191,PHI,@,NYG,L 10-27,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,12,18%,0,0%,0,0%,
84,2024,2024-09-06,1,1,27.068,PHI,,GNB,W 34-29,*,10,5,119,23.80,1,50.0%,11.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,95%,0,0%,0,0%,
85,2024,2024-09-16,2,2,,PHI,,ATL,L 21-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
86,2024,2024-09-22,3,3,,PHI,@,NOR,W 15-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
87,2024,2024-09-29,4,4,,PHI,@,TAM,L 16-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
