Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
16,2021,2022-01-02,16,17,23.049,PHI,@,WAS,W 20-16,*,6,3,54,18.00,0,50.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,
17,2021,2022-01-08,17,18,23.055,PHI,,DAL,L 26-51,*,4,3,41,13.67,0,75.0%,10.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,0,0%,
18,2022,2022-09-11,1,1,23.301,PHI,@,DET,W 38-35,*,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,96%,0,0%,2,6%,
19,2022,2022-09-19,2,2,23.309,PHI,,MIN,W 24-7,*,7,7,80,11.43,0,100.0%,11.43,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,
20,2022,2022-09-25,3,3,23.315,PHI,@,WAS,W 24-8,*,12,8,169,21.13,1,66.7%,14.08,1,12,12.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,89%,0,0%,2,8%,
21,2022,2022-10-02,4,4,23.322,PHI,,JAX,W 29-21,*,4,3,17,5.67,0,75.0%,4.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,87%,0,0%,0,0%,
22,2022,2022-10-09,5,5,23.329,PHI,@,ARI,W 20-17,*,11,10,87,8.70,0,90.9%,7.91,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,
23,2022,2022-10-16,6,6,23.336,PHI,,DAL,W 26-17,*,5,5,44,8.80,1,100.0%,8.80,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,89%,0,0%,0,0%,
24,2022,2022-10-30,7,8,23.350,PHI,,PIT,W 35-13,*,8,5,23,4.60,0,62.5%,2.88,1,3,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,74%,0,0%,1,4%,
25,2022,2022-11-03,8,9,23.354,PHI,@,HOU,W 29-17,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,89%,0,0%,0,0%,
26,2022,2022-11-14,9,10,24.000,PHI,,WAS,L 21-32,*,8,6,39,6.50,1,75.0%,4.88,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,43,86%,0,0%,0,0%,
27,2022,2022-11-20,10,11,24.006,PHI,@,IND,W 17-16,*,9,6,78,13.00,0,66.7%,8.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,
28,2022,2022-11-27,11,12,24.013,PHI,,GNB,W 40-33,*,9,4,50,12.50,0,44.4%,5.56,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,93%,0,0%,1,3%,
