Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,PIT,@,CIN,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2022,2022-09-18,2,2,,PIT,,NWE,L 14-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2022,2022-09-22,3,3,,PIT,@,CLE,L 17-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2022,2022-10-02,4,4,24.118,PIT,,NYJ,L 20-24,,10,13,76.92,120,0,3,65.1,0,0,9.23,-1.15,6,15,2.50,2,2,12,0.0,0,0,0,0,0,1,0,0,0,0,0,31,48%,0,0%,0,0%,
5,2022,2022-10-09,5,5,24.125,PIT,@,BUF,L 3-38,*,34,52,65.38,327,0,1,74.8,3,17,6.29,5.42,1,10,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
6,2022,2022-10-16,6,6,24.132,PIT,,TAM,W 20-18,*,11,18,61.11,67,1,0,87.0,1,12,3.72,4.83,2,16,8.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,58%,0,0%,0,0%,
7,2022,2022-10-23,7,7,24.139,PIT,@,MIA,L 10-16,*,32,44,72.73,257,1,3,66.2,2,11,5.84,3.23,3,20,6.67,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
8,2022,2022-10-30,8,8,24.146,PIT,@,PHI,L 13-35,*,25,38,65.79,191,0,1,66.9,6,38,5.03,3.84,7,37,5.29,0,0,0,0.0,1,0,1,0,0,2,1,0,0,0,0,76,100%,0,0%,0,0%,
9,2022,2022-11-13,9,10,24.160,PIT,,NOR,W 20-10,*,18,30,60.00,199,0,0,79.7,6,37,6.63,6.63,8,51,6.38,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,84,100%,0,0%,0,0%,
10,2022,2022-11-20,10,11,24.167,PIT,,CIN,L 30-37,*,25,42,59.52,265,1,0,85.9,2,16,6.31,6.79,2,14,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
11,2022,2022-11-28,11,12,24.175,PIT,@,IND,W 24-17,*,20,28,71.43,174,0,0,87.5,3,23,6.21,6.21,6,32,5.33,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
12,2022,2022-12-04,12,13,24.181,PIT,@,ATL,W 19-16,*,16,28,57.14,197,1,0,90.9,0,0,7.04,7.75,7,14,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
13,2022,2022-12-11,13,14,24.188,PIT,,BAL,L 14-16,*,0,1,0.00,0,0,0,39.6,1,7,0.00,0.00,2,16,8.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,15%,0,0%,0,0%,
14,2022,2022-12-18,14,15,,PIT,@,CAR,W 24-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,2022,2022-12-24,15,16,24.201,PIT,,LVR,W 13-10,*,26,39,66.67,244,1,1,81.6,0,0,6.26,5.62,3,9,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
16,2022,2023-01-01,16,17,24.209,PIT,@,BAL,W 16-13,*,15,27,55.56,168,1,0,86.7,2,15,6.22,6.96,5,2,0.40,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
17,2022,2023-01-08,17,18,24.216,PIT,,CLE,W 28-14,*,13,29,44.83,195,1,0,79.0,1,6,6.72,7.41,3,1,0.33,0,0,0,0.0,0,0,0,0,0,1,0,0,0,-2,0,73,100%,0,0%,0,0%,
18,2023,2023-09-10,1,1,25.096,PIT,,SFO,L 7-30,*,31,46,67.39,232,1,2,68.4,5,34,5.04,3.52,1,4,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
