Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,22.250,IND,@,JAX,L 20-27,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,38%,
2,2020,2020-09-20,2,2,22.257,IND,,MIN,W 28-11,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,33%,7,28%,
3,2020,2020-09-27,3,3,22.264,IND,,NYJ,W 36-7,,0,0,,0,1,12,12.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,17%,5,19%,
4,2020,2020-10-04,4,4,22.271,IND,@,CHI,W 19-11,,2,56,28.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,7,11%,3,11%,
5,2020,2020-10-11,5,5,22.278,IND,@,CLE,L 23-32,,5,212,42.40,1,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,47%,
6,2020,2020-10-18,6,6,22.285,IND,,CIN,W 31-27,,1,25,25.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,14,48%,
7,2020,2020-11-01,7,8,22.299,IND,@,DET,W 41-21,,3,74,24.67,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,43%,
8,2020,2020-11-08,8,9,22.306,IND,,BAL,L 10-24,,4,103,25.75,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,19,79%,
9,2020,2020-11-12,9,10,22.310,IND,@,TEN,W 34-17,,3,67,22.33,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,6%,12,48%,
10,2020,2020-11-22,10,11,,IND,,GNB,W 34-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2020,2020-11-29,11,12,,IND,,TEN,L 26-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2020,2020-12-06,12,13,22.334,IND,@,HOU,W 26-20,,3,77,25.67,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,13,46%,
13,2020,2020-12-13,13,14,22.341,IND,@,LVR,W 44-27,,2,59,29.50,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,16%,11,38%,
14,2020,2020-12-20,14,15,22.348,IND,,HOU,W 27-20,,1,19,19.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,39%,
15,2020,2020-12-27,15,16,,IND,@,PIT,L 24-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2020,2021-01-03,16,17,22.362,IND,,JAX,W 28-14,,,,,,,,,,0,0,,,,,,,,,,,0,,,0,0,0,0,0%,0,0%,13,46%,
17,2021,2021-09-12,1,1,23.248,IND,,SEA,L 16-28,,2,41,20.50,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,11%,13,54%,
18,2021,2021-09-19,2,2,23.255,IND,,LAR,L 24-27,,1,41,41.00,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,31%,16,62%,
19,2021,2021-09-26,3,3,23.262,IND,@,TEN,L 16-25,,1,16,16.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,15,22%,12,52%,
20,2021,2021-10-03,4,4,23.269,IND,@,MIA,W 27-17,,2,44,22.00,0,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,44,85%,9,32%,
21,2021,2021-10-11,5,5,23.277,IND,@,BAL,L 25-31,*,0,0,,0,0,0,,0,0,0,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,60,82%,5,20%,
22,2021,2021-10-17,6,6,23.283,IND,,HOU,W 31-3,,0,0,,0,0,0,,0,0,0,0.0,1,1,2,0,0,1,12,0,2,0,0,0,0,0,0,0,0%,22,29%,5,21%,
23,2021,2021-10-24,7,7,23.290,IND,@,SFO,W 30-18,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,55%,13,46%,
24,2021,2021-10-31,8,8,23.297,IND,,TEN,L 31-34,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0%,2,3%,10,32%,
25,2021,2021-11-04,9,9,23.301,IND,,NYJ,W 45-30,,3,46,15.33,0,0,0,,0,0,0,0.0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,53%,11,37%,
26,2021,2021-11-14,10,10,23.311,IND,,JAX,W 23-17,,2,46,23.00,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,21,32%,12,38%,
27,2021,2021-11-21,11,11,23.318,IND,@,BUF,W 41-15,,1,33,33.00,0,0,0,,0,0,0,0.0,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,29,52%,6,26%,
28,2021,2021-11-28,12,12,23.325,IND,,TAM,L 31-38,,1,72,72.00,0,0,0,,0,0,0,0.0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,32,48%,17,55%,
29,2021,2021-12-05,13,13,23.332,IND,@,HOU,W 31-0,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,38%,7,32%,
30,2021,2021-12-18,14,15,23.345,IND,,NWE,W 27-17,,2,43,21.50,0,0,0,,0,0,0,0.0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,46%,9,36%,
31,2021,2021-12-25,15,16,23.352,IND,@,ARI,W 22-16,,0,0,,0,0,0,,0,0,0,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,55,85%,10,42%,
32,2021,2022-01-02,16,17,23.360,IND,,LVR,L 20-23,,1,20,20.00,0,0,0,,0,0,0,0.0,3,1,4,0,0,1,12,0,1,0,0,0,0,0,0,0,0%,32,52%,12,46%,
33,2021,2022-01-09,17,18,24.002,IND,@,JAX,L 11-26,,3,99,33.00,0,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0%,66,97%,14,64%,
34,2022,2022-09-11,1,1,24.247,IND,@,HOU,T 20-20,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,0,0%,0,0%,17,53%,
35,2022,2022-09-18,2,2,24.254,IND,@,JAX,L 0-24,,2,43,21.50,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,85%,
36,2022,2022-09-25,3,3,24.261,IND,,KAN,W 20-17,,2,57,28.50,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,38%,9,39%,
37,2022,2022-10-02,4,4,24.268,IND,,TEN,L 17-24,,0,0,,0,0,0,,0,0,0,0.0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,24,44%,13,57%,
38,2022,2022-10-06,5,5,24.272,IND,@,DEN,W 12-9,,0,0,,0,2,13,6.50,0,0,0,0.0,5,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0%,34,47%,16,52%,
39,2022,2022-10-16,6,6,24.282,IND,,JAX,W 34-27,,3,68,22.67,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,18,0,0,0%,32,51%,13,52%,
40,2022,2022-10-23,7,7,24.289,IND,@,TEN,L 10-19,*,3,48,16.00,0,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,37%,11,46%,
41,2022,2022-10-30,8,8,24.296,IND,,WAS,L 16-17,*,0,0,,0,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,64%,9,35%,
42,2022,2022-11-06,9,9,24.303,IND,@,NWE,L 3-26,*,2,46,23.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,35,56%,20,61%,
43,2022,2022-11-13,10,10,24.310,IND,@,LVR,W 25-20,*,1,21,21.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0%,35,50%,6,26%,
44,2022,2022-11-20,11,11,24.317,IND,,PHI,L 16-17,*,0,0,,0,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,32,47%,6,24%,
45,2022,2022-11-28,12,12,24.325,IND,,PIT,L 17-24,*,3,107,35.67,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,36,52%,12,46%,
46,2022,2022-12-04,13,13,24.331,IND,@,DAL,L 19-54,*,2,62,31.00,0,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,38,56%,11,35%,
47,2022,2022-12-17,14,15,24.344,IND,@,MIN,L 36-39,*,0,0,,0,0,0,,0,0,0,0.0,3,3,6,0,0,0,0,0,1,0,0,0,1,4,0,0,0%,69,77%,8,19%,
48,2022,2022-12-26,15,16,24.353,IND,,LAC,L 3-20,*,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,10,15%,4,22%,
49,2022,2023-01-01,16,17,,IND,@,NYG,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
