Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2022,2022-09-11,1,1,,PHI,@,DET,W 38-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2022,2022-09-19,2,2,,PHI,,MIN,W 24-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2022,2022-09-25,3,3,23.295,PHI,@,WAS,W 24-8,,1,1,40,40.00,0,100.0%,40.00,0.0,0,0,0,0,0,0,0,0,0,0,0,17,24%,0,0%,4,15%,
4,2022,2022-10-02,4,4,23.302,PHI,,JAX,W 29-21,,,,,,,0.0%,,,,,,,,,,,,,,11,13%,0,0%,4,17%,
5,2022,2022-10-09,5,5,23.309,PHI,@,ARI,W 20-17,*,,,,,,0.0%,,,,,,,,,,,,,,10,14%,0,0%,1,4%,
6,2022,2022-10-16,6,6,23.316,PHI,,DAL,W 26-17,,,,,,,0.0%,,,,,,,,,,,,,,7,10%,0,0%,0,0%,
7,2022,2022-10-30,7,8,23.330,PHI,,PIT,W 35-13,,,,,,,0.0%,,,,,,,,,,,,,,12,21%,0,0%,8,30%,
8,2022,2022-11-03,8,9,23.334,PHI,@,HOU,W 29-17,,,,,,,0.0%,,,,,,,,,,,,,,7,11%,0,0%,8,35%,
9,2022,2022-11-14,9,10,23.345,PHI,,WAS,L 21-32,,,,,,,0.0%,,,,,,,,,,,,,,7,14%,0,0%,3,12%,
10,2022,2022-11-20,10,11,23.351,PHI,@,IND,W 17-16,,,,,,,0.0%,,,,,,,,,,,,,,19,28%,0,0%,5,20%,
11,2022,2022-11-27,11,12,23.358,PHI,,GNB,W 40-33,,1,1,-2,-2.00,0,100.0%,-2.00,0.0,0,0,0,0,0,0,0,0,0,0,0,23,29%,0,0%,13,42%,
12,2022,2022-12-04,12,13,24.000,PHI,,TEN,W 35-10,,1,1,19,19.00,0,100.0%,19.00,0.0,0,0,0,0,0,0,0,0,0,0,0,28,38%,0,0%,9,31%,
13,2022,2022-12-11,13,14,24.007,PHI,@,NYG,W 48-22,*,4,2,24,12.00,0,50.0%,6.00,0.0,0,0,0,0,0,0,0,0,0,0,0,39,57%,0,0%,8,26%,
14,2022,2022-12-18,14,15,24.014,PHI,@,CHI,W 25-20,,2,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,29,40%,0,0%,8,32%,
15,2022,2022-12-24,15,16,24.020,PHI,@,DAL,L 34-40,,,,,,,0.0%,,,,,,,,,,,,,,7,10%,0,0%,4,13%,
16,2022,2023-01-01,16,17,24.028,PHI,,NOR,L 10-20,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,4,15%,
17,2022,2023-01-08,17,18,24.035,PHI,,NYG,W 22-16,,,,,,,0.0%,,,,,,,,,,,,,,11,15%,0,0%,6,21%,
18,2023,2023-09-10,1,1,24.280,PHI,@,NWE,W 25-20,,,,,,,0.0%,,,,,,,,,,,,,,4,6%,0,0%,12,42%,
19,2023,2023-09-14,2,2,24.284,PHI,,MIN,W 34-28,,,,,,,0.0%,,,,,,,,,,,,,,10,13%,0,0%,13,45%,
20,2023,2023-09-25,3,3,24.295,PHI,@,TAM,W 25-11,,,,,,,0.0%,,,,,,,,,,,,,,12,15%,0,0%,7,35%,
21,2023,2023-10-01,4,4,24.301,PHI,,WAS,W 34-31,,,,,,,0.0%,,,,,,,,,,,,,,1,1%,0,0%,13,42%,
22,2023,2023-10-08,5,5,24.308,PHI,@,LAR,W 23-14,,,,,,,0.0%,,,,,,,,,,,,,,6,8%,0,0%,7,35%,
23,2023,2023-10-15,6,6,24.315,PHI,@,NYJ,L 14-20,,,,,,,0.0%,,,,,,,,,,,,,,5,7%,0,0%,8,36%,
24,2023,2023-10-22,7,7,24.322,PHI,,MIA,W 31-17,,,,,,,0.0%,,,,,,,,,,,,,,15,21%,0,0%,8,36%,
25,2023,2023-10-29,8,8,24.329,PHI,@,WAS,W 38-31,,0,0,0,,0,0.0%,,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,2,7%,
26,2023,2023-11-05,9,9,,PHI,,DAL,W 28-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2023,2023-11-20,10,11,24.351,PHI,@,KAN,W 21-17,*,,,,,,0.0%,,,,,,,,,,,,,,12,21%,0,0%,2,8%,
28,2023,2023-11-26,11,12,,PHI,,BUF,W 37-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2023,2023-12-03,12,13,24.364,PHI,,SFO,L 19-42,,,,,,,0.0%,,,,,,,,,,,,,,13,18%,0,0%,13,50%,
30,2023,2023-12-10,13,14,25.006,PHI,@,DAL,L 13-33,,,,,,,0.0%,,,,,,,,,,,,,,3,5%,0,0%,15,60%,
31,2023,2023-12-18,14,15,25.014,PHI,@,SEA,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,,0,0%,0,0%,18,67%,
32,2023,2023-12-25,15,16,25.021,PHI,,NYG,W 33-25,,2,2,21,10.50,0,100.0%,10.50,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,11,38%,
33,2023,2023-12-31,16,17,25.027,PHI,,ARI,L 31-35,,,,,,,0.0%,,,,,,,,,,,,,,5,10%,0,0%,10,40%,
34,2023,2024-01-07,17,18,25.034,PHI,@,NYG,L 10-27,,2,2,18,9.00,0,100.0%,9.00,0.0,0,1,1,0,0,0,0,0,0,0,0,18,28%,0,0%,16,62%,
35,2024,2024-09-06,1,1,25.277,PHI,,GNB,W 34-29,*,1,1,11,11.00,0,100.0%,11.00,0.0,0,0,0,0,0,0,0,0,0,0,0,36,47%,0,0%,8,26%,
36,2024,2024-09-16,2,2,25.287,PHI,,ATL,L 21-22,*,2,2,19,9.50,0,100.0%,9.50,0.0,0,0,0,0,0,0,0,0,0,0,0,28,39%,0,0%,11,50%,
37,2024,2024-09-22,3,3,25.293,PHI,@,NOR,W 15-12,,,,,,,0.0%,,,,,,,,,,,,,,27,37%,0,0%,4,24%,
38,2024,2024-09-29,4,4,25.300,PHI,@,TAM,L 16-33,,2,1,26,26.00,0,50.0%,13.00,0.0,0,1,1,0,0,0,0,0,0,0,0,27,47%,0,0%,5,19%,
39,2024,2024-10-13,5,6,25.314,PHI,,CLE,W 20-16,*,4,4,67,16.75,0,100.0%,16.75,0.0,0,0,0,0,0,0,0,0,0,0,0,57,92%,0,0%,3,11%,
40,2024,2024-10-20,6,7,25.321,PHI,@,NYG,W 28-3,*,1,1,5,5.00,0,100.0%,5.00,0.0,0,0,0,0,0,0,0,0,0,0,0,47,71%,0,0%,4,13%,
41,2024,2024-10-27,7,8,25.328,PHI,@,CIN,W 37-17,*,3,3,58,19.33,0,100.0%,19.33,0.0,0,0,0,0,0,0,0,0,0,0,0,57,93%,0,0%,1,4%,
42,2024,2024-11-03,8,9,25.335,PHI,,JAX,W 28-23,*,5,5,30,6.00,0,100.0%,6.00,0.0,0,0,0,0,0,0,0,0,0,0,0,73,92%,0,0%,0,0%,
43,2024,2024-11-10,9,10,25.342,PHI,@,DAL,W 34-6,*,1,0,0,,0,0.0%,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,42,62%,0,0%,3,11%,
44,2024,2024-11-14,10,11,25.346,PHI,,WAS,W 26-18,,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,0,0,0,1,2,0,37,52%,0,0%,11,41%,
