Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
37,2021,2021-10-17,6,6,24.134,CIN,@,DET,W 34-11,,,,,,,,13,18%,0,0%,1,4%,
38,2021,2021-10-24,7,7,24.141,CIN,@,BAL,W 41-17,,,,,,,,7,11%,0,0%,0,0%,
39,2021,2021-10-31,8,8,,CIN,@,NYJ,L 31-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,2021,2021-11-07,9,9,,CIN,,CLE,L 16-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,2021,2021-11-21,10,11,,CIN,@,LVR,W 32-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,2021,2021-11-28,11,12,,CIN,,PIT,W 41-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,2021,2021-12-05,12,13,,CIN,,LAC,L 22-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2021,2021-12-12,13,14,,CIN,,SFO,L 23-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,2021,2021-12-19,14,15,24.197,CIN,@,DEN,W 15-10,*,,,,,,,53,100%,0,0%,3,12%,
46,2021,2021-12-26,15,16,,CIN,,BAL,W 41-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,2021,2022-01-02,16,17,24.211,CIN,,KAN,W 34-31,,,,,,,,5,7%,0,0%,0,0%,
48,2021,2022-01-09,17,18,24.218,CIN,@,CLE,L 16-21,,,,,,,,12,22%,0,0%,1,4%,
49,2022,2022-09-11,1,1,,TAM,@,DAL,W 19-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2022,2022-09-18,2,2,25.105,TAM,@,NOR,W 20-10,,,,,,,,0,0%,0,0%,4,15%,
51,2022,2022-09-25,3,3,25.112,TAM,,GNB,L 12-14,,,,,,,,0,0%,0,0%,2,8%,
52,2022,2022-10-02,4,4,25.119,TAM,,KAN,L 31-41,,,,,,,,0,0%,0,0%,5,17%,
53,2022,2022-10-09,5,5,25.126,TAM,,ATL,W 21-15,,,,,,,,1,1%,0,0%,3,14%,
54,2022,2022-10-16,6,6,25.133,TAM,@,PIT,L 18-20,,,,,,,,1,1%,0,0%,4,14%,
55,2022,2022-10-23,7,7,,TAM,@,CAR,L 3-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
