Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
36,2019,2019-10-06,5,5,24.258,PHI,,NYJ,W 31-6,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,39%,
37,2019,2019-10-13,6,6,24.265,PHI,@,MIN,L 20-38,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,34%,
38,2019,2019-10-20,7,7,24.272,PHI,@,DAL,L 10-37,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,20%,
39,2019,2019-10-27,8,8,24.279,PHI,@,BUF,W 31-13,,0,0,,0,0,0,,0,0,,,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,39%,
40,2019,2019-11-03,9,9,24.286,PHI,,CHI,W 22-14,,0,0,,0,0,0,,0,0,,,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,38%,
41,2019,2019-11-17,10,11,24.300,PHI,,NWE,L 10-17,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,17%,
42,2019,2019-11-24,11,12,24.307,PHI,,SEA,L 9-17,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,4,18%,
43,2019,2019-12-01,12,13,24.314,PHI,@,MIA,L 31-37,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,41%,
44,2019,2019-12-09,13,14,24.322,PHI,,NYG,W 23-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,24%,
45,2019,2019-12-15,14,15,24.328,PHI,@,WAS,W 37-27,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,1,1,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,38%,
46,2019,2019-12-22,15,16,24.335,PHI,,DAL,W 17-9,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,1,1%,0,0%,9,32%,
47,2019,2019-12-29,16,17,24.342,PHI,@,NYG,W 34-17,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,38%,
48,2020,2020-09-13,1,1,25.236,PHI,@,WAS,L 17-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,24%,
49,2020,2020-09-20,2,2,25.243,PHI,,LAR,L 19-37,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,32%,
50,2020,2020-09-27,3,3,25.250,PHI,,CIN,T 23-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,34%,
51,2020,2020-10-04,4,4,25.257,PHI,@,SFO,W 25-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,33%,
52,2020,2020-10-11,5,5,25.264,PHI,@,PIT,L 29-38,,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,35%,
53,2020,2020-10-18,6,6,25.271,PHI,,BAL,L 28-30,,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0,0.0,1,0,1,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,19%,
54,2020,2020-10-22,7,7,25.275,PHI,,NYG,W 22-21,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,31%,
55,2020,2020-11-01,8,8,25.285,PHI,,DAL,W 23-9,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,24%,
56,2020,2020-11-15,9,10,25.299,PHI,@,NYG,L 17-27,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,20%,
57,2020,2020-11-22,10,11,25.306,PHI,@,CLE,L 17-22,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,24%,
58,2020,2020-11-30,11,12,25.314,PHI,,SEA,L 17-23,,0,0,,0,0,0,,0,0,,,,1,0.0,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,24%,
