Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
98,2023,2023-09-10,1,1,28.232,PHI,@,NWE,W 25-20,,0,0,,0,0,0,,0,0,,,1,2,50.0,4,4,100.0,0,13,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,45%,
99,2023,2023-09-14,2,2,28.236,PHI,,MIN,W 34-28,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,45%,
100,2023,2023-09-25,3,3,28.247,PHI,@,TAM,W 25-11,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,50%,
101,2023,2023-10-01,4,4,28.253,PHI,,WAS,W 34-31,,0,0,,0,0,0,,0,0,,,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,42%,
102,2023,2023-10-08,5,5,28.260,PHI,@,LAR,W 23-14,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,10,50%,
103,2023,2023-10-15,6,6,28.267,PHI,@,NYJ,L 14-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,27%,
104,2023,2023-10-22,7,7,28.274,PHI,,MIA,W 31-17,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,50%,
105,2023,2023-10-29,8,8,28.281,PHI,@,WAS,W 38-31,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,13,46%,
106,2023,2023-11-05,9,9,28.288,PHI,,DAL,W 28-23,,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,9,38%,
107,2023,2023-11-20,10,11,28.303,PHI,@,KAN,W 21-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,,,,0,3,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,27%,
108,2023,2023-11-26,11,12,28.309,PHI,,BUF,W 37-34,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,12,33%,
109,2023,2023-12-03,12,13,28.316,PHI,,SFO,L 19-42,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,8,31%,
110,2023,2023-12-10,13,14,28.323,PHI,@,DAL,L 13-33,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,28%,
111,2023,2023-12-18,14,15,28.331,PHI,@,SEA,L 17-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,26%,
112,2023,2023-12-25,15,16,28.338,PHI,,NYG,W 33-25,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,14,48%,
113,2023,2023-12-31,16,17,28.344,PHI,,ARI,L 31-35,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,11,44%,
114,2023,2024-01-07,17,18,28.351,PHI,@,NYG,L 10-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,19%,
115,2024,2024-09-06,1,1,29.229,PHI,,GNB,W 34-29,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,19%,
116,2024,2024-09-16,2,2,29.239,PHI,,ATL,L 21-22,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,3,14%,
117,2024,2024-09-22,3,3,29.245,PHI,@,NOR,W 15-12,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,2,12%,
118,2024,2024-09-29,4,4,29.252,PHI,@,TAM,L 16-33,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,2,7%,
119,2024,2024-10-13,5,6,29.266,PHI,,CLE,W 20-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,19%,
120,2024,2024-10-20,6,7,29.273,PHI,@,NYG,W 28-3,,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,5,16%,
121,2024,2024-10-27,7,8,29.280,PHI,@,CIN,W 37-17,,0,0,,0,0,0,,0,0,,,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,29%,
122,2024,2024-11-03,8,9,29.287,PHI,,JAX,W 28-23,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,4,17%,
123,2024,2024-11-10,9,10,29.294,PHI,@,DAL,W 34-6,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,6,21%,
124,2024,2024-11-14,10,11,29.298,PHI,,WAS,W 26-18,,0,0,,0,0,0,,0,0,,,2,3,66.7,2,4,50.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0%,0,0%,7,26%,
