Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
22,2023,2023-10-05,5,5,23.197,WAS,,CHI,L 20-40,*,5,3,30,10.00,0,60.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,56,80%,0,0%,0,0%,
23,2023,2023-10-15,6,6,23.207,WAS,@,ATL,W 24-16,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,41,80%,0,0%,0,0%,
24,2023,2023-10-22,7,7,23.214,WAS,@,NYG,L 7-14,*,8,5,43,8.60,0,62.5%,5.38,0,0,,0,,0,0,0.0,0,0,0,0,0,58,84%,0,0%,0,0%,
25,2023,2023-10-29,8,8,23.221,WAS,,PHI,L 31-38,*,10,8,108,13.50,1,80.0%,10.80,0,0,,0,,1,6,0.0,0,0,0,0,0,61,85%,0,0%,0,0%,
26,2023,2023-11-05,9,9,23.228,WAS,@,NWE,W 20-17,*,8,4,69,17.25,1,50.0%,8.63,0,0,,0,,1,6,0.0,0,0,0,0,0,59,76%,0,0%,0,0%,
27,2023,2023-11-12,10,10,23.235,WAS,@,SEA,L 26-29,*,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,58,95%,0,0%,0,0%,
28,2023,2023-11-19,11,11,23.242,WAS,,NYG,L 19-31,,4,3,23,7.67,1,75.0%,5.75,0,0,,0,,1,6,0.0,0,0,0,0,0,64,79%,0,0%,0,0%,
29,2023,2023-11-23,12,12,23.246,WAS,@,DAL,L 10-45,*,6,5,52,10.40,0,83.3%,8.67,0,0,,0,,0,0,0.0,0,0,0,0,0,66,85%,0,0%,0,0%,
30,2023,2023-12-03,13,13,23.256,WAS,,MIA,L 15-45,*,5,2,23,11.50,0,40.0%,4.60,0,0,,0,,0,0,0.0,0,0,0,0,0,45,82%,0,0%,0,0%,
31,2023,2023-12-17,14,15,23.270,WAS,@,LAR,L 20-28,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0,0,0,0,46,77%,0,0%,0,0%,
