Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
67,2023,2023-09-10,1,1,27.238,SFO,@,PIT,W 30-7,*,7,5,55,11.00,0,71.4%,7.86,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,
68,2023,2023-09-17,2,2,27.245,SFO,@,LAR,W 30-23,*,9,6,63,10.50,0,66.7%,7.00,5,38,7.60,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,51,89%,0,0%,0,0%,
69,2023,2023-09-21,3,3,27.249,SFO,,NYG,W 30-12,*,12,6,129,21.50,1,50.0%,10.75,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,82%,0,0%,0,0%,
70,2023,2023-10-01,4,4,27.259,SFO,,ARI,W 35-16,*,0,0,0,,0,0.0%,,3,6,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,87%,0,0%,0,0%,
71,2023,2023-10-08,5,5,27.266,SFO,,DAL,W 42-10,*,3,3,55,18.33,0,100.0%,18.33,5,30,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,73%,0,0%,0,0%,
72,2023,2023-10-15,6,6,27.273,SFO,@,CLE,L 17-19,*,1,0,0,,0,0.0%,0.00,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,15%,0,0%,0,0%,
73,2023,2023-10-23,7,7,,SFO,@,MIN,L 17-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,2023,2023-10-29,8,8,,SFO,,CIN,L 17-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,2023,2023-11-12,9,10,27.301,SFO,@,JAX,W 34-3,*,4,4,30,7.50,0,100.0%,7.50,3,29,9.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,35,56%,0,0%,2,9%,
76,2023,2023-11-19,10,11,27.308,SFO,,TAM,W 27-14,*,4,3,63,21.00,0,75.0%,15.75,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,85%,0,0%,0,0%,
77,2023,2023-11-23,11,12,27.312,SFO,@,SEA,W 31-13,*,9,7,79,11.29,0,77.8%,8.78,4,15,3.75,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,76%,0,0%,0,0%,
78,2023,2023-12-03,12,13,27.322,SFO,@,PHI,W 42-19,*,4,4,116,29.00,2,100.0%,29.00,3,22,7.33,1,0,0,,0,0,0,,0,0,,,2,60,30.00,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,49,83%,0,0%,5,19%,
79,2023,2023-12-10,13,14,27.329,SFO,,SEA,W 28-16,*,9,7,149,21.29,1,77.8%,16.56,1,1,1.00,1,0,0,,0,0,0,,0,0,,,2,42,21.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,42,78%,0,0%,4,15%,
80,2023,2023-12-17,14,15,27.336,SFO,@,ARI,W 45-29,*,7,4,48,12.00,2,57.1%,6.86,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,48,86%,0,0%,6,19%,
81,2023,2023-12-25,15,16,27.344,SFO,,BAL,L 19-33,*,12,4,47,11.75,0,33.3%,3.92,2,7,3.50,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,96%,0,0%,7,26%,
82,2023,2023-12-31,16,17,27.350,SFO,@,WAS,W 27-10,*,6,5,37,7.40,1,83.3%,6.17,3,35,11.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,
83,2023,2024-01-07,17,18,27.357,SFO,,LAR,L 20-21,*,2,2,21,10.50,0,100.0%,10.50,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,33%,0,0%,0,0%,
84,2024,2024-09-09,1,1,28.238,SFO,,NYJ,W 32-19,*,9,5,54,10.80,0,55.6%,6.00,8,23,2.88,1,0,0,,0,0,0,,1,4,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,74%,0,0%,3,12%,
85,2024,2024-09-15,2,2,28.244,SFO,@,MIN,L 17-23,*,10,8,110,13.75,0,80.0%,11.00,2,-10,-5.00,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,86%,0,0%,5,22%,
86,2024,2024-09-22,3,3,,SFO,@,LAR,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
87,2024,2024-09-29,4,4,28.258,SFO,,NWE,W 30-13,*,5,3,58,19.33,0,60.0%,11.60,2,14,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,76%,0,0%,2,8%,
88,2024,2024-10-06,5,5,28.265,SFO,,ARI,L 23-24,*,3,1,11,11.00,0,33.3%,3.67,3,9,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,81%,0,0%,0,0%,
89,2024,2024-10-10,6,6,28.269,SFO,@,SEA,W 36-24,*,5,3,102,34.00,1,60.0%,20.40,4,15,3.75,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,82%,0,0%,4,13%,
90,2024,2024-10-20,7,7,28.279,SFO,,KAN,L 18-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,
91,2024,2024-10-27,8,8,28.286,SFO,,DAL,W 30-24,*,7,4,71,17.75,0,57.1%,10.14,4,15,3.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,62%,0,0%,0,0%,
92,2024,2024-11-10,9,10,28.300,SFO,@,TAM,W 23-20,*,6,5,62,12.40,0,83.3%,10.33,3,14,4.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,78%,0,0%,1,3%,
93,2024,2024-11-17,10,11,28.307,SFO,,SEA,L 17-20,*,7,4,22,5.50,0,57.1%,3.14,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,87%,0,0%,0,0%,
94,2024,2024-11-24,11,12,28.314,SFO,@,GNB,L 10-38,*,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,67%,0,0%,3,12%,
