Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
42,2022,2022-11-06,9,9,,JAX,,LVR,W 27-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2022,2022-11-13,10,10,,JAX,@,KAN,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,2022,2022-11-27,11,12,,JAX,,BAL,W 28-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,2022,2022-12-04,12,13,,JAX,@,DET,L 14-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,2022,2022-12-11,13,14,,JAX,@,TEN,W 36-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,2022,2022-12-18,14,15,,JAX,,DAL,W 40-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,2022,2022-12-22,15,16,,JAX,@,NYJ,W 19-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,2022,2023-01-01,16,17,,JAX,@,HOU,W 31-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,2022,2023-01-07,17,18,,JAX,,TEN,W 20-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,2023,2023-09-10,1,1,25.050,JAX,@,IND,W 31-21,*,,,,,,,70,100%,0,0%,5,18%,
52,2023,2023-09-17,2,2,25.057,JAX,,KAN,L 9-17,*,,,,,,,67,100%,0,0%,3,14%,
53,2023,2023-09-24,3,3,25.064,JAX,,HOU,L 17-37,*,,,,,,,73,100%,0,0%,5,17%,
54,2023,2023-10-01,4,4,25.071,JAX,,ATL,W 23-7,,,,,,,,3,5%,0,0%,5,23%,
55,2023,2023-10-08,5,5,25.078,JAX,@,BUF,W 25-20,,,,,,,,0,0%,0,0%,3,12%,
56,2023,2023-10-15,6,6,25.085,JAX,,IND,W 37-20,,,,,,,,0,0%,0,0%,7,23%,
57,2023,2023-10-19,7,7,25.089,JAX,@,NOR,W 31-24,,,,,,,,0,0%,0,0%,5,16%,
58,2023,2023-10-29,8,8,25.099,JAX,@,PIT,W 20-10,,,,,,,,0,0%,0,0%,4,15%,
59,2023,2023-11-12,9,10,,JAX,,SFO,L 3-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2023,2023-11-19,10,11,,JAX,,TEN,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2023,2023-11-23,11,12,,SFO,@,SEA,W 31-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,2023,2023-12-03,12,13,,SFO,@,PHI,W 42-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,2023,2023-12-10,13,14,25.141,SFO,,SEA,W 28-16,,,,,,,,0,0%,0,0%,4,15%,
64,2023,2023-12-17,14,15,25.148,SFO,@,ARI,W 45-29,,,,,,,,2,4%,0,0%,7,23%,
65,2023,2023-12-25,15,16,25.156,SFO,,BAL,L 19-33,,0,0,0,0,0,0,5,7%,0,0%,3,11%,
66,2023,2023-12-31,16,17,25.162,SFO,@,WAS,W 27-10,,,,,,,,5,7%,0,0%,5,24%,
67,2023,2024-01-07,17,18,25.169,SFO,,LAR,L 20-21,,,,,,,,16,26%,0,0%,4,21%,
68,2024,2024-09-09,1,1,,SFO,,NYJ,W 32-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,2024,2024-09-15,2,2,,SFO,@,MIN,L 17-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,2024,2024-09-22,3,3,,SFO,@,LAR,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,2024,2024-09-29,4,4,,SFO,,NWE,W 30-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,2024,2024-10-06,5,5,,SFO,,ARI,L 23-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,2024,2024-10-10,6,6,,SFO,@,SEA,W 36-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,2024,2024-10-20,7,7,,SFO,,KAN,L 18-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,2024,2024-10-27,8,8,,SFO,,DAL,W 30-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,2024,2024-11-10,9,10,,SFO,@,TAM,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,2024,2024-11-17,10,11,,SFO,,SEA,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,2024,2024-11-24,11,12,26.125,SFO,@,GNB,L 10-38,,0,0,0,1,0,0,7,14%,0,0%,0,0%,
