Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
29,2022,2022-12-04,12,13,23.086,SFO,,MIA,W 33-17,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,17,57%,
30,2022,2022-12-11,13,14,23.093,SFO,,TAM,W 35-7,,0,0,,0,0.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,1,1%,13,62%,
31,2022,2022-12-15,14,15,23.097,SFO,@,SEA,W 21-13,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,9,32%,
32,2022,2022-12-24,15,16,23.106,SFO,,WAS,W 37-20,,0,0,,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,8%,12,44%,
33,2022,2023-01-01,16,17,23.114,SFO,@,LVR,W 37-34,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,9,27%,
34,2022,2023-01-08,17,18,,SFO,,ARI,W 38-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2023,2023-09-10,1,1,24.001,SFO,@,PIT,W 30-7,*,0,0,,0,0.0,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,34,54%,7,27%,
36,2023,2023-09-17,2,2,24.008,SFO,@,LAR,W 30-23,*,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,14,18%,2,7%,
37,2023,2023-09-21,3,3,,SFO,,NYG,W 30-12,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2023,2023-10-01,4,4,24.022,SFO,,ARI,W 35-16,,0,0,,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,21,30%,9,41%,
39,2023,2023-10-08,5,5,24.029,SFO,,DAL,W 42-10,,0,0,,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,12,25%,16,59%,
40,2023,2023-10-15,6,6,24.036,SFO,@,CLE,L 17-19,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,5%,22,71%,
41,2023,2023-10-23,7,7,24.044,SFO,@,MIN,L 17-22,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,6,27%,
42,2023,2023-10-29,8,8,24.050,SFO,,CIN,L 17-31,,,,,,,,,,,,,,,,,,,,,,0,0%,0,0%,15,60%,
43,2023,2023-11-12,9,10,24.064,SFO,@,JAX,W 34-3,,0,0,,0,0.0,3,0,3,0,0,0,0,0,0,0,0,1,1,26,0,0,0%,46,81%,11,48%,
44,2023,2023-11-19,10,11,24.071,SFO,,TAM,W 27-14,,0,0,,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,57,80%,2,9%,
