Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
15,2017,2017-12-24,15,16,21.200,CAR,,TAM,W 22-19,*,9,39,4.33,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,80%,0,0%,1,4%,
16,2017,2017-12-31,16,17,21.207,CAR,@,ATL,L 10-22,*,6,14,2.33,0,8,5,40,8.00,0,62.5%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,85%,0,0%,0,0%,
17,2018,2018-09-09,1,1,22.094,CAR,,DAL,W 16-8,*,10,50,5.00,0,9,6,45,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,57,85%,0,0%,0,0%,
18,2018,2018-09-16,2,2,22.101,CAR,@,ATL,L 24-31,*,8,37,4.63,0,15,14,102,7.29,0,93.3%,6.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,94%,0,0%,0,0%,
19,2018,2018-09-23,3,3,22.108,CAR,,CIN,W 31-21,*,28,184,6.57,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,
20,2018,2018-10-07,4,5,22.122,CAR,,NYG,W 33-31,*,17,58,3.41,0,6,5,35,7.00,1,83.3%,5.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,97%,0,0%,0,0%,
21,2018,2018-10-14,5,6,22.129,CAR,@,WAS,L 17-23,*,8,20,2.50,0,8,7,46,6.57,0,87.5%,5.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
22,2018,2018-10-21,6,7,22.136,CAR,@,PHI,W 21-17,*,7,29,4.14,0,6,6,51,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,0,0%,
23,2018,2018-10-28,7,8,22.143,CAR,,BAL,W 36-21,*,14,45,3.21,1,6,4,11,2.75,1,66.7%,1.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,64,98%,0,0%,0,0%,
24,2018,2018-11-04,8,9,22.150,CAR,,TAM,W 42-28,*,17,79,4.65,2,6,5,78,15.60,0,83.3%,13.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,98%,0,0%,0,0%,
25,2018,2018-11-08,9,10,22.154,CAR,@,PIT,L 21-52,*,14,77,5.50,1,5,5,61,12.20,2,100.0%,12.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,1,0,0,54,95%,0,0%,0,0%,
26,2018,2018-11-18,10,11,22.164,CAR,@,DET,L 19-20,*,13,53,4.08,0,8,6,57,9.50,0,75.0%,7.13,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,
27,2018,2018-11-25,11,12,22.171,CAR,,SEA,L 27-30,*,17,125,7.35,1,11,11,112,10.18,1,100.0%,10.18,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,3,0,0,0,0,0,59,100%,0,0%,0,0%,
28,2018,2018-12-02,12,13,22.178,CAR,@,TAM,L 17-24,*,10,106,10.60,0,10,9,55,6.11,1,90.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,1,4%,
29,2018,2018-12-09,13,14,22.185,CAR,@,CLE,L 20-26,*,16,63,3.94,2,7,6,38,6.33,0,85.7%,5.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,0,0%,
30,2018,2018-12-17,14,15,22.193,CAR,,NOR,L 9-12,*,15,53,3.53,0,11,8,67,8.38,0,72.7%,6.09,1,1,100.00,50,1,0,158.3,0,0,50.00,70.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,
31,2018,2018-12-23,15,16,22.199,CAR,,ATL,L 10-24,*,21,101,4.81,0,13,12,77,6.42,0,92.3%,5.92,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,83,90%,0,0%,0,0%,
32,2018,2018-12-30,16,17,22.206,CAR,@,NOR,W 33-14,*,4,18,4.50,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,0,0%,
33,2019,2019-09-08,1,1,23.093,CAR,,LAR,L 27-30,*,19,128,6.74,2,11,10,81,8.10,0,90.9%,7.36,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
