Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-09,1.0,1.0,24.198,SFO,,NYJ,W 32-19,*,,,,,,0.0%,,72.0,100%,0.0,0%,8.0,31%
2.0,2024.0,2024-09-15,2.0,2.0,24.204,SFO,@,MIN,L 17-23,*,0.0,0.0,0.0,,0.0,0.0%,,70.0,100%,0.0,0%,3.0,13%
3.0,2024.0,2024-09-22,3.0,3.0,24.211,SFO,@,LAR,L 24-27,*,0.0,0.0,-3.0,,0.0,0.0%,,71.0,100%,0.0,0%,5.0,19%
4.0,2024.0,2024-09-29,4.0,4.0,24.218,SFO,,NWE,W 30-13,*,,,,,,0.0%,,62.0,98%,0.0,0%,6.0,23%
5.0,2024.0,2024-10-06,5.0,5.0,24.225,SFO,,ARI,L 23-24,*,,,,,,0.0%,,64.0,100%,0.0,0%,5.0,21%
6.0,2024.0,2024-10-10,6.0,6.0,24.229,SFO,@,SEA,W 36-24,*,,,,,,0.0%,,65.0,100%,0.0,0%,6.0,20%
7.0,2024.0,2024-10-20,7.0,7.0,24.239,SFO,,KAN,L 18-28,*,,,,,,0.0%,,63.0,100%,0.0,0%,3.0,13%
8.0,2024.0,2024-10-27,8.0,8.0,24.246,SFO,,DAL,W 30-24,*,,,,,,0.0%,,68.0,100%,0.0,0%,6.0,20%
9.0,2024.0,2024-11-10,9.0,10.0,24.26,SFO,@,TAM,W 23-20,*,,,,,,0.0%,,64.0,100%,0.0,0%,8.0,28%
10.0,2024.0,2024-11-17,10.0,11.0,24.267,SFO,,SEA,L 17-20,*,,,,,,0.0%,,63.0,100%,0.0,0%,3.0,14%
11.0,2024.0,2024-11-24,11.0,12.0,24.274,SFO,@,GNB,L 10-38,*,,,,,,0.0%,,49.0,100%,0.0,0%,2.0,8%
