Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
25,2022,2022-10-30,8,8,,SFO,@,LAR,W 31-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2022,2022-11-13,9,10,24.195,SFO,,LAC,W 22-16,,18,89,4.94,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,25,35%,0,0%,0,0%,
27,2022,2022-11-21,10,11,24.203,SFO,@,ARI,W 38-10,,9,59,6.56,0,0,0,0,,0,0.0%,,0,0,13,22%,0,0%,0,0%,
28,2022,2022-11-27,11,12,24.209,SFO,,NOR,W 13-0,,7,35,5.00,0,2,2,8,4.00,0,100.0%,4.00,0,0,15,21%,0,0%,0,0%,
29,2022,2022-12-04,12,13,,SFO,,MIA,W 33-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2022,2022-12-11,13,14,,SFO,,TAM,W 35-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2022,2022-12-15,14,15,,SFO,@,SEA,W 21-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,2022,2022-12-24,15,16,,SFO,,WAS,W 37-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2022,2023-01-01,16,17,,SFO,@,LVR,W 37-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,2022,2023-01-08,17,18,24.251,SFO,,ARI,W 38-13,,5,55,11.00,2,0,0,0,,0,0.0%,,2,12,10,16%,0,0%,0,0%,
35,2023,2023-09-10,1,1,25.131,SFO,@,PIT,W 30-7,,5,10,2.00,0,1,0,0,,0,0.0%,0.00,0,0,10,15%,0,0%,0,0%,
36,2023,2023-09-17,2,2,,SFO,@,LAR,W 30-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,2023,2023-09-21,3,3,25.142,SFO,,NYG,W 30-12,,11,42,3.82,0,3,3,2,0.67,0,100.0%,0.67,0,0,28,34%,0,0%,0,0%,
38,2023,2023-10-01,4,4,,SFO,,ARI,W 35-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,2023,2023-10-08,5,5,,SFO,,DAL,W 42-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2023,2023-10-15,6,6,25.166,SFO,@,CLE,L 17-19,,2,-3,-1.50,0,0,0,0,,0,0.0%,,0,0,7,11%,0,0%,0,0%,
41,2023,2023-10-23,7,7,25.174,SFO,@,MIN,L 17-22,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,4,8%,0,0%,0,0%,
42,2023,2023-10-29,8,8,25.180,SFO,,CIN,L 17-31,,3,2,0.67,0,1,0,0,,0,0.0%,0.00,0,0,7,12%,0,0%,0,0%,
43,2023,2023-11-12,9,10,25.194,SFO,@,JAX,W 34-3,,8,23,2.88,0,0,0,0,,0,0.0%,,0,0,17,27%,0,0%,0,0%,
44,2023,2023-11-19,10,11,25.201,SFO,,TAM,W 27-14,,4,24,6.00,0,0,0,0,,0,0.0%,,0,0,8,13%,0,0%,0,0%,
45,2023,2023-11-23,11,12,25.205,SFO,@,SEA,W 31-13,,7,39,5.57,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,17,26%,0,0%,0,0%,
46,2023,2023-12-03,12,13,25.215,SFO,@,PHI,W 42-19,,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,5,8%,0,0%,0,0%,
47,2023,2023-12-10,13,14,,SFO,,SEA,W 28-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,2023,2023-12-17,14,15,,SFO,@,ARI,W 45-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,2023,2023-12-25,15,16,,SFO,,BAL,L 19-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,2023,2023-12-31,16,17,25.243,SFO,@,WAS,W 27-10,,17,80,4.71,1,0,0,0,,0,0.0%,,1,6,26,37%,0,0%,0,0%,
51,2023,2024-01-07,17,18,25.250,SFO,,LAR,L 20-21,*,14,52,3.71,1,2,2,15,7.50,0,100.0%,7.50,1,6,32,52%,0,0%,0,0%,
52,2024,2024-09-09,1,1,,SFO,,NYJ,W 32-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
53,2024,2024-09-15,2,2,,SFO,@,MIN,L 17-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,2024,2024-09-22,3,3,,SFO,@,LAR,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,2024,2024-09-29,4,4,,SFO,,NWE,W 30-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,2024,2024-10-06,5,5,,SFO,,ARI,L 23-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,2024,2024-10-10,6,6,,SFO,@,SEA,W 36-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,2024,2024-10-20,7,7,,SFO,,KAN,L 18-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,2024,2024-10-27,8,8,,SFO,,DAL,W 30-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,2024,2024-11-10,9,10,,SFO,@,TAM,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,2024,2024-11-17,10,11,,SFO,,SEA,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,2024,2024-11-24,11,12,,SFO,@,GNB,L 10-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
