Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
29,2020,2020-12-13,13,14,28.285,SFO,,WAS,L 15-23,,,,,,,,0,0,0.0,0,0,0,0,0,9,411,45.67,36,375,41.7,0,0.0%,4,44.4%,0,0,0%,0,0%,13,39%,
30,2020,2020-12-20,14,15,28.292,SFO,@,DAL,L 33-41,,,,,,,,0,0,0.0,0,1,1,0,0,4,186,46.50,26,160,40.0,0,0.0%,1,25.0%,0,0,0%,0,0%,14,37%,
31,2020,2020-12-26,15,16,28.298,SFO,@,ARI,W 20-12,,,,,,,,0,0,0.0,0,0,0,0,0,5,195,39.00,0,195,39.0,0,0.0%,2,40.0%,0,0,0%,0,0%,14,58%,
32,2020,2021-01-03,16,17,28.306,SFO,,SEA,L 23-26,,,,,,,,0,0,0.0,0,0,0,0,0,5,227,45.40,14,213,42.6,0,0.0%,2,40.0%,0,0,0%,0,0%,15,47%,
33,2021,2021-09-12,1,1,29.193,SFO,@,DET,W 41-33,,,,,,,,0,0,0.0,0,0,0,0,0,2,76,38.00,0,76,38.0,0,0.0%,2,100.0%,0,0,0%,0,0%,12,39%,
34,2021,2021-09-19,2,2,29.200,SFO,@,PHI,W 17-11,,,,,,,,0,0,0.0,0,0,0,0,0,5,226,45.20,13,213,42.6,0,0.0%,3,60.0%,0,0,0%,0,0%,12,57%,
35,2021,2021-09-26,3,3,29.207,SFO,,GNB,L 28-30,,,,,,,,0,0,0.0,0,0,0,0,0,4,213,53.25,6,187,46.8,1,25.0%,3,75.0%,0,0,0%,0,0%,12,44%,
36,2021,2021-10-03,4,4,29.214,SFO,,SEA,L 21-28,,1,2,50.0,,1,0.0,0,1,0.0,1,0,1,0,0,6,262,43.67,11,231,38.5,1,16.7%,3,50.0%,0,0,0%,0,0%,13,42%,
37,2021,2021-10-10,5,5,29.221,SFO,@,ARI,L 10-17,,,,,,,,0,0,0.0,0,0,0,0,0,2,97,48.50,12,85,42.5,0,0.0%,1,50.0%,0,0,0%,0,0%,4,21%,
38,2021,2021-10-24,6,7,29.235,SFO,,IND,L 18-30,,,,,,,,0,0,0.0,0,0,0,0,0,4,193,48.25,5,188,47.0,0,0.0%,1,25.0%,0,0,0%,0,0%,7,25%,
39,2021,2021-10-31,7,8,29.242,SFO,@,CHI,W 33-22,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0%,0,0%,7,26%,
40,2021,2021-11-07,8,9,29.249,SFO,,ARI,L 17-31,,,,,,,,0,0,0.0,1,0,1,0,0,4,163,40.75,2,161,40.3,0,0.0%,2,50.0%,0,0,0%,0,0%,11,42%,
41,2021,2021-11-15,9,10,29.257,SFO,,LAR,W 31-10,,,,,,,,0,0,0.0,0,0,0,0,0,3,127,42.33,0,127,42.3,0,0.0%,1,33.3%,0,0,0%,0,0%,14,61%,
42,2021,2021-11-21,10,11,29.263,SFO,@,JAX,W 30-10,,,,,,,,0,0,0.0,0,0,0,0,0,2,88,44.00,0,88,44.0,0,0.0%,0,0.0%,0,0,0%,0,0%,14,61%,
43,2021,2021-11-28,11,12,29.270,SFO,,MIN,W 34-26,,,,,,,,0,0,0.0,1,0,1,0,0,3,183,61.00,0,143,47.7,2,66.7%,1,33.3%,0,0,0%,0,0%,15,54%,
44,2021,2021-12-05,12,13,29.277,SFO,@,SEA,L 23-30,,,,,,,,0,0,0.0,0,0,0,0,0,3,137,45.67,0,137,45.7,0,0.0%,0,0.0%,0,0,0%,0,0%,11,38%,
45,2021,2021-12-12,13,14,29.284,SFO,@,CIN,W 26-23,,,,,,,,0,0,0.0,0,0,0,0,0,7,291,41.57,21,270,38.6,0,0.0%,1,14.3%,0,0,0%,0,0%,18,53%,
46,2021,2021-12-19,14,15,29.291,SFO,,ATL,W 31-13,,,,,,,,0,0,0.0,0,0,0,0,0,4,196,49.00,23,153,38.3,1,25.0%,0,0.0%,0,0,0%,0,0%,15,63%,
47,2021,2021-12-23,15,16,29.295,SFO,@,TEN,L 17-20,,,,,,,,0,0,0.0,0,0,0,0,0,2,70,35.00,0,70,35.0,0,0.0%,1,50.0%,0,0,0%,0,0%,8,35%,
48,2021,2022-01-02,16,17,29.305,SFO,,HOU,W 23-7,,,,,,,,0,0,0.0,0,0,0,0,0,4,159,39.75,23,136,34.0,0,0.0%,2,50.0%,0,0,0%,0,0%,9,36%,
49,2021,2022-01-09,17,18,29.312,SFO,@,LAR,W 27-24,,,,,,,,0,0,0.0,0,0,0,0,0,2,85,42.50,40,45,22.5,0,0.0%,0,0.0%,0,0,0%,0,0%,2,7%,
50,2022,2022-09-11,1,1,30.192,SFO,@,CHI,L 10-19,,,,,,,,0,0,0.0,0,0,0,0,0,4,161,40.25,0,161,40.3,0,0.0%,3,75.0%,0,0,0%,0,0%,7,29%,
