Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,23.132,ATL,@,CHI,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,3%,0,0%,16,62%,
2,2017,2017-09-17,2,2,23.139,ATL,,GNB,W 34-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,16,57%,
3,2017,2017-09-24,3,3,23.146,ATL,@,DET,W 30-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,21,64%,
4,2017,2017-10-01,4,4,23.153,ATL,,BUF,L 17-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,16,64%,
5,2017,2017-10-15,5,6,23.167,ATL,,MIA,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,14,61%,
6,2017,2017-10-22,6,7,23.174,ATL,@,NWE,L 7-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,60%,
7,2017,2017-10-29,7,8,23.181,ATL,@,NYJ,W 25-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,21,66%,
8,2017,2017-11-05,8,9,23.188,ATL,@,CAR,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,18,72%,
9,2017,2017-11-12,9,10,23.195,ATL,,DAL,W 27-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,59%,
10,2017,2017-11-20,10,11,23.203,ATL,@,SEA,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,17,55%,
11,2017,2017-11-26,11,12,23.209,ATL,,TAM,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,13,50%,
12,2017,2017-12-03,12,13,23.216,ATL,,MIN,L 9-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,4%,0,0%,12,52%,
13,2017,2017-12-07,,14,,ATL,,NOR,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,2017,2017-12-18,14,15,23.231,ATL,@,TAM,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,12,46%,
15,2017,2017-12-24,,16,,ATL,@,NOR,L 13-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2017,2017-12-31,16,17,23.244,ATL,,CAR,W 22-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,11,37%,
17,2018,2018-09-06,1,1,24.128,ATL,@,PHI,L 12-18,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,13,19%,0,0%,22,81%,
