Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2021,2021-09-12,1,1,24.064,SFO,@,DET,W 41-33,,,,,,,0.0%,,0,0,,,,,,,,,,,,,6,11%,0,0%,6,19%,
2,2021,2021-09-19,2,2,24.071,SFO,@,PHI,W 17-11,,2,2,17,8.50,1,100.0%,8.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,6,9%,0,0%,3,14%,
3,2021,2021-09-26,3,3,24.078,SFO,,GNB,L 28-30,,,,,,,0.0%,,0,0,,,,,,,,,,,,,3,4%,0,0%,1,4%,
4,2021,2021-10-03,4,4,24.085,SFO,,SEA,L 21-28,,1,1,14,14.00,0,100.0%,14.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,
5,2021,2021-10-10,5,5,,SFO,@,ARI,L 10-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,2021,2021-10-24,6,7,24.106,SFO,,IND,L 18-30,,2,0,0,,0,0.0%,0.00,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,16%,0,0%,1,4%,
7,2021,2021-10-31,7,8,24.113,SFO,@,CHI,W 33-22,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,13%,0,0%,0,0%,
8,2021,2021-11-07,8,9,24.120,SFO,,ARI,L 17-31,,,,,,,0.0%,,0,0,,,,,,,,,,,,,5,8%,0,0%,4,15%,
9,2021,2021-11-15,9,10,24.128,SFO,,LAR,W 31-10,*,2,1,3,3.00,0,50.0%,1.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,47%,0,0%,3,13%,
10,2021,2021-11-21,10,11,24.134,SFO,@,JAX,W 30-10,,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,33,48%,0,0%,3,13%,
11,2021,2021-11-28,11,12,24.141,SFO,,MIN,W 34-26,,3,2,24,12.00,1,66.7%,8.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,26,37%,0,0%,3,11%,
12,2021,2021-12-05,12,13,24.148,SFO,@,SEA,L 23-30,,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,50%,0,0%,1,3%,
13,2021,2021-12-12,13,14,24.155,SFO,@,CIN,W 26-23,,5,3,46,15.33,0,60.0%,9.20,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,47,66%,0,0%,0,0%,
14,2021,2021-12-19,14,15,24.162,SFO,,ATL,W 31-13,,6,3,28,9.33,1,50.0%,4.67,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,25,44%,0,0%,0,0%,
15,2021,2021-12-23,15,16,24.166,SFO,@,TEN,L 17-20,,5,2,19,9.50,0,40.0%,3.80,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,46%,0,0%,0,0%,
16,2021,2022-01-02,16,17,24.176,SFO,,HOU,W 23-7,,2,2,25,12.50,0,100.0%,12.50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,48%,0,0%,0,0%,
17,2021,2022-01-09,17,18,24.183,SFO,@,LAR,W 27-24,,7,6,94,15.67,2,85.7%,13.43,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,44,63%,0,0%,0,0%,
18,2022,2022-09-11,1,1,25.063,SFO,@,CHI,L 10-19,*,6,4,62,15.50,0,66.7%,10.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,60%,0,0%,6,25%,
