Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
26,2014,2014-11-09,10,10,23.200,BAL,,TEN,W 21-7,*,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,47%,0,0%,17,63%,
27,2014,2014-11-24,11,12,23.215,BAL,@,NOR,W 34-27,*,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,32,54%,0,0%,11,38%,
28,2014,2014-11-30,12,13,23.221,BAL,,SDG,L 33-34,*,2,0,0,,0,0.0%,0.00,0,0,,0,1,12,12.00,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,28,39%,0,0%,15,48%,
29,2014,2014-12-07,13,14,23.228,BAL,@,MIA,W 28-13,,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,49%,0,0%,17,68%,
30,2014,2014-12-14,14,15,23.235,BAL,,JAX,W 20-12,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,26,42%,0,0%,16,48%,
31,2014,2014-12-21,15,16,23.242,BAL,@,HOU,L 13-25,*,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,12,16%,0,0%,23,66%,
32,2014,2014-12-28,16,17,23.249,BAL,,CLE,W 20-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,27,40%,0,0%,20,74%,
33,2015,2015-09-13,1,1,24.143,BAL,@,DEN,L 13-19,*,4,4,17,4.25,0,100.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,36%,0,0%,17,59%,
34,2015,2015-09-20,2,2,24.150,BAL,@,OAK,L 33-37,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,16%,0,0%,12,35%,
35,2015,2015-09-27,3,3,24.157,BAL,,CIN,L 24-28,*,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,39%,0,0%,13,48%,
36,2015,2015-10-01,4,4,24.161,BAL,@,PIT,W 23-20,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,15%,0,0%,14,44%,
37,2015,2015-10-11,5,5,24.171,BAL,,CLE,L 30-33,,6,3,31,10.33,1,50.0%,5.17,0,0,,0,1,7,7.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,19,27%,0,0%,20,59%,
38,2015,2015-10-18,6,6,24.178,BAL,@,SFO,L 20-25,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,17%,0,0%,14,47%,
39,2015,2015-10-26,7,7,24.186,BAL,@,ARI,L 18-26,*,5,4,15,3.75,1,80.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,28%,0,0%,15,54%,
40,2015,2015-11-01,8,8,24.192,BAL,,SDG,W 29-26,*,2,1,39,39.00,0,50.0%,19.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,38%,0,0%,12,39%,
41,2015,2015-11-15,9,10,24.206,BAL,,JAX,L 20-22,,5,5,47,9.40,0,100.0%,9.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,34%,0,0%,16,55%,
42,2015,2015-11-22,10,11,24.213,BAL,,STL,W 16-13,*,5,3,10,3.33,0,60.0%,2.00,2,3,1.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,58%,0,0%,16,53%,
43,2015,2015-11-30,11,12,24.221,BAL,@,CLE,W 33-27,*,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,49%,0,0%,17,50%,
44,2015,2015-12-06,12,13,24.227,BAL,@,MIA,L 13-15,*,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,45%,0,0%,17,61%,
45,2015,2015-12-13,13,14,24.234,BAL,,SEA,L 6-35,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,19%,0,0%,15,62%,
46,2015,2015-12-20,14,15,24.241,BAL,,KAN,L 14-34,*,6,5,26,5.20,1,83.3%,4.33,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,31,46%,0,0%,21,72%,
47,2015,2015-12-27,15,16,24.248,BAL,,PIT,W 20-17,,7,5,55,11.00,0,71.4%,7.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,27%,0,0%,18,72%,
48,2015,2016-01-03,16,17,24.255,BAL,@,CIN,L 16-24,*,2,2,18,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,48%,0,0%,17,61%,
49,2016,2016-09-11,1,1,25.141,BAL,,BUF,W 13-7,*,3,2,21,10.50,0,66.7%,7.00,1,2,2.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,31%,0,0%,16,73%,
50,2016,2016-09-18,2,2,25.148,BAL,@,CLE,W 25-20,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,20%,0,0%,17,65%,
51,2016,2016-09-25,3,3,25.155,BAL,@,JAX,W 19-17,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,28%,0,0%,21,68%,
52,2016,2016-10-02,4,4,25.162,BAL,,OAK,L 27-28,,7,6,56,9.33,0,85.7%,8.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,39,44%,0,0%,25,76%,
53,2016,2016-10-09,5,5,25.169,BAL,,WAS,L 10-16,*,5,3,20,6.67,0,60.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,59%,0,0%,19,68%,
54,2016,2016-10-16,6,6,25.176,BAL,@,NYG,L 23-27,*,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,52%,0,0%,22,69%,
55,2016,2016-10-23,7,7,25.183,BAL,@,NYJ,L 16-24,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,30,52%,0,0%,21,68%,
56,2016,2016-11-06,8,9,25.197,BAL,,PIT,W 21-14,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,49%,0,0%,29,83%,
57,2016,2016-11-10,9,10,25.201,BAL,,CLE,W 28-7,*,3,2,4,2.00,0,66.7%,1.33,1,3,3.00,0,0,0,,0,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,36,44%,0,0%,17,74%,
58,2016,2016-11-20,10,11,25.211,BAL,@,DAL,L 17-27,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,45%,0,0%,20,69%,
59,2016,2016-11-27,11,12,25.218,BAL,,CIN,W 19-14,,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,37%,0,0%,20,69%,
60,2016,2016-12-04,12,13,25.225,BAL,,MIA,W 38-6,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,28%,0,0%,17,71%,
61,2016,2016-12-12,13,14,25.233,BAL,@,NWE,L 23-30,*,3,3,46,15.33,0,100.0%,15.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,37%,0,0%,24,71%,
62,2016,2016-12-18,14,15,25.239,BAL,,PHI,W 27-26,,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,55%,0,0%,19,68%,
63,2016,2016-12-25,15,16,25.246,BAL,@,PIT,L 27-31,*,3,2,10,5.00,0,66.7%,3.33,2,15,7.50,1,0,0,,0,0,0,,0,,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,31,41%,0,0%,19,61%,
64,2016,2017-01-01,16,17,25.253,BAL,@,CIN,L 10-27,,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,34%,0,0%,17,68%,
65,2017,2017-09-10,1,1,26.140,SFO,,CAR,L 3-23,*,4,2,17,8.50,0,50.0%,4.25,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,32%,0,0%,4,20%,
66,2017,2017-09-17,2,2,26.147,SFO,@,SEA,L 9-12,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,35%,0,0%,7,25%,
67,2017,2017-09-21,3,3,26.151,SFO,,LAR,L 39-41,*,1,1,34,34.00,0,100.0%,34.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,32%,0,0%,2,6%,
68,2017,2017-10-01,4,4,26.161,SFO,@,ARI,L 15-18,*,3,3,15,5.00,0,100.0%,5.00,1,8,8.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,29%,0,0%,7,20%,
69,2017,2017-10-08,5,5,26.168,SFO,@,IND,L 23-26,,4,2,14,7.00,1,50.0%,3.50,1,3,3.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,49%,0,0%,6,18%,
