Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,,SFO,,ARI,L 20-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2021,2021-10-03,4,4,23.200,SFO,,SEA,L 21-28,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,4,32,8.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,67%,0,0%,6,19%,
21,2021,2021-10-10,5,5,23.207,SFO,@,ARI,L 10-17,*,4,2,32,16.00,0,50.0%,8.00,0,0,,0,2,6,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,71%,0,0%,3,16%,
22,2021,2021-10-24,6,7,23.221,SFO,,IND,L 18-30,*,1,1,6,6.00,0,100.0%,6.00,1,3,3.00,0,2,8,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,71%,0,0%,3,11%,
23,2021,2021-10-31,7,8,23.228,SFO,@,CHI,W 33-22,*,7,4,45,11.25,0,57.1%,6.43,0,0,,0,2,28,14.00,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,49,88%,0,0%,2,7%,
24,2021,2021-11-07,8,9,23.235,SFO,,ARI,L 17-31,*,8,6,89,14.83,1,75.0%,11.13,1,-2,-2.00,0,3,34,11.33,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,55,93%,0,0%,3,12%,
25,2021,2021-11-15,9,10,23.243,SFO,,LAR,W 31-10,*,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,90%,0,0%,4,17%,
26,2021,2021-11-21,10,11,23.249,SFO,@,JAX,W 30-10,*,7,7,85,12.14,1,100.0%,12.14,0,0,,0,1,1,1.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,93%,0,0%,5,22%,
27,2021,2021-11-28,11,12,23.256,SFO,,MIN,W 34-26,*,6,3,91,30.33,0,50.0%,15.17,1,4,4.00,0,2,14,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,90%,0,0%,3,11%,
28,2021,2021-12-05,12,13,23.263,SFO,@,SEA,L 23-30,*,6,3,55,18.33,0,50.0%,9.17,0,0,,0,1,-4,-4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,93%,0,0%,5,17%,
29,2021,2021-12-12,13,14,23.270,SFO,@,CIN,W 26-23,*,10,6,62,10.33,1,60.0%,6.20,1,4,4.00,0,2,4,2.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,94%,0,0%,4,12%,
30,2021,2021-12-19,14,15,23.277,SFO,,ATL,W 31-13,*,2,1,36,36.00,0,50.0%,18.00,0,0,,0,2,8,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,98%,0,0%,2,8%,
31,2021,2021-12-23,15,16,23.281,SFO,@,TEN,L 17-20,*,5,4,40,10.00,1,80.0%,8.00,0,0,,0,1,12,12.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,1,-4,0,55,93%,0,0%,5,22%,
32,2021,2022-01-02,16,17,23.291,SFO,,HOU,W 23-7,*,6,4,94,23.50,0,66.7%,15.67,0,0,,0,3,22,7.33,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,56,90%,0,0%,5,20%,
33,2021,2022-01-09,17,18,23.298,SFO,@,LAR,W 27-24,*,7,6,107,17.83,0,85.7%,15.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,
34,2022,2022-09-11,1,1,24.178,SFO,@,CHI,L 10-19,*,3,2,40,20.00,0,66.7%,13.33,1,7,7.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,99%,0,0%,0,0%,
35,2022,2022-09-18,2,2,24.185,SFO,,SEA,W 27-7,*,8,5,63,12.60,0,62.5%,7.88,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,88%,0,0%,0,0%,
36,2022,2022-09-25,3,3,24.192,SFO,@,DEN,L 10-11,*,8,3,39,13.00,1,37.5%,4.88,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,89%,0,0%,0,0%,
37,2022,2022-10-03,4,4,24.200,SFO,,LAR,W 24-9,*,4,4,37,9.25,0,100.0%,9.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,92%,0,0%,0,0%,
38,2022,2022-10-09,5,5,24.206,SFO,@,CAR,W 37-15,*,4,3,58,19.33,0,75.0%,14.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,
39,2022,2022-10-16,6,6,24.213,SFO,@,ATL,L 14-28,*,11,8,83,10.38,2,72.7%,7.55,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,0,0%,
40,2022,2022-10-23,7,7,24.220,SFO,,KAN,L 23-44,*,11,7,82,11.71,0,63.6%,7.45,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,74,94%,0,0%,0,0%,
