Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2015,2015-09-13,1,1,22.323,KAN,@,HOU,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,23,68%,
2,2015,2015-09-17,2,2,22.327,KAN,,DEN,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,10,32%,
3,2015,2015-09-28,3,3,22.338,KAN,@,GNB,L 28-38,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,49%,0,0%,17,55%,
4,2015,2015-10-04,4,4,22.344,KAN,@,CIN,L 21-36,*,7,2,53,26.50,0,28.6%,7.57,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,92%,0,0%,0,0%,
5,2015,2015-10-11,5,5,22.351,KAN,,CHI,L 17-18,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,84%,0,0%,1,4%,
6,2015,2015-10-18,6,6,22.358,KAN,@,MIN,L 10-16,,7,3,16,5.33,0,42.9%,2.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,65%,0,0%,0,0%,
7,2015,2015-10-25,7,7,23.000,KAN,,PIT,W 23-13,*,7,6,63,10.50,1,85.7%,9.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,87%,0,0%,0,0%,
8,2015,2015-11-01,8,8,23.007,KAN,,DET,W 45-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,14%,0,0%,13,43%,
9,2015,2015-11-15,9,10,23.021,KAN,@,DEN,W 29-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,20%,0,0%,9,30%,
10,2015,2015-11-22,10,11,23.028,KAN,@,SDG,W 33-3,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,16%,0,0%,11,39%,
11,2015,2015-11-29,11,12,23.035,KAN,,BUF,W 30-22,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,13%,0,0%,13,45%,
12,2015,2015-12-06,12,13,23.042,KAN,@,OAK,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,16%,0,0%,14,52%,
13,2015,2015-12-13,13,14,23.049,KAN,,SDG,W 10-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,15%,0,0%,10,53%,
