Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,1,1,23.336,SFO,,CAR,L 3-23,*,6,5,27,5.40,0,83.3%,4.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,95%,0,0%,0,0%,
2,2017,2017-09-17,2,2,23.343,SFO,@,SEA,L 9-12,*,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,88%,0,0%,0,0%,
3,2017,2017-09-21,3,3,23.347,SFO,,LAR,L 39-41,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,47%,0,0%,0,0%,
4,2017,2017-10-01,4,4,23.357,SFO,@,ARI,L 15-18,,3,2,35,17.50,0,66.7%,11.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,89%,0,0%,0,0%,
5,2017,2017-10-08,5,5,23.364,SFO,@,IND,L 23-26,*,9,7,83,11.86,1,77.8%,9.22,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,56%,0,0%,0,0%,
6,2017,2017-10-15,6,6,24.006,SFO,@,WAS,L 24-26,*,8,4,46,11.50,0,50.0%,5.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,92%,0,0%,0,0%,
7,2017,2017-10-22,7,7,24.013,SFO,,DAL,L 10-40,*,2,1,16,16.00,0,50.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,47%,0,0%,0,0%,
8,2017,2017-10-29,8,8,24.020,SFO,@,PHI,L 10-33,*,4,2,22,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,62%,0,0%,1,3%,
9,2017,2017-11-05,9,9,24.027,SFO,,ARI,L 10-20,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,45%,0,0%,0,0%,
10,2017,2017-11-12,,10,,SFO,,NYG,W 31-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
