Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Num,Pct,Num,Pct,Num,Pct,Status
1,2023,2023-09-10,1,1,23.291,SFO,@,PIT,W 30-7,,3,3,100.0,3,3,100.0,0,12,0,0%,0,0%,7,27%,
2,2023,2023-09-17,2,2,23.298,SFO,@,LAR,W 30-23,,3,3,100.0,3,3,100.0,0,12,0,0%,0,0%,12,43%,
3,2023,2023-09-21,3,3,23.302,SFO,,NYG,W 30-12,,3,3,100.0,3,3,100.0,0,12,0,0%,0,0%,13,46%,
4,2023,2023-10-01,4,4,23.312,SFO,,ARI,W 35-16,,5,5,100.0,,,,0,5,0,0%,0,0%,11,50%,
5,2023,2023-10-08,5,5,23.319,SFO,,DAL,W 42-10,,6,6,100.0,,,,0,6,0,0%,0,0%,13,48%,
6,2023,2023-10-15,6,6,23.326,SFO,@,CLE,L 17-19,,2,2,100.0,1,3,33.3,0,5,0,0%,0,0%,9,29%,
7,2023,2023-10-23,7,7,23.334,SFO,@,MIN,L 17-22,,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,8,36%,
8,2023,2023-10-29,8,8,23.340,SFO,,CIN,L 17-31,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,28%,
9,2023,2023-11-12,9,10,23.354,SFO,@,JAX,W 34-3,,4,4,100.0,2,2,100.0,0,10,0,0%,0,0%,12,52%,
10,2023,2023-11-19,10,11,23.361,SFO,,TAM,W 27-14,,3,3,100.0,2,2,100.0,0,9,0,0%,0,0%,11,50%,
11,2023,2023-11-23,11,12,24.000,SFO,@,SEA,W 31-13,,4,4,100.0,1,1,100.0,0,7,0,0%,0,0%,11,38%,
12,2023,2023-12-03,12,13,24.010,SFO,@,PHI,W 42-19,,6,6,100.0,,,,0,6,0,0%,0,0%,13,50%,
13,2023,2023-12-10,13,14,24.017,SFO,,SEA,W 28-16,,4,4,100.0,,,,0,4,0,0%,0,0%,9,33%,
14,2023,2023-12-17,14,15,24.024,SFO,@,ARI,W 45-29,,6,6,100.0,1,1,100.0,0,9,0,0%,0,0%,15,49%,
15,2023,2023-12-25,15,16,24.032,SFO,,BAL,L 19-33,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,26%,
16,2023,2023-12-31,16,17,24.038,SFO,@,WAS,W 27-10,,3,3,100.0,2,2,100.0,0,9,0,0%,0,0%,11,52%,
17,2023,2024-01-07,17,18,24.045,SFO,,LAR,L 20-21,,2,3,66.7,,1,0.0,0,2,0,0%,0,0%,8,42%,
18,2024,2024-09-09,1,1,24.291,SFO,,NYJ,W 32-19,,2,2,100.0,6,6,100.0,0,20,0,0%,0,0%,17,65%,
19,2024,2024-09-15,2,2,24.297,SFO,@,MIN,L 17-23,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,6,26%,
20,2024,2024-09-22,3,3,24.304,SFO,@,LAR,L 24-27,,3,3,100.0,1,2,50.0,0,6,0,0%,0,0%,10,37%,
21,2024,2024-09-29,4,4,24.311,SFO,,NWE,W 30-13,,3,3,100.0,3,3,100.0,0,12,0,0%,0,0%,13,50%,
22,2024,2024-10-06,5,5,24.318,SFO,,ARI,L 23-24,,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,8,33%,
23,2024,2024-10-10,6,6,,SFO,@,SEA,W 36-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,2024,2024-10-20,7,7,,SFO,,KAN,L 18-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-10-27,8,8,,SFO,,DAL,W 30-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,2024,2024-11-10,9,10,24.353,SFO,@,TAM,W 23-20,,2,2,100.0,3,6,50.0,0,11,0,0%,0,0%,13,45%,
27,2024,2024-11-17,10,11,24.360,SFO,,SEA,L 17-20,,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,33%,
28,2024,2024-11-24,11,12,25.001,SFO,@,GNB,L 10-38,,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,20%,
