Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
36,2017,2017-10-01,4,4,25.233,OAK,@,DEN,L 10-16,,1,15,15.00,0,0,0,0,0,0,0,0,0%,0,0%,7,25%,
37,2017,2017-10-08,5,5,25.240,OAK,,BAL,L 17-30,*,0,0,,0,0,0,0,0,0,0,56,100%,0,0%,3,11%,
38,2017,2017-10-15,6,6,25.247,OAK,,LAC,L 16-17,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,7,32%,
39,2017,2017-10-19,7,7,25.251,OAK,,KAN,W 31-30,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,14,44%,
40,2017,2017-10-29,8,8,25.261,OAK,@,BUF,L 14-34,,0,0,,0,0,0,0,0,0,0,1,2%,0,0%,9,33%,
41,2017,2017-11-05,9,9,25.268,OAK,@,MIA,W 27-24,,0,0,,0,0,0,0,0,0,0,3,5%,0,0%,9,35%,
42,2017,2017-11-19,10,11,25.282,OAK,,NWE,L 8-33,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,7,32%,
43,2017,2017-11-26,11,12,25.289,OAK,,DEN,W 21-14,,0,0,,0,0,0,0,0,0,0,63,93%,0,0%,6,22%,
44,2017,2017-12-03,12,13,25.296,OAK,,NYG,W 24-17,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,7,25%,
45,2017,2017-12-10,,14,,OAK,@,KAN,L 15-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,2017,2017-12-17,14,15,25.310,OAK,,DAL,L 17-20,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,9,38%,
47,2017,2017-12-25,,16,,OAK,@,PHI,L 10-19,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
48,2017,2017-12-31,,17,,OAK,@,LAC,L 10-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
49,2018,2018-09-10,1,1,26.212,OAK,,LAR,L 13-33,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,4,13%,
50,2018,2018-09-16,2,2,26.218,OAK,@,DEN,L 19-20,,0,0,,0,0,0,0,0,0,0,3,5%,0,0%,4,15%,
51,2018,2018-09-23,3,3,26.225,OAK,@,MIA,L 20-28,,0,0,,0,0,0,0,0,0,0,2,3%,0,0%,4,15%,
52,2018,2018-09-30,4,4,26.232,OAK,,CLE,W 45-42,,0,0,,0,0,0,0,0,0,0,8,9%,0,0%,18,42%,
53,2018,2018-10-07,5,5,26.239,OAK,@,LAC,L 10-26,*,0,0,,0,0,0,0,0,0,0,53,100%,0,0%,3,12%,
54,2018,2018-10-14,6,6,26.246,OAK,,SEA,L 3-27,*,0,0,,0,0,0,0,0,0,0,10,17%,0,0%,0,0%,
55,2018,2018-10-28,7,8,26.260,OAK,,IND,L 28-42,*,0,0,,0,0,0,0,0,0,0,50,100%,0,0%,4,15%,
56,2018,2018-11-01,8,9,26.264,OAK,@,SFO,L 3-34,,0,0,,0,0,0,0,0,0,0,28,49%,0,0%,2,7%,
57,2018,2018-11-11,9,10,26.274,OAK,,LAC,L 6-20,,0,0,,0,0,0,0,0,0,0,0,0%,0,0%,2,9%,
58,2018,2018-11-18,10,11,26.281,OAK,@,ARI,W 23-21,,0,0,,0,0,0,0,0,0,0,2,3%,0,0%,5,15%,
59,2018,2018-11-25,11,12,26.288,OAK,@,BAL,L 17-34,,0,0,,0,0,0,0,0,0,0,1,2%,0,0%,3,11%,
60,2018,2018-12-02,12,13,26.295,OAK,,KAN,L 33-40,,0,0,,0,0,0,0,0,0,0,3,4%,0,0%,5,16%,
61,2018,2018-12-09,13,14,26.302,OAK,,PIT,W 24-21,*,0,0,,0,0,0,0,0,0,0,67,100%,0,0%,3,12%,
62,2018,2018-12-16,,15,,OAK,@,CIN,L 16-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
63,2018,2018-12-24,,16,,OAK,,DEN,W 27-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
64,2018,2018-12-30,,17,,OAK,@,KAN,L 3-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
65,2019,2019-09-08,1,1,27.210,BUF,@,NYJ,W 17-16,*,0,0,,0,0,0,0,0,0,0,66,100%,0,0%,3,13%,
66,2019,2019-09-15,2,2,27.217,BUF,@,NYG,W 28-14,*,,,,,0,,,0,0,0,70,100%,0,0%,5,18%,
