Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
47,2022,2022-12-15,14,15,26.128,SFO,@,SEA,W 21-13,,0,0%,0,0%,4,14%,
48,2022,2022-12-24,15,16,26.137,SFO,,WAS,W 37-20,,0,0%,0,0%,7,26%,
49,2022,2023-01-01,16,17,26.145,SFO,@,LVR,W 37-34,,0,0%,0,0%,8,24%,
50,2022,2023-01-08,17,18,26.152,SFO,,ARI,W 38-13,,11,18%,0,0%,6,23%,
51,2023,2023-09-10,1,1,27.032,SFO,@,PIT,W 30-7,*,68,100%,0,0%,7,27%,
52,2023,2023-09-17,2,2,27.039,SFO,@,LAR,W 30-23,*,57,100%,0,0%,6,21%,
53,2023,2023-09-21,3,3,27.043,SFO,,NYG,W 30-12,*,79,95%,0,0%,6,21%,
54,2023,2023-10-01,4,4,27.053,SFO,,ARI,W 35-16,*,55,100%,0,0%,5,23%,
55,2023,2023-10-08,5,5,27.060,SFO,,DAL,W 42-10,*,71,100%,0,0%,6,22%,
56,2023,2023-10-15,6,6,27.067,SFO,@,CLE,L 17-19,*,62,100%,0,0%,5,16%,
57,2023,2023-10-23,7,7,27.075,SFO,@,MIN,L 17-22,*,53,100%,0,0%,4,18%,
58,2023,2023-10-29,8,8,27.081,SFO,,CIN,L 17-31,*,59,100%,0,0%,3,12%,
59,2023,2023-11-12,9,10,27.095,SFO,@,JAX,W 34-3,*,62,100%,0,0%,6,26%,
60,2023,2023-11-19,10,11,27.102,SFO,,TAM,W 27-14,*,60,100%,0,0%,5,23%,
61,2023,2023-11-23,11,12,27.106,SFO,@,SEA,W 31-13,*,66,100%,0,0%,5,17%,
62,2023,2023-12-03,12,13,27.116,SFO,@,PHI,W 42-19,*,55,93%,0,0%,6,23%,
63,2023,2023-12-10,13,14,27.123,SFO,,SEA,W 28-16,*,54,100%,0,0%,4,15%,
64,2023,2023-12-17,14,15,27.130,SFO,@,ARI,W 45-29,*,54,96%,0,0%,7,23%,
65,2023,2023-12-25,15,16,27.138,SFO,,BAL,L 19-33,*,70,100%,0,0%,3,11%,
66,2023,2023-12-31,16,17,27.144,SFO,@,WAS,W 27-10,*,70,100%,0,0%,5,24%,
67,2023,2024-01-07,17,18,27.151,SFO,,LAR,L 20-21,*,45,74%,0,0%,4,21%,
68,2024,2024-09-09,1,1,28.031,SFO,,NYJ,W 32-19,*,72,100%,0,0%,8,31%,
69,2024,2024-09-15,2,2,28.037,SFO,@,MIN,L 17-23,*,70,100%,0,0%,3,13%,
70,2024,2024-09-22,3,3,28.044,SFO,@,LAR,L 24-27,*,71,100%,0,0%,5,19%,
71,2024,2024-09-29,4,4,28.051,SFO,,NWE,W 30-13,*,63,100%,0,0%,6,23%,
72,2024,2024-10-06,5,5,28.058,SFO,,ARI,L 23-24,*,64,100%,0,0%,5,21%,
73,2024,2024-10-10,6,6,28.062,SFO,@,SEA,W 36-24,*,65,100%,0,0%,6,20%,
74,2024,2024-10-20,7,7,28.072,SFO,,KAN,L 18-28,*,63,100%,0,0%,3,13%,
75,2024,2024-10-27,8,8,28.079,SFO,,DAL,W 30-24,*,68,100%,0,0%,6,20%,
76,2024,2024-11-10,9,10,28.093,SFO,@,TAM,W 23-20,*,64,100%,0,0%,8,28%,
77,2024,2024-11-17,10,11,28.100,SFO,,SEA,L 17-20,*,63,100%,0,0%,3,14%,
78,2024,2024-11-24,11,12,28.107,SFO,@,GNB,L 10-38,*,49,100%,0,0%,2,8%,
