Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-11-20,,11,,MIA,@,LAR,W 14-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,2016,2016-11-27,11,12,24.078,MIA,,SFO,W 31-24,,0,0,0,,0,0.0%,,0,0,0,0,0,0,1,2%,0,0%,0,0%,
3,2016,2016-12-04,,13,,MIA,@,BAL,L 6-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2016,2016-12-11,,14,,MIA,,ARI,W 26-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2016,2016-12-17,,15,,MIA,@,NYJ,W 34-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,2016,2016-12-24,,16,,MIA,@,BUF,W 34-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,2016,2017-01-01,,17,,MIA,,NWE,L 14-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2017,2017-09-17,1,2,25.007,MIA,@,LAC,W 19-17,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,9,33%,
9,2017,2017-09-24,2,3,25.014,MIA,@,NYJ,L 6-20,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,6,23%,
10,2017,2017-10-01,3,4,25.021,MIA,,NOR,L 0-20,,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0%,0,0%,4,21%,
