Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
70,2018,2018-10-21,6,7,27.241,CHI,,NWE,L 31-38,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,173,43.25,3,170,34.0,0,0.0%,1,25.0%,1,0,0%,0,0%,10,30%,
71,2018,2018-10-28,7,8,27.248,CHI,,NYJ,W 24-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,225,45.00,8,177,35.4,2,40.0%,2,40.0%,0,0,0%,0,0%,10,36%,
72,2018,2018-11-04,8,9,27.255,CHI,@,BUF,W 41-9,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,200,40.00,13,187,37.4,0,0.0%,4,80.0%,0,0,0%,0,0%,12,41%,
73,2018,2018-11-11,9,10,27.262,CHI,,DET,W 34-22,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,144,48.00,11,113,37.7,1,33.3%,1,33.3%,0,0,0%,0,0%,9,33%,
74,2018,2018-11-18,10,11,27.269,CHI,,MIN,W 25-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,2,71,35.50,10,61,30.5,0,0.0%,1,50.0%,0,0,0%,0,0%,5,23%,
75,2018,2018-11-22,11,12,27.273,CHI,@,DET,W 23-16,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,235,47.00,25,190,38.0,1,20.0%,3,60.0%,0,0,0%,0,0%,8,33%,
76,2018,2018-12-02,12,13,27.283,CHI,@,NYG,L 27-30,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,303,50.50,36,267,44.5,0,0.0%,1,16.7%,0,0,0%,0,0%,12,32%,
77,2018,2018-12-09,13,14,27.290,CHI,,LAR,W 15-6,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,229,45.80,0,209,41.8,1,20.0%,4,80.0%,0,0,0%,0,0%,9,38%,
78,2018,2018-12-16,14,15,27.297,CHI,,GNB,W 24-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,177,44.25,0,177,44.3,0,0.0%,2,50.0%,0,0,0%,0,0%,9,33%,
79,2018,2018-12-23,15,16,27.304,CHI,@,SFO,W 14-9,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,3,119,39.67,0,99,33.0,1,33.3%,1,33.3%,0,0,0%,0,0%,6,32%,
80,2018,2018-12-30,16,17,27.311,CHI,@,MIN,W 24-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,175,43.75,4,171,42.8,0,0.0%,2,50.0%,0,0,0%,0,0%,7,32%,
81,2019,2019-09-05,1,1,28.195,CHI,,GNB,L 3-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,8,341,42.63,1,340,42.5,0,0.0%,3,37.5%,0,0,0%,0,0%,9,36%,
82,2019,2019-09-15,2,2,28.205,CHI,@,DEN,W 16-14,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,287,57.40,35,252,50.4,0,0.0%,1,20.0%,0,0,0%,0,0%,9,36%,
83,2019,2019-09-23,3,3,28.213,CHI,@,WAS,W 31-15,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,3,140,46.67,15,105,35.0,1,33.3%,0,0.0%,0,0,0%,0,0%,15,71%,
84,2019,2019-09-29,4,4,28.219,CHI,,MIN,W 16-6,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,241,48.20,12,229,45.8,0,0.0%,2,40.0%,0,0,0%,0,0%,13,65%,
85,2019,2019-10-06,5,5,28.226,CHI,@,OAK,L 21-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,213,42.60,13,200,40.0,0,0.0%,2,40.0%,0,0,0%,0,0%,13,46%,
86,2019,2019-10-20,6,7,28.240,CHI,,NOR,L 25-36,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,263,43.83,46,217,31.0,0,0.0%,0,0.0%,1,0,0%,0,0%,11,32%,
87,2019,2019-10-27,7,8,28.247,CHI,,LAC,L 16-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,123,41.00,0,123,41.0,0,0.0%,2,66.7%,0,0,0%,0,0%,9,35%,
88,2019,2019-11-03,8,9,28.254,CHI,@,PHI,L 14-22,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,8,372,46.50,2,350,43.8,1,12.5%,3,37.5%,0,0,0%,0,0%,10,34%,
89,2019,2019-11-10,9,10,28.261,CHI,,DET,W 20-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,9,387,43.00,27,360,40.0,0,0.0%,3,33.3%,0,0,0%,0,0%,12,40%,
90,2019,2019-11-17,10,11,28.268,CHI,@,LAR,L 7-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,258,43.00,0,258,43.0,0,0.0%,1,16.7%,0,0,0%,0,0%,10,40%,
91,2019,2019-11-24,11,12,28.275,CHI,,NYG,W 19-14,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,250,41.67,52,198,33.0,0,0.0%,2,33.3%,0,0,0%,0,0%,10,37%,
92,2019,2019-11-28,12,13,28.279,CHI,@,DET,W 24-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,144,48.00,14,130,43.3,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%,
93,2019,2019-12-05,13,14,28.286,CHI,,DAL,W 31-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,162,40.50,0,162,40.5,0,0.0%,4,100.0%,0,0,0%,0,0%,9,30%,
94,2019,2019-12-15,14,15,28.296,CHI,@,GNB,L 13-21,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,155,38.75,12,143,35.8,0,0.0%,0,0.0%,0,0,0%,0,0%,7,26%,
95,2019,2019-12-22,15,16,28.303,CHI,,KAN,L 3-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,139,46.33,10,129,43.0,0,0.0%,2,66.7%,0,0,0%,0,0%,4,20%,
96,2019,2019-12-29,16,17,28.310,CHI,@,MIN,W 21-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,111,55.50,8,103,51.5,0,0.0%,1,50.0%,0,0,0%,0,0%,7,28%,
97,2020,2020-09-13,1,1,29.204,CHI,@,DET,W 27-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,213,42.60,16,197,39.4,0,0.0%,2,40.0%,0,0,0%,0,0%,10,30%,
98,2020,2020-09-20,2,2,29.211,CHI,,NYG,W 17-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,134,44.67,11,123,41.0,0,0.0%,2,66.7%,0,0,0%,0,0%,7,32%,
99,2020,2020-09-27,3,3,29.218,CHI,@,ATL,W 30-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,215,53.75,32,183,45.8,0,0.0%,1,25.0%,0,0,0%,0,0%,11,31%,
