Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,RetYds,Net,NY/P,TB,TB%,In20,In20%,Blck,Num,Pct,Num,Pct,Num,Pct,Status
130,2022,2022-09-11,1,1,31.201,GNB,@,MIN,L 7-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,179,44.75,7,172,43.0,0,0.0%,3,75.0%,0,0,0%,0,0%,5,22%,
131,2022,2022-09-18,2,2,31.208,GNB,,CHI,W 27-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,122,61.00,0,102,51.0,1,50.0%,1,50.0%,0,0,0%,0,0%,7,32%,
132,2022,2022-09-25,3,3,31.215,GNB,@,TAM,W 14-12,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,7,339,48.43,26,313,44.7,0,0.0%,5,71.4%,0,0,0%,0,0%,9,36%,
133,2022,2022-10-02,4,4,31.222,GNB,,NWE,W 27-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,210,42.00,49,161,32.2,0,0.0%,2,40.0%,0,0,0%,0,0%,10,31%,
134,2022,2022-10-09,5,5,31.229,GNB,,NYG,L 22-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,124,41.33,6,118,39.3,0,0.0%,1,33.3%,0,0,0%,0,0%,7,27%,
135,2022,2022-10-16,6,6,31.236,GNB,,NYJ,L 10-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,244,48.80,53,191,31.8,0,0.0%,2,40.0%,1,0,0%,0,0%,9,31%,
136,2022,2022-10-23,7,7,31.243,GNB,@,WAS,L 21-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,208,41.60,8,200,40.0,0,0.0%,2,40.0%,0,0,0%,0,0%,8,28%,
137,2022,2022-10-30,8,8,31.250,GNB,@,BUF,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,89,44.50,17,72,36.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,27%,
138,2022,2022-11-06,9,9,31.257,GNB,@,DET,L 9-15,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,31,31.00,0,31,31.0,0,0.0%,1,100.0%,0,0,0%,0,0%,2,15%,
139,2022,2022-11-13,10,10,31.264,GNB,,DAL,W 31-28,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,160,40.00,11,149,37.3,0,0.0%,3,75.0%,0,0,0%,0,0%,10,33%,
140,2022,2022-11-17,11,11,31.268,GNB,,TEN,L 17-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,189,47.25,12,177,44.3,0,0.0%,1,25.0%,0,0,0%,0,0%,6,27%,
141,2022,2022-11-27,12,12,31.278,GNB,@,PHI,L 33-40,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,83,41.50,0,83,41.5,0,0.0%,1,50.0%,0,0,0%,0,0%,8,26%,
142,2022,2022-12-04,13,13,31.285,GNB,@,CHI,W 28-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,134,44.67,18,116,38.7,0,0.0%,0,0.0%,0,0,0%,0,0%,7,29%,
143,2022,2022-12-19,14,15,31.300,GNB,,LAR,W 24-12,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,37,37.00,8,29,29.0,0,0.0%,1,100.0%,0,0,0%,0,0%,5,24%,
144,2022,2022-12-25,15,16,31.306,GNB,@,MIA,W 26-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,46,46.00,0,46,46.0,0,0.0%,0,0.0%,0,0,0%,0,0%,8,31%,
145,2022,2023-01-01,16,17,31.313,GNB,,MIN,W 41-17,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,81,40.50,0,81,27.0,0,0.0%,1,50.0%,1,0,0%,0,0%,10,36%,
146,2022,2023-01-08,17,18,31.320,GNB,,DET,L 16-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,37,37.00,0,37,37.0,0,0.0%,0,0.0%,0,0,0%,0,0%,6,24%,
147,2023,2023-10-29,8,8,,ATL,@,TEN,L 23-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
148,2023,2023-12-24,15,16,,ATL,,IND,W 29-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
149,2024,2024-11-17,10,11,33.269,SFO,,SEA,L 17-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,123,41.00,0,103,34.3,1,33.3%,1,33.3%,0,0,0%,0,0%,6,29%,
150,2024,2024-11-24,11,12,33.276,SFO,@,GNB,L 10-38,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,147,49.00,20,127,42.3,0,0.0%,1,33.3%,0,0,0%,0,0%,5,20%,
