Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2016,2016-09-11,1,1,21.356,KAN,,SDG,W 33-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,23,68%,
2,2016,2016-09-18,2,2,21.363,KAN,@,HOU,L 12-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,3%,0,0%,20,62%,
3,2016,2016-09-25,3,3,22.004,KAN,,NYJ,W 24-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,72%,
4,2016,2016-10-02,4,4,22.011,KAN,@,PIT,L 14-43,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,20,69%,
5,2016,2016-10-16,5,6,22.025,KAN,@,OAK,W 26-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,61%,
6,2016,2016-10-23,6,7,22.032,KAN,,NOR,W 27-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,16,62%,
7,2016,2016-10-30,7,8,22.039,KAN,@,IND,W 30-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,21,66%,
8,2016,2016-11-06,8,9,22.046,KAN,,JAX,W 19-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,68%,
9,2016,2016-11-13,9,10,22.053,KAN,@,CAR,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,69%,
10,2016,2016-11-20,10,11,22.060,KAN,,TAM,L 17-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,61%,
11,2016,2016-11-27,11,12,22.067,KAN,@,DEN,W 30-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,21,51%,
12,2016,2016-12-04,12,13,22.074,KAN,@,ATL,W 29-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,42%,
13,2016,2016-12-08,13,14,22.078,KAN,,OAK,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,16,55%,
14,2016,2016-12-18,14,15,22.088,KAN,,TEN,L 17-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,58%,
15,2016,2016-12-25,15,16,22.095,KAN,,DEN,W 33-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,21,68%,
16,2016,2017-01-01,16,17,22.102,KAN,@,SDG,W 37-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,11,39%,
17,2017,2017-09-07,1,1,22.351,KAN,@,NWE,W 42-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,9,24%,
18,2017,2017-09-17,2,2,22.361,KAN,,PHI,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,4%,0,0%,5,17%,
19,2017,2017-09-24,3,3,23.003,KAN,@,LAC,W 24-10,,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,17%,0,0%,4,15%,
20,2017,2017-10-02,4,4,23.011,KAN,,WAS,W 29-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,5%,0,0%,0,0%,
21,2017,2017-10-08,5,5,23.017,KAN,@,HOU,W 42-34,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,16%,0,0%,16,50%,
22,2017,2017-10-15,6,6,23.024,KAN,,PIT,L 13-19,*,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,91%,0,0%,0,0%,
23,2017,2017-10-19,7,7,23.028,KAN,@,OAK,L 30-31,*,8,5,69,13.80,0,62.5%,8.63,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,98%,0,0%,0,0%,
24,2017,2017-10-30,8,8,23.039,KAN,,DEN,W 29-19,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,82%,0,0%,1,3%,
25,2017,2017-11-05,9,9,23.045,KAN,@,DAL,L 17-28,*,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,98%,0,0%,1,4%,
26,2017,2017-11-19,10,11,23.059,KAN,@,NYG,L 9-12,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,96%,0,0%,0,0%,
27,2017,2017-11-26,11,12,23.066,KAN,,BUF,L 10-16,*,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,88%,0,0%,1,3%,
28,2017,2017-12-03,12,13,23.073,KAN,@,NYJ,L 31-38,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,63%,0,0%,0,0%,
29,2017,2017-12-10,13,14,23.080,KAN,,OAK,W 26-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,59%,0,0%,1,4%,
30,2017,2017-12-16,14,15,23.086,KAN,,LAC,W 30-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,56%,0,0%,0,0%,
31,2017,2017-12-24,15,16,23.094,KAN,,MIA,W 29-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,53%,0,0%,0,0%,
32,2017,2017-12-31,16,17,23.101,KAN,@,DEN,W 27-24,*,10,4,31,7.75,0,40.0%,3.10,0,0,,0,0,0,,0,1,-4,-4.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,92%,0,0%,5,18%,
33,2018,2018-09-09,1,1,23.353,KAN,@,LAC,W 38-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,9%,0,0%,5,17%,
34,2018,2018-09-16,2,2,23.360,KAN,@,PIT,W 42-37,,1,1,3,3.00,1,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,7,12%,0,0%,15,43%,
35,2018,2018-09-23,3,3,24.002,KAN,,SFO,W 38-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,12,43%,
36,2018,2018-10-01,4,4,24.010,KAN,@,DEN,W 27-23,,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,58%,0,0%,13,46%,
37,2018,2018-10-07,5,5,24.016,KAN,,JAX,W 30-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,13%,0,0%,10,42%,
38,2018,2018-10-14,6,6,24.023,KAN,@,NWE,L 40-43,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,11%,0,0%,9,25%,
39,2018,2018-10-21,7,7,24.030,KAN,,CIN,W 45-10,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,16%,0,0%,6,22%,
40,2018,2018-10-28,8,8,24.037,KAN,,DEN,W 30-23,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,34%,0,0%,10,34%,
41,2018,2018-11-04,9,9,24.044,KAN,@,CLE,W 37-21,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,9,39%,
42,2018,2018-11-11,10,10,24.051,KAN,,ARI,W 26-14,*,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,73%,0,0%,5,20%,
43,2018,2018-11-19,11,11,24.059,KAN,@,LAR,L 51-54,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,35,49%,0,0%,12,28%,
44,2018,2018-12-02,12,13,24.072,KAN,@,OAK,W 40-33,*,1,1,38,38.00,0,100.0%,38.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,59%,0,0%,3,9%,
45,2018,2018-12-09,13,14,24.079,KAN,,BAL,W 27-24,,7,5,42,8.40,0,71.4%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,65%,0,0%,3,10%,
46,2018,2018-12-13,14,15,24.083,KAN,,LAC,L 28-29,*,3,2,7,3.50,1,66.7%,2.33,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,60%,0,0%,6,26%,
47,2018,2018-12-23,15,16,24.093,KAN,@,SEA,L 31-38,*,3,2,17,8.50,1,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,66%,0,0%,10,30%,
48,2018,2018-12-30,16,17,24.100,KAN,,OAK,W 35-3,*,2,1,89,89.00,1,50.0%,44.50,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,65%,0,0%,5,26%,
49,2019,2019-09-08,1,1,24.352,KAN,@,JAX,W 40-26,*,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,63%,0,0%,16,53%,
50,2019,2019-09-15,2,2,24.359,KAN,@,OAK,W 28-10,,6,6,172,28.67,2,100.0%,28.67,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,68,91%,0,0%,0,0%,
51,2019,2019-09-22,3,3,25.001,KAN,,BAL,W 33-28,*,4,3,43,14.33,1,75.0%,10.75,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,91%,0,0%,2,7%,
52,2019,2019-09-29,4,4,25.008,KAN,@,DET,W 34-30,*,9,4,35,8.75,0,44.4%,3.89,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,91%,0,0%,0,0%,
53,2019,2019-10-06,5,5,25.015,KAN,,IND,L 13-19,*,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,1,4%,
54,2019,2019-10-13,6,6,25.022,KAN,,HOU,L 24-31,*,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,87%,0,0%,0,0%,
55,2019,2019-10-17,7,7,25.026,KAN,@,DEN,W 30-6,,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,80%,0,0%,3,10%,
56,2019,2019-10-27,8,8,25.036,KAN,,GNB,L 24-31,*,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,64%,0,0%,3,11%,
57,2019,2019-11-03,9,9,25.043,KAN,,MIN,W 26-23,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,41%,0,0%,7,21%,
58,2019,2019-11-10,10,10,25.050,KAN,@,TEN,L 32-35,*,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,67%,0,0%,4,13%,
59,2019,2019-11-18,11,11,25.058,KAN,@,LAC,W 24-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,57%,0,0%,6,22%,
60,2019,2019-12-01,12,13,25.071,KAN,,OAK,W 40-9,*,,,,,,0.0%,,,,,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,36,55%,0,0%,4,17%,
61,2019,2019-12-08,13,14,25.078,KAN,@,NWE,W 23-16,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,79%,0,0%,7,27%,
62,2019,2019-12-15,14,15,25.085,KAN,,DEN,W 23-3,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,56%,0,0%,5,28%,
