Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.309,LAR,@,DET,L 20-26,*,1.0,2,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0%,43.0,70%,0.0,0%
2.0,2024.0,2024-09-15,2.0,2.0,23.316,LAR,@,ARI,L 10-41,*,0.0,6,1,7,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0%,48.0,73%,0.0,0%
3.0,2024.0,2024-09-22,3.0,3.0,23.323,LAR,,SFO,W 27-24,*,0.0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0%,47.0,66%,0.0,0%
4.0,2024.0,2024-09-29,4.0,4.0,23.33,LAR,@,CHI,L 18-24,*,0.0,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0%,41.0,68%,0.0,0%
5.0,2024.0,2024-10-06,5.0,5.0,23.337,LAR,,GNB,L 19-24,*,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,41.0,69%,0.0,0%
6.0,2024.0,2024-10-20,6.0,7.0,23.351,LAR,,LVR,W 20-15,*,0.0,2,2,4,1,5,0,0,0,0,0,0,0,0,0,0,0.0,0%,62.0,78%,0.0,0%
7.0,2024.0,2024-10-24,7.0,8.0,23.355,LAR,,MIN,W 30-20,*,1.5,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0%,42.0,84%,0.0,0%
8.0,2024.0,2024-11-03,8.0,9.0,23.365,LAR,@,SEA,W 26-20,*,1.0,3,1,4,2,1,0,0,0,1,0,0,0,0,0,0,0.0,0%,69.0,86%,0.0,0%
9.0,2024.0,2024-11-11,9.0,10.0,24.007,LAR,,MIA,L 15-23,*,1.0,3,1,4,2,1,0,0,0,0,0,0,1,1,0,0,0.0,0%,45.0,85%,0.0,0%
10.0,2024.0,2024-11-17,10.0,11.0,24.013,LAR,@,NWE,W 28-22,*,0.0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,64.0,84%,0.0,0%
11.0,2024.0,2024-11-24,11.0,12.0,24.02,LAR,,PHI,L 20-37,*,0.0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,57.0,78%,0.0,0%
