Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
18,2023,2023-09-17,2,2,24.229,LAR,,SFO,L 23-30,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0,0,0,0,4,5%,0,0%,16,57%,
19,2023,2023-09-25,3,3,24.237,LAR,@,CIN,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,0.0,0,0,0,0,0,0,0%,0,0%,20,65%,
20,2023,2023-10-01,4,4,24.243,LAR,@,IND,W 29-23,,9,47,5.22,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0,0,0,0,23,28%,0,0%,12,45%,
21,2023,2023-10-08,5,5,24.250,LAR,,PHI,L 14-23,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,9,16%,0,0%,12,60%,
22,2023,2023-10-15,6,6,24.257,LAR,,ARI,W 26-9,,3,9,3.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0,0,0,0,4,7%,0,0%,12,44%,
23,2023,2023-10-22,7,7,,LAR,,PIT,L 17-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2023,2023-10-29,8,8,,LAR,@,DAL,L 20-43,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2023,2023-11-05,9,9,,LAR,@,GNB,L 3-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2023,2023-11-19,10,11,,LAR,,SEA,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2023,2023-11-26,11,12,,LAR,@,ARI,W 37-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2023,2023-12-03,12,13,,LAR,,CLE,W 36-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2023,2023-12-10,13,14,,LAR,@,BAL,L 31-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2023,2023-12-17,14,15,,LAR,,WAS,W 28-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2023,2023-12-21,15,16,24.324,LAR,,NOR,W 30-22,,6,20,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,15,21%,0,0%,3,13%,
32,2023,2023-12-31,16,17,24.334,LAR,@,NYG,W 26-25,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0,0,0,0,4,6%,0,0%,4,13%,
33,2023,2024-01-07,17,18,24.341,LAR,@,SFO,W 21-20,*,13,52,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,34,51%,0,0%,2,11%,
34,2024,2024-09-08,1,1,25.221,LAR,@,DET,L 20-26,,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1,1,0,0,7,9%,0,0%,4,15%,
35,2024,2024-09-15,2,2,25.228,LAR,@,ARI,L 10-41,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0.0,0,0,0,0,0,3,6%,0,0%,12,48%,
36,2024,2024-09-22,3,3,25.235,LAR,,SFO,W 27-24,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,6,10%,0,0%,14,52%,
37,2024,2024-09-29,4,4,25.242,LAR,@,CHI,L 18-24,,6,26,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1,1,0,0,13,21%,0,0%,12,46%,
38,2024,2024-10-06,5,5,25.249,LAR,,GNB,L 19-24,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,11,50%,
39,2024,2024-10-20,6,7,25.263,LAR,,LVR,W 20-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,1,0,0,0,0%,0,0%,17,61%,
40,2024,2024-10-24,7,8,25.267,LAR,,MIN,W 30-20,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,17,68%,
41,2024,2024-11-03,8,9,25.277,LAR,@,SEA,W 26-20,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,22,69%,
42,2024,2024-11-11,9,10,25.285,LAR,,MIA,L 15-23,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,16,57%,
43,2024,2024-11-17,10,11,25.291,LAR,@,NWE,W 28-22,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,16,59%,
44,2024,2024-11-24,11,12,25.298,LAR,,PHI,L 20-37,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,16,57%,
